fiscal_year,county_fips,state,agency,naics_code,naics_description,is_small_business,is_woman_owned,is_veteran_owned,is_minority_owned,total_obligation
2022,36061,NY,General Services Administration,332216,SAW BLADE AND HANDTOOL MANUFACTURING,true,false,false,true,1320621.6999999997
2022,04013,AZ,Department of Defense,238330,FLOORING CONTRACTORS,true,true,false,false,20430.0
2022,42003,PA,National Aeronautics and Space Administration,541715,"RESEARCH AND DEVELOPMENT IN THE PHYSICAL, ENGINEERING, AND LIFE SCIENCES (EXCEPT NANOTECHNOLOGY AND BIOTECHNOLOGY)",true,false,false,false,21806060.0
2022,48141,TX,Department of State,334519,OTHER MEASURING AND CONTROLLING DEVICE MANUFACTURING,true,false,false,false,70342.47
2022,53071,WA,Department of Defense,335931,CURRENT-CARRYING WIRING DEVICE MANUFACTURING,true,false,false,true,49440.0
2022,45051,SC,Department of Defense,336413,OTHER AIRCRAFT PARTS AND AUXILIARY EQUIPMENT MANUFACTURING,true,true,false,true,2136021.4
2022,12086,FL,Department of Veterans Affairs,325120,INDUSTRIAL GAS MANUFACTURING,true,false,true,false,8515.65
2022,51149,VA,Department of Defense,541511,CUSTOM COMPUTER PROGRAMMING SERVICES,true,false,false,true,30732.75
2022,42101,PA,Department of Defense,541330,ENGINEERING SERVICES,true,false,false,false,67338267.33
2022,22015,LA,Department of Defense,339112,SURGICAL AND MEDICAL INSTRUMENT MANUFACTURING,true,true,false,false,165712.0
2022,06037,CA,General Services Administration,334111,ELECTRONIC COMPUTER MANUFACTURING,true,false,false,false,2979107.4600000037
2022,24033,MD,Department of the Treasury,541519,OTHER COMPUTER RELATED SERVICES,true,true,false,false,27579024.799999997
2022,13121,GA,National Archives and Records Administration,561612,SECURITY GUARDS AND PATROL SERVICES,true,false,false,false,568394.0
2022,17031,IL,Railroad Retirement Board,313311,BROADWOVEN FABRIC FINISHING MILLS,true,false,false,false,1704490.8
2022,51059,VA,Department of Defense,334111,ELECTRONIC COMPUTER MANUFACTURING,true,false,false,true,11467895.19
2022,51059,VA,General Services Administration,541512,COMPUTER SYSTEMS DESIGN SERVICES,true,false,true,true,8588622.79
2022,06065,CA,Department of Agriculture,238220,"PLUMBING, HEATING, AND AIR-CONDITIONING CONTRACTORS",true,true,false,true,211000.0
2022,51650,VA,Department of Defense,236220,COMMERCIAL AND INSTITUTIONAL BUILDING CONSTRUCTION,true,false,true,true,228727.56
2022,08041,CO,Department of Defense,337214,OFFICE FURNITURE (EXCEPT WOOD) MANUFACTURING,true,false,true,false,88938.56
2022,32003,NV,Department of Defense,311991,PERISHABLE PREPARED FOOD MANUFACTURING,true,false,false,false,2085659.18
2022,11001,DC,Department of Transportation,541199,ALL OTHER LEGAL SERVICES,true,false,false,true,1163306.04
2022,48121,TX,Department of Defense,339944,CARBON PAPER AND INKED RIBBON MANUFACTURING,true,true,false,false,68324.5
2022,11001,DC,Department of Justice,236220,COMMERCIAL AND INSTITUTIONAL BUILDING CONSTRUCTION,true,false,false,true,3703418.41
2022,18089,IN,Department of Defense,811198,ALL OTHER AUTOMOTIVE REPAIR AND MAINTENANCE,true,false,false,false,31591.0
2022,42013,PA,Department of Veterans Affairs,541519,OTHER COMPUTER RELATED SERVICES,true,false,true,false,1158425.86
2022,36027,NY,Department of Veterans Affairs,562910,REMEDIATION SERVICES,true,false,false,false,57227.0
2022,50019,VT,Department of Defense,315990,APPAREL ACCESSORIES AND OTHER APPAREL MANUFACTURING,true,false,false,false,46778.18000000001
2022,17097,IL,Department of Defense,541512,COMPUTER SYSTEMS DESIGN SERVICES,true,true,false,false,5279866.43
2022,48113,TX,Department of Homeland Security,334519,OTHER MEASURING AND CONTROLLING DEVICE MANUFACTURING,true,false,false,false,325000.0
2022,48029,TX,Department of Defense,621999,ALL OTHER MISCELLANEOUS AMBULATORY HEALTH CARE SERVICES,true,false,false,true,5330960.96
2022,11001,DC,Department of Defense,541611,ADMINISTRATIVE MANAGEMENT AND GENERAL MANAGEMENT CONSULTING SERVICES,true,false,false,false,29943239.429999992
2022,12099,FL,Department of Defense,331491,"NONFERROUS METAL (EXCEPT COPPER AND ALUMINUM) ROLLING, DRAWING, AND EXTRUDING",true,false,false,false,92619.32
2022,51013,VA,Department of Homeland Security,541330,ENGINEERING SERVICES,true,false,true,false,13823376.760000002
2022,11001,DC,General Services Administration,561210,FACILITIES SUPPORT SERVICES,true,false,false,true,3077827.11
2022,51810,VA,Department of Defense,334418,PRINTED CIRCUIT ASSEMBLY (ELECTRONIC ASSEMBLY) MANUFACTURING,true,false,false,false,999628.8
2022,11001,DC,Department of Defense,334111,ELECTRONIC COMPUTER MANUFACTURING,true,false,false,true,928990.98
2022,24033,MD,Department of the Treasury,541512,COMPUTER SYSTEMS DESIGN SERVICES,true,false,true,false,16970020.370000005
2022,08041,CO,Department of Defense,541712,"RESEARCH AND DEVELOPMENT IN THE PHYSICAL, ENGINEERING, AND LIFE SCIENCES (EXCEPT BIOTECHNOLOGY)",true,false,false,false,30865605.539999995
2022,11001,DC,Department of State,561210,FACILITIES SUPPORT SERVICES,true,false,false,true,65484315.54
2022,24510,MD,Social Security Administration,541330,ENGINEERING SERVICES,true,false,false,false,19838089.660000004
2022,09009,CT,Department of Veterans Affairs,541519,OTHER COMPUTER RELATED SERVICES,true,false,true,false,4156517.9999999995
2022,06073,CA,Department of Defense,541990,"ALL OTHER PROFESSIONAL, SCIENTIFIC, AND TECHNICAL SERVICES",true,false,false,false,2345972.84
2022,06001,CA,Department of Defense,236220,COMMERCIAL AND INSTITUTIONAL BUILDING CONSTRUCTION,true,true,false,false,1012923.76
2022,23023,ME,Department of Veterans Affairs,623110,NURSING CARE FACILITIES (SKILLED NURSING FACILITIES),true,false,false,false,302409.89999999997
2022,02020,AK,Department of Defense,336611,SHIP BUILDING AND REPAIRING,true,false,false,true,519291.39
2022,09003,CT,Department of Veterans Affairs,623110,NURSING CARE FACILITIES (SKILLED NURSING FACILITIES),true,false,false,false,2162800.0700000003
2022,51199,VA,Department of Homeland Security,518210,"DATA PROCESSING, HOSTING, AND RELATED SERVICES",true,false,false,false,18572.8
2022,37051,NC,Department of Defense,541512,COMPUTER SYSTEMS DESIGN SERVICES,true,true,false,false,4783574.0
2022,12057,FL,Department of Defense,332439,OTHER METAL CONTAINER MANUFACTURING,true,false,false,false,387477.2
2022,11001,DC,Department of Defense,333314,OPTICAL INSTRUMENT AND LENS MANUFACTURING,true,false,false,false,406309.0
2022,36029,NY,General Services Administration,236220,COMMERCIAL AND INSTITUTIONAL BUILDING CONSTRUCTION,true,false,false,false,1451880.75
2022,09009,CT,Department of Veterans Affairs,334516,ANALYTICAL LABORATORY INSTRUMENT MANUFACTURING,true,false,false,false,420773.62
2022,13089,GA,Department of Health and Human Services,541519,OTHER COMPUTER RELATED SERVICES,true,true,false,true,3711356.38
2022,17031,IL,Department of Justice,541511,CUSTOM COMPUTER PROGRAMMING SERVICES,true,true,false,true,39704.87
2022,06071,CA,Department of Defense,238990,ALL OTHER SPECIALTY TRADE CONTRACTORS,true,false,false,true,3531223.3500000006
2022,51810,VA,Department of the Treasury,541511,CUSTOM COMPUTER PROGRAMMING SERVICES,true,false,true,true,3212627.3200000003
2022,30081,MT,Department of Agriculture,481211,NONSCHEDULED CHARTERED PASSENGER AIR TRANSPORTATION,true,false,false,false,134029.55
2022,06095,CA,Department of Defense,238990,ALL OTHER SPECIALTY TRADE CONTRACTORS,true,true,false,false,632695.23
2022,16069,ID,Department of Agriculture,481212,NONSCHEDULED CHARTERED FREIGHT AIR TRANSPORTATION,true,false,false,false,8261593.399999999
2022,24031,MD,Department of Defense,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,true,false,true,false,19353328.250000004
2022,51059,VA,Department of Defense,541512,COMPUTER SYSTEMS DESIGN SERVICES,true,false,false,true,51299451.93999999
2022,51059,VA,Department of State,541519,OTHER COMPUTER RELATED SERVICES,true,true,false,true,7094437.609999999
2022,24033,MD,Department of Health and Human Services,561110,OFFICE ADMINISTRATIVE SERVICES,true,true,false,true,386042.89999999997
2022,06073,CA,Department of Homeland Security,561720,JANITORIAL SERVICES,true,false,false,true,10830.6
2022,51059,VA,Department of Homeland Security,323113,COMMERCIAL SCREEN PRINTING,true,false,false,false,97115.22
2022,12057,FL,General Services Administration,236220,COMMERCIAL AND INSTITUTIONAL BUILDING CONSTRUCTION,true,false,true,true,781421.98
2022,15003,HI,Department of Defense,812220,CEMETERIES AND CREMATORIES,true,false,false,true,264496.25
2022,25017,MA,Department of Defense,541511,CUSTOM COMPUTER PROGRAMMING SERVICES,true,false,false,false,590691.0
2022,36061,NY,Department of Defense,541330,ENGINEERING SERVICES,true,false,false,false,10442543.02
2022,11001,DC,Department of Veterans Affairs,541511,CUSTOM COMPUTER PROGRAMMING SERVICES,true,true,false,false,3989403.2600000002
2022,48167,TX,Department of Defense,336611,SHIP BUILDING AND REPAIRING,true,false,false,false,311575.0
2022,38067,ND,Department of Defense,334210,TELEPHONE APPARATUS MANUFACTURING,true,false,true,false,279052.3
2022,06037,CA,Department of Agriculture,115310,SUPPORT ACTIVITIES FOR FORESTRY,true,true,false,false,205073.06
2022,06013,CA,Department of Defense,334111,ELECTRONIC COMPUTER MANUFACTURING,true,false,false,true,128423.23999999999
2022,08041,CO,Department of Defense,332321,METAL WINDOW AND DOOR MANUFACTURING,true,false,false,true,120620.0
2022,06073,CA,Department of Defense,238910,SITE PREPARATION CONTRACTORS,true,false,false,false,0.0
2022,48229,TX,Department of Homeland Security,541330,ENGINEERING SERVICES,true,false,false,false,43255.0
2022,06073,CA,General Services Administration,561210,FACILITIES SUPPORT SERVICES,true,false,false,true,12146592.070000002
2022,36087,NY,Department of Veterans Affairs,339113,SURGICAL APPLIANCE AND SUPPLIES MANUFACTURING,true,false,false,false,220524.70999999996
2022,55079,WI,Department of Agriculture,561110,OFFICE ADMINISTRATIVE SERVICES,true,false,false,false,15000.0
2022,48157,TX,Department of Defense,336112,LIGHT TRUCK AND UTILITY VEHICLE MANUFACTURING,true,false,false,true,17310.0
2022,51740,VA,Department of Defense,511210,SOFTWARE PUBLISHERS,true,false,false,false,367685.57
2022,48439,TX,Department of State,611692,AUTOMOBILE DRIVING SCHOOLS,true,false,false,false,863933.5
2022,36065,NY,Department of Defense,541715,"RESEARCH AND DEVELOPMENT IN THE PHYSICAL, ENGINEERING, AND LIFE SCIENCES (EXCEPT NANOTECHNOLOGY AND BIOTECHNOLOGY)",true,false,false,false,163286035.0
2022,21111,KY,Department of Defense,423450,"MEDICAL, DENTAL, AND HOSPITAL EQUIPMENT AND SUPPLIES MERCHANT WHOLESALERS",true,false,true,false,87945.98
2022,28049,MS,Department of Defense,311991,PERISHABLE PREPARED FOOD MANUFACTURING,true,true,false,false,51830.310000000005
2022,51013,VA,Department of Health and Human Services,541511,CUSTOM COMPUTER PROGRAMMING SERVICES,true,false,false,true,5248625.91
2022,39057,OH,Department of Defense,334111,ELECTRONIC COMPUTER MANUFACTURING,true,false,false,true,5937490.51
2022,13067,GA,Department of Defense,541611,ADMINISTRATIVE MANAGEMENT AND GENERAL MANAGEMENT CONSULTING SERVICES,true,true,false,true,30000.0
2022,40109,OK,Department of Defense,236210,INDUSTRIAL BUILDING CONSTRUCTION,true,false,false,false,2539631.99
2022,06037,CA,Department of Agriculture,115310,SUPPORT ACTIVITIES FOR FORESTRY,true,false,false,true,1019430.0
2022,40079,OK,Department of Agriculture,236220,COMMERCIAL AND INSTITUTIONAL BUILDING CONSTRUCTION,true,false,true,false,26638.21
2022,27049,MN,Department of Defense,561730,LANDSCAPING SERVICES,true,false,true,false,114983.58
2022,51650,VA,Department of Defense,541512,COMPUTER SYSTEMS DESIGN SERVICES,true,false,false,true,1269169.52
2022,25017,MA,Department of Defense,236220,COMMERCIAL AND INSTITUTIONAL BUILDING CONSTRUCTION,true,false,true,false,3855899.8
2022,38101,ND,Department of Defense,561720,JANITORIAL SERVICES,true,true,false,false,9114.0
2022,31153,NE,Department of Defense,611430,PROFESSIONAL AND MANAGEMENT DEVELOPMENT TRAINING,true,true,false,true,10400.0
2022,13135,GA,Department of Homeland Security,334511,"SEARCH, DETECTION, NAVIGATION, GUIDANCE, AERONAUTICAL, AND NAUTICAL SYSTEM AND INSTRUMENT MANUFACTURING",true,false,false,false,1747905.0
2022,13127,GA,Department of Homeland Security,721110,HOTELS (EXCEPT CASINO HOTELS) AND MOTELS,true,false,false,true,2611091.4000000004
2022,39155,OH,Department of Defense,237310,"HIGHWAY, STREET, AND BRIDGE CONSTRUCTION",true,false,false,true,123825.0
2022,18097,IN,Department of Veterans Affairs,423450,"MEDICAL, DENTAL, AND HOSPITAL EQUIPMENT AND SUPPLIES MERCHANT WHOLESALERS",true,false,false,false,5775.0
2022,06073,CA,Department of Agriculture,115310,SUPPORT ACTIVITIES FOR FORESTRY,true,false,false,false,511846.5
2022,51740,VA,Department of Defense,713940,FITNESS AND RECREATIONAL SPORTS CENTERS,true,false,true,false,0.0
2022,20061,KS,Department of Defense,238160,ROOFING CONTRACTORS,true,false,false,false,10486766.57
2022,55079,WI,Department of Veterans Affairs,811219,OTHER ELECTRONIC AND PRECISION EQUIPMENT REPAIR AND MAINTENANCE,true,false,false,false,442217.04
2022,06037,CA,Department of Veterans Affairs,221330,STEAM AND AIR-CONDITIONING SUPPLY,true,true,true,true,13815.0
2022,05113,AR,Department of Agriculture,541720,RESEARCH AND DEVELOPMENT IN THE SOCIAL SCIENCES AND HUMANITIES,true,false,false,false,315503.4
2022,12086,FL,Department of Homeland Security,334513,"INSTRUMENTS AND RELATED PRODUCTS MANUFACTURING FOR MEASURING, DISPLAYING, AND CONTROLLING INDUSTRIAL PROCESS VARIABLES",true,false,true,false,39360.0
2022,26125,MI,Department of Defense,334517,IRRADIATION APPARATUS MANUFACTURING,true,false,false,false,210780.0
2022,13015,GA,Department of Veterans Affairs,623110,NURSING CARE FACILITIES (SKILLED NURSING FACILITIES),true,false,false,false,664137.5800000001
2022,48201,TX,General Services Administration,334310,AUDIO AND VIDEO EQUIPMENT MANUFACTURING,true,true,true,true,5745332.7
2022,51013,VA,Department of Defense,541511,CUSTOM COMPUTER PROGRAMMING SERVICES,true,false,true,true,99468304.00999999
2022,48465,TX,Department of Defense,811212,COMPUTER AND OFFICE MACHINE REPAIR AND MAINTENANCE,true,true,false,false,263481.12
2022,06037,CA,Department of Defense,316999,ALL OTHER LEATHER GOOD MANUFACTURING,true,false,false,false,588191.56
2022,29207,MO,Department of Agriculture,333924,"INDUSTRIAL TRUCK, TRACTOR, TRAILER, AND STACKER MACHINERY MANUFACTURING",true,false,true,false,196210.75
2022,20209,KS,Environmental Protection Agency,334516,ANALYTICAL LABORATORY INSTRUMENT MANUFACTURING,true,false,false,false,243742.58
2022,21047,KY,Department of Defense,561421,TELEPHONE ANSWERING SERVICES,true,false,false,true,1814799.4799999997
2022,42101,PA,Department of Veterans Affairs,337214,OFFICE FURNITURE (EXCEPT WOOD) MANUFACTURING,true,false,true,true,1266367.07
2022,51650,VA,Department of Defense,811310,COMMERCIAL AND INDUSTRIAL MACHINERY AND EQUIPMENT (EXCEPT AUTOMOTIVE AND ELECTRONIC) REPAIR AND MAINTENANCE,true,true,true,true,182915.53999999998
2022,28047,MS,Department of Defense,221122,ELECTRIC POWER DISTRIBUTION,true,false,false,false,5608189.0
2022,15003,HI,Department of Homeland Security,336611,SHIP BUILDING AND REPAIRING,true,false,false,false,2326535.0
2022,40031,OK,Department of Defense,236220,COMMERCIAL AND INSTITUTIONAL BUILDING CONSTRUCTION,true,false,true,true,3771135.92
2022,36029,NY,Department of Homeland Security,423410,PHOTOGRAPHIC EQUIPMENT AND SUPPLIES MERCHANT WHOLESALERS,true,false,false,false,114555.0
2022,11001,DC,Department of Education,541611,ADMINISTRATIVE MANAGEMENT AND GENERAL MANAGEMENT CONSULTING SERVICES,true,true,false,true,14622332.850000001
2022,36103,NY,Department of Veterans Affairs,339112,SURGICAL AND MEDICAL INSTRUMENT MANUFACTURING,true,false,false,false,284793.01
2022,48141,TX,Department of Defense,561210,FACILITIES SUPPORT SERVICES,true,false,false,true,26928908.330000002
2022,42125,PA,Department of the Treasury,517919,ALL OTHER TELECOMMUNICATIONS,true,false,false,false,54745.439999999995
2022,51107,VA,Department of Defense,541519,OTHER COMPUTER RELATED SERVICES,true,true,false,false,22428955.04
2022,16011,ID,Department of Agriculture,238120,STRUCTURAL STEEL AND PRECAST CONCRETE CONTRACTORS,true,false,false,false,65450.0
2022,51510,VA,Department of Justice,541512,COMPUTER SYSTEMS DESIGN SERVICES,true,false,true,false,21081150.009999998
2022,42091,PA,Department of Defense,332618,OTHER FABRICATED WIRE PRODUCT MANUFACTURING,true,false,false,false,325212.81999999995
2022,06071,CA,Department of Defense,332111,IRON AND STEEL FORGING,true,false,false,true,180625.6
2022,51810,VA,Department of Defense,332510,HARDWARE MANUFACTURING,true,false,false,false,1540962.36
2022,42021,PA,Department of Defense,336413,OTHER AIRCRAFT PARTS AND AUXILIARY EQUIPMENT MANUFACTURING,true,false,false,false,24945963.21
2022,11001,DC,Millennium Challenge Corporation,541519,OTHER COMPUTER RELATED SERVICES,true,true,false,false,2008296.9
2022,06071,CA,Department of Defense,561320,TEMPORARY HELP SERVICES,true,false,true,true,0.0
2022,06095,CA,Department of Agriculture,333924,"INDUSTRIAL TRUCK, TRACTOR, TRAILER, AND STACKER MACHINERY MANUFACTURING",true,false,false,false,228047.54
2022,48439,TX,Department of Defense,541330,ENGINEERING SERVICES,true,true,false,false,17268896.4
2022,34021,NJ,Department of Defense,332439,OTHER METAL CONTAINER MANUFACTURING,true,false,false,false,1466521.39
2022,06017,CA,Department of Defense,336413,OTHER AIRCRAFT PARTS AND AUXILIARY EQUIPMENT MANUFACTURING,true,false,false,false,12585002.650000002
2022,42017,PA,Department of Defense,332510,HARDWARE MANUFACTURING,true,true,false,false,369247.60999999987
2022,51710,VA,Department of Defense,237110,WATER AND SEWER LINE AND RELATED STRUCTURES CONSTRUCTION,true,false,false,false,3418515.27
2022,13051,GA,Department of Defense,236220,COMMERCIAL AND INSTITUTIONAL BUILDING CONSTRUCTION,true,false,false,true,7296497.559999999
2022,25011,MA,Department of Defense,333613,MECHANICAL POWER TRANSMISSION EQUIPMENT MANUFACTURING,true,false,true,true,1050.7
