fiscal_year,county_fips,state,agency,naics_code,naics_description,is_small_business,is_woman_owned,is_veteran_owned,total_obligation
2021,24031,MD,Department of Health and Human Services,541519,OTHER COMPUTER RELATED SERVICES,true,true,false,138815753.56
2021,13021,GA,General Services Administration,423840,INDUSTRIAL SUPPLIES MERCHANT WHOLESALERS,true,false,false,9337886.310000002
2021,24031,MD,Department of Health and Human Services,541690,OTHER SCIENTIFIC AND TECHNICAL CONSULTING SERVICES,true,true,false,11693465.07
2021,12009,FL,Department of Defense,541330,ENGINEERING SERVICES,true,false,false,8154249.570000001
2021,34007,NJ,Department of Defense,335931,CURRENT-CARRYING WIRING DEVICE MANUFACTURING,true,false,false,2145643.0300000003
2021,34023,NJ,Department of Defense,315990,APPAREL ACCESSORIES AND OTHER APPAREL MANUFACTURING,true,true,false,127620.63999999998
2021,37081,NC,General Services Administration,326199,ALL OTHER PLASTICS PRODUCT MANUFACTURING,true,true,false,7003.560000000001
2021,53057,WA,Department of Defense,311812,COMMERCIAL BAKERIES,true,false,false,29147545.59000001
2021,35035,NM,Department of Defense,333316,PHOTOGRAPHIC AND PHOTOCOPYING EQUIPMENT MANUFACTURING,true,true,false,47504.48
2021,17081,IL,Department of Defense,339999,ALL OTHER MISCELLANEOUS MANUFACTURING,true,true,false,189464.08000000002
2021,26049,MI,Department of Defense,339112,SURGICAL AND MEDICAL INSTRUMENT MANUFACTURING,true,false,true,239600.55
2021,29169,MO,Department of Defense,562211,HAZARDOUS WASTE TREATMENT AND DISPOSAL,true,false,false,623570.74
2021,47157,TN,Department of the Treasury,541519,OTHER COMPUTER RELATED SERVICES,true,true,false,9964429.44
2021,22089,LA,Department of Defense,333241,FOOD PRODUCT MACHINERY MANUFACTURING,true,false,false,2916456.0500000003
2021,51089,VA,General Services Administration,314999,ALL OTHER MISCELLANEOUS TEXTILE PRODUCT MILLS,true,false,true,916245.9399999998
2021,15003,HI,Department of Defense,332510,HARDWARE MANUFACTURING,true,false,false,3512394.6999999997
2021,17163,IL,Department of Defense,334111,ELECTRONIC COMPUTER MANUFACTURING,true,true,false,10551647.199999997
2021,30111,MT,Department of Health and Human Services,541330,ENGINEERING SERVICES,true,false,false,969101.0800000001
2021,11001,DC,Department of State,541990,"ALL OTHER PROFESSIONAL, SCIENTIFIC, AND TECHNICAL SERVICES",true,false,false,16753524.24
