geo_fips,geo_name,description,year,value,state_abbr.x,state_abbr.y
01000,Alabama,Real GDP (millions of chained 2017 dollars) 1/,2017,216615.5,AL,AL
01000,Alabama,Real GDP (millions of chained 2017 dollars) 1/,2018,220808.8,AL,AL
01000,Alabama,Real GDP (millions of chained 2017 dollars) 1/,2019,225272.8,AL,AL
01000,Alabama,Real GDP (millions of chained 2017 dollars) 1/,2020,222288.8,AL,AL
01000,Alabama,Real GDP (millions of chained 2017 dollars) 1/,2021,233726.6,AL,AL
01000,Alabama,Real GDP (millions of chained 2017 dollars) 1/,2022,238556.5,AL,AL
01000,Alabama,Real GDP (millions of chained 2017 dollars) 1/,2023,245354.7,AL,AL
01000,Alabama,Real per capita personal income 4/,2017,44472,AL,AL
01000,Alabama,Real per capita personal income 4/,2018,46441,AL,AL
01000,Alabama,Real per capita personal income 4/,2019,47137,AL,AL
01000,Alabama,Real per capita personal income 4/,2020,50183,AL,AL
01000,Alabama,Real per capita personal income 4/,2021,52707,AL,AL
01000,Alabama,Real per capita personal income 4/,2022,50630,AL,AL
01000,Alabama,Real per capita personal income 4/,2023,50039,AL,AL
01000,Alabama,Total employment (number of jobs),2017,2649222,AL,AL
01000,Alabama,Total employment (number of jobs),2018,2692424,AL,AL
01000,Alabama,Total employment (number of jobs),2019,2712014,AL,AL
01000,Alabama,Total employment (number of jobs),2020,2670753,AL,AL
01000,Alabama,Total employment (number of jobs),2021,2769122,AL,AL
01000,Alabama,Total employment (number of jobs),2022,2854910,AL,AL
01000,Alabama,Total employment (number of jobs),2023,2939353,AL,AL
02000,Alaska,Real GDP (millions of chained 2017 dollars) 1/,2017,53550.9,AK,AK
02000,Alaska,Real GDP (millions of chained 2017 dollars) 1/,2018,52479.6,AK,AK
02000,Alaska,Real GDP (millions of chained 2017 dollars) 1/,2019,52377.5,AK,AK
02000,Alaska,Real GDP (millions of chained 2017 dollars) 1/,2020,50332.8,AK,AK
02000,Alaska,Real GDP (millions of chained 2017 dollars) 1/,2021,51454.1,AK,AK
02000,Alaska,Real GDP (millions of chained 2017 dollars) 1/,2022,50767.1,AK,AK
02000,Alaska,Real GDP (millions of chained 2017 dollars) 1/,2023,54059.7,AK,AK
02000,Alaska,Real per capita personal income 4/,2017,54005,AK,AK
02000,Alaska,Real per capita personal income 4/,2018,55410,AK,AK
02000,Alaska,Real per capita personal income 4/,2019,56835,AK,AK
02000,Alaska,Real per capita personal income 4/,2020,58487,AK,AK
02000,Alaska,Real per capita personal income 4/,2021,57520,AK,AK
02000,Alaska,Real per capita personal income 4/,2022,58320,AK,AK
02000,Alaska,Real per capita personal income 4/,2023,58470,AK,AK
02000,Alaska,Total employment (number of jobs),2017,455550,AK,AK
02000,Alaska,Total employment (number of jobs),2018,454776,AK,AK
