Responder Type,Year,Survey Responder,Survey question,Response option,Percent,N
Employer Firms,2016,All employer firms,Actions taken in response to financial challenges,Used personal funds,75%,3968
Employer Firms,2017,All employer firms,Actions taken in response to financial challenges,Used personal funds,67%,4956
Employer Firms,2018,All employer firms,Actions taken in response to financial challenges,Used personal funds,67%,4067
Employer Firms,2020,All employer firms,Actions taken in response to financial challenges,Used personal funds,62%,7897
Employer Firms,2021,All employer firms,Actions taken in response to financial challenges,Used personal funds,61%,9537
Employer Firms,2022,All employer firms,Actions taken in response to financial challenges,Used personal funds,53%,7493
Employer Firms,2023,All employer firms,Actions taken in response to financial challenges,Used personal funds,53%,5777
Employer Firms,2016,All employer firms,Applications for financing,"Applied for a loan, line of credit, or merchant cash advance",38%,9868
Employer Firms,2017,All employer firms,Applications for financing,"Applied for a loan, line of credit, or merchant cash advance",34%,8169
Employer Firms,2018,All employer firms,Applications for financing,"Applied for a loan, line of credit, or merchant cash advance",36%,6614
Employer Firms,2019,All employer firms,Applications for financing,"Applied for a loan, line of credit, or merchant cash advance",37%,5154
Employer Firms,2020,All employer firms,Applications for financing,"Applied for a loan, line of credit, or merchant cash advance",28%,9407
Employer Firms,2021,All employer firms,Applications for financing,"Applied for a loan, line of credit, or merchant cash advance",25%,10580
Employer Firms,2022,All employer firms,Applications for financing,"Applied for a loan, line of credit, or merchant cash advance",40%,7864
Employer Firms,2023,All employer firms,Applications for financing,"Applied for a loan, line of credit, or merchant cash advance",37%,6131
Employer Firms,2016,All employer firms,Best outcome on loan/LOC/merchant cash advance application(s),All (100%),54%,3661
Employer Firms,2017,All employer firms,Best outcome on loan/LOC/merchant cash advance application(s),All (100%),57%,2695
Employer Firms,2018,All employer firms,Best outcome on loan/LOC/merchant cash advance application(s),All (100%),58%,2297
Employer Firms,2019,All employer firms,Best outcome on loan/LOC/merchant cash advance application(s),All (100%),62%,1835
Employer Firms,2020,All employer firms,Best outcome on loan/LOC/merchant cash advance application(s),All (100%),50%,2433
Employer Firms,2021,All employer firms,Best outcome on loan/LOC/merchant cash advance application(s),All (100%),46%,2426
Employer Firms,2022,All employer firms,Best outcome on loan/LOC/merchant cash advance application(s),All (100%),53%,3026
