GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
 "08000","Colorado",7,CAGDP2,1,"...","All industry total ","Thousands of dollars",185848949,189604648,195137640,203743341,220803754,232853629,248571565,257606096,249817109,256771808,266114105,274738794,291265349,309223898,320895865,330565921,350209112,373923074,397843587,396741869,445835686,494672778,529626520
 "08000","Colorado",7,CAGDP2,2,"..."," Private industries ","Thousands of dollars",162366524,164383987,168913824,176661078,192396891,203806613,218797831,225670497,216945776,222855156,231929026,240010916,255585744,271923407,281378066,289386358,307059120,328706116,350626478,347320933,394179060,440169713,470567886
 "08000","Colorado",7,CAGDP2,3,"11","  Agriculture, forestry, fishing and hunting ","Thousands of dollars",1858638,1531693,1584828,2066923,2112499,1973704,2488000,2165830,2027278,2274301,2780881,2558335,2715612,2726541,2801889,2621601,2364919,2487052,2528826,1851089,3038072,3398824,3437189
 "08000","Colorado",7,CAGDP2,6,"21","  Mining, quarrying, and oil and gas extraction ","Thousands of dollars",2742715,2654153,4310748,5696541,9517444,10939883,11279371,15840121,10663290,11696557,13370571,12403582,14194951,17771839,11786673,9754981,13292822,16033939,14440422,8683984,15488907,21597212,18566300
 "08000","Colorado",7,CAGDP2,10,"22","  Utilities ","Thousands of dollars",2337572,2240777,2477987,2795394,2872074,3441458,3081455,3312618,3286380,3875294,3984592,3779323,3808068,4136270,4156129,3986344,3940150,3946298,4520653,5012462,6242016,6287353,6921751
 "08000","Colorado",7,CAGDP2,11,"23","  Construction ","Thousands of dollars",12029915,11852305,11556233,12052734,13185074,13852988,14277226,13603389,11466565,9289707,9445709,10110578,12584547,15118080,17003710,18898556,20895748,22790606,24639100,25217683,26285480,29177290,31503911
 "08000","Colorado",7,CAGDP2,12,"31-33","  Manufacturing ","Thousands of dollars",14481492,14885798,14528424,15663976,16779626,18201086,19414849,19054105,19395209,19758831,20088732,20549829,20841831,21666150,22353745,21878433,21524028,23032540,24252955,25074372,26059673,26790336,28063051
 "08000","Colorado",7,CAGDP2,13,"321,327-339","   Durable goods manufacturing ","Thousands of dollars",9081222,9946772,9520083,10492860,10853015,11976990,12734873,11442250,10520882,11957708,12231021,12907434,13421913,13275718,13636371,13442445,13803686,14747057,15731501,15867450,15961534,16487699,17136159
 "08000","Colorado",7,CAGDP2,25,"311-316,322-326","   Nondurable goods manufacturing ","Thousands of dollars",5400270,4939026,5008341,5171116,5926611,6224096,6679976,7611854,8874327,7801122,7857711,7642395,7419918,8390432,8717374,8435988,7720342,8285483,8521454,9206923,10098138,10302637,10926892
 "08000","Colorado",7,CAGDP2,34,"42","  Wholesale trade ","Thousands of dollars",10347792,10073042,10146133,10609098,11536448,12498036,13695295,14355279,13377936,14077068,14671810,15833016,16729348,17861397,18802319,19030573,20006146,20943526,22575875,23018501,25076086,28365671,29761787
 "08000","Colorado",7,CAGDP2,35,"44-45","  Retail trade ","Thousands of dollars",11711696,11989157,12223227,12639638,13352673,13747406,14140717,13991333,13690645,14161846,14300257,15040545,15868915,16720066,18029165,19279551,20291820,21249640,22333266,24011935,26669073,28526293,30789430
 "08000","Colorado",7,CAGDP2,36,"48-49","  Transportation and warehousing ","Thousands of dollars",4612951,4717684,5136913,5867619,6497698,5643757,6761367,6684636,6465952,6880191,6863865,7727635,10174458,11274058,12511951,11875656,12316071,13611457,13364428,10950766,13738845,17352474,18354362
 "08000","Colorado",7,CAGDP2,45,"51","  Information ","Thousands of dollars",17540822,16778363,16540657,15976470,16672814,17449063,18980361,19205225,18478287,18759215,18798995,17935973,18798982,18624122,17866074,17820442,16445325,18219938,22625567,25988178,27437421,29148812,31116363
 "08000","Colorado",7,CAGDP2,50,"52,53","  Finance, insurance, real estate, rental, and leasing ","Thousands of dollars",39687706,41291709,41868907,41321055,43750685,46171259,50045215,48713238,49313062,50620840,53455727,54846024,57408486,58845780,62854148,67099958,72358401,76564047,81602912,84822340,94588275,102344839,110533234
 "08000","Colorado",7,CAGDP2,51,"52","   Finance and insurance ","Thousands of dollars",11828249,11760971,12194879,11645363,13480655,13848296,13943591,11315146,12987708,13199553,13396643,15205119,15630117,16109742,17474951,18849859,20335216,21709735,22459613,24831503,26384892,26482681,27734621
 "08000","Colorado",7,CAGDP2,56,"53","   Real estate and rental and leasing ","Thousands of dollars",27859457,29530737,29674027,29675692,30270031,32322962,36101624,37398092,36325354,37421287,40059084,39640905,41778369,42736038,45379197,48250099,52023184,54854312,59143299,59990836,68203384,75862158,82798612
 "08000","Colorado",7,CAGDP2,59,"54,55,56","  Professional and business services ","Thousands of dollars",22328122,22121888,23414435,25495600,27957301,30254590,33431947,35627535,34862553,36403608,37768015,40787630,41673503,43968374,46272117,47436171,51356947,54771783,59831250,59758687,68398274,76904434,84157433
 "08000","Colorado",7,CAGDP2,60,"54","   Professional, scientific, and technical services ","Thousands of dollars",14538270,14404724,15016213,16067582,17506111,19002287,21014029,23102256,22698562,23568182,24535881,25805053,27142907,28412612,29833221,31196254,32999246,35775395,39293186,39681758,46037793,52094344,58062257
 "08000","Colorado",7,CAGDP2,64,"55","   Management of companies and enterprises ","Thousands of dollars",1987668,1965896,2346521,2969257,3446549,3894681,4428981,4348299,4636013,5076532,5345978,6486063,5958537,6368334,6861201,6296706,7617122,7380624,8267053,8323008,9232683,9830270,10239365
 "08000","Colorado",7,CAGDP2,65,"56","   Administrative and support and waste management and remediation services ","Thousands of dollars",5802184,5751268,6051700,6458761,7004641,7357621,7988936,8176980,7527979,7758893,7886156,8496515,8572059,9187428,9577695,9943210,10740579,11615764,12271011,11753920,13127797,14979821,15855811
 "08000","Colorado",7,CAGDP2,68,"61,62","  Educational services, health care, and social assistance ","Thousands of dollars",10313449,11127311,11900773,12734272,13327494,14074816,14977037,16413351,17713891,18489376,19129020,20023137,20607345,21679855,23157366,24647559,25561473,26831223,28266825,28229208,30494442,32993007,36064114
 "08000","Colorado",7,CAGDP2,69,"61","   Educational services ","Thousands of dollars",1155477,1171071,1307346,1478435,1575077,1703993,1797656,1991942,2206871,2407738,2458476,2603285,2681860,2811705,2864167,3039595,3110039,3335888,3549901,3353322,3701502,4121187,4392364
 "08000","Colorado",7,CAGDP2,70,"62","   Health care and social assistance ","Thousands of dollars",9157972,9956241,10593427,11255837,11752417,12370824,13179380,14421409,15507020,16081638,16670544,17419852,17925485,18868150,20293198,21607964,22451434,23495335,24716924,24875886,26792940,28871820,31671749
 "08000","Colorado",7,CAGDP2,75,"71,72","  Arts, entertainment, recreation, accommodation, and food services ","Thousands of dollars",7735264,8151115,8155814,8502620,9359740,9876630,10367628,10752927,10391826,10761382,11351848,12159118,13621244,14465491,16260799,17195702,18414752,19313267,20211311,15578775,20677184,26005592,29125724
 "08000","Colorado",7,CAGDP2,76,"71","   Arts, entertainment, and recreation ","Thousands of dollars",2147023,2321294,2303650,2115578,2375590,2477560,2600578,2785183,2808195,2979173,3123267,3317211,4182752,4740346,5318127,5674745,5957318,6080955,5913661,4404862,5465826,6763583,7755784
 "08000","Colorado",7,CAGDP2,79,"72","   Accommodation and food services ","Thousands of dollars",5588241,5829821,5852164,6387042,6984150,7399070,7767049,7967744,7583631,7782209,8228581,8841908,9438491,9725145,10942672,11520956,12457434,13232312,14297650,11173913,15211358,19242009,21369941
 "08000","Colorado",7,CAGDP2,82,"81","  Other services (except government and government enterprises) ","Thousands of dollars",4638389,4968993,5068744,5239138,5475320,5681937,5857364,5950910,5812902,5806942,5919005,6256191,6558453,7065384,7521981,7860832,8290522,8910801,9433087,9122953,9985313,11277576,12173239
 "08000","Colorado",7,CAGDP2,83,"92","Government and government enterprises ","Thousands of dollars",23482425,25220661,26223816,27082262,28406863,29047016,29773734,31935599,32871333,33916652,34185079,34727878,35679605,37300491,39517799,41179563,43149992,45216958,47217109,49420936,51656626,54503064,59058634
 "08000","Colorado",7,CAGDP2,87,"11,21","Natural resources and mining ","Thousands of dollars",4601353,4185846,5895577,7763464,11629944,12913587,13767372,18005951,12690567,13970858,16151452,14961917,16910564,20498380,14588562,12376582,15657741,18520990,16969248,10535073,18526979,24996036,22003489
 "08000","Colorado",7,CAGDP2,88,"42,44-45","Trade ","Thousands of dollars",22059488,22062198,22369360,23248735,24889120,26245441,27836012,28346611,27068581,28238914,28972067,30873560,32598263,34581462,36831484,38310124,40297965,42193166,44909141,47030435,51745159,56891964,60551216
 "08000","Colorado",7,CAGDP2,89,"22,48-49","Transportation and utilities ","Thousands of dollars",6950523,6958460,7614900,8663013,9369772,9085215,9842822,9997254,9752333,10755485,10848457,11506958,13982526,15410328,16668080,15862000,16256221,17557755,17885081,15963228,19980861,23639827,25276113
 "08000","Colorado",7,CAGDP2,90,"31-33,51","Manufacturing and information ","Thousands of dollars",32022314,31664161,31069082,31640446,33452440,35650149,38395210,38259330,37873496,38518045,38887727,38485802,39640813,40290272,40219819,39698875,37969352,41252477,46878522,51062550,53497093,55939148,59179414
 "08000","Colorado",7,CAGDP2,91,"...","Private goods-producing industries 2/","Thousands of dollars",31112760,30923949,31980234,35480174,41594644,44967661,47459446,50663445,43552342,43019396,45685892,45622324,50336942,57282610,53946016,53153571,58077516,64344136,65861303,60827129,70872131,80963662,81570451
 "08000","Colorado",7,CAGDP2,92,"...","Private services-providing industries 3/","Thousands of dollars",131253764,133460037,136933590,141180904,150802247,158838952,171338385,175007052,173393434,179835760,186243134,194388592,205248802,214640796,227432049,236232788,248981604,264361979,284765175,286493805,323306929,359206051,388997435
 "08001","Adams, CO*",7,CAGDP2,1,"...","All industry total ","Thousands of dollars",10802010,11247572,11810461,12740725,13764308,14695185,15533769,17532603,17091761,17377304,18021831,18651782,19797172,21829543,23110625,24214126,25629536,27591876,29759641,30217963,34195959,38204811,41298985
 "08001","Adams, CO*",7,CAGDP2,2,"..."," Private industries ","Thousands of dollars",9681242,9998237,10499770,11398860,12487496,13336453,14132864,15036383,14207260,14458929,15122796,15701396,16662160,18475304,19455356,20317973,21445727,22994803,24493764,24663018,28206499,31771265,34227704
 "08001","Adams, CO*",7,CAGDP2,3,"11","  Agriculture, forestry, fishing and hunting ","Thousands of dollars",5257,19738,5043,(D),8128,19539,14765,46833,46640,61364,105339,92218,64771,(D),(D),42166,39600,(D),97592,41882,106896,113455,91973
 "08001","Adams, CO*",7,CAGDP2,6,"21","  Mining, quarrying, and oil and gas extraction ","Thousands of dollars",36338,37173,48335,54610,90245,97460,95482,122710,93359,95055,102552,88544,157152,212198,143174,119461,160728,280382,588851,311941,605367,906035,978683
