GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
 "09000","Connecticut",1,CAGDP2,1,"...","All industry total ","Thousands of dollars",171124406,172929671,177814821,194722852,204504613,219812193,232626817,236110736,231627966,234022164,233058736,239907503,240549194,247114675,260648526,264760380,273875070,280535397,286451880,278029439,296801348,321686431,345911907
 "09000","Connecticut",1,CAGDP2,2,"..."," Private industries ","Thousands of dollars",154118005,154974984,159318538,175159895,183549111,198075281,209601639,212013098,207640258,209968811,208770663,215642175,215463530,221381760,233840670,237707328,246281003,252906023,259077130,250388145,268557888,292201381,315066636
 "09000","Connecticut",1,CAGDP2,3,"11","  Agriculture, forestry, fishing and hunting ","Thousands of dollars",358507,325691,341987,387130,375432,362429,387484,389762,357871,381686,379682,414195,481352,408654,431943,373108,396712,363332,353291,310622,382502,510941,442478
 "09000","Connecticut",1,CAGDP2,6,"21","  Mining, quarrying, and oil and gas extraction ","Thousands of dollars",97829,99409,116397,113251,116408,150950,162171,125092,108385,154329,135014,156131,142312,162398,206029,252178,157690,155246,151818,192364,150166,151143,200925
 "09000","Connecticut",1,CAGDP2,10,"22","  Utilities ","Thousands of dollars",2730195,2530028,2760081,3122297,3645766,4039565,4329451,4717458,4967625,4642463,4358220,4832678,4882959,5264050,4766229,4342569,4340594,4499944,4664443,4937386,4968155,5293939,5626912
 "09000","Connecticut",1,CAGDP2,11,"23","  Construction ","Thousands of dollars",5828508,5628055,5941236,6792105,7454854,7994334,8342346,7537546,7015578,6544226,6467637,6648539,6607634,6726129,7152487,7462106,7547691,7717775,8091936,7430290,8190417,9023956,9742585
 "09000","Connecticut",1,CAGDP2,12,"31-33","  Manufacturing ","Thousands of dollars",23655674,25938583,26294357,30855885,31577293,37577817,38637658,38829667,28692072,28947026,28349434,28941484,30073608,28973822,29509275,27095029,28374251,31694022,33958404,31120711,33733303,36573867,40426298
 "09000","Connecticut",1,CAGDP2,13,"321,327-339","   Durable goods manufacturing ","Thousands of dollars",15044631,13752682,14694853,14837515,15727469,16869153,17237989,17794129,17726657,19648474,19384095,20410196,20895014,19991669,20515299,19149923,20076428,22839685,25466504,22369263,24672331,26205620,29580884
 "09000","Connecticut",1,CAGDP2,25,"311-316,322-326","   Nondurable goods manufacturing ","Thousands of dollars",8611043,12185901,11599504,16018371,15849824,20708664,21399668,21035538,10965415,9298552,8965339,8531288,9178595,8982153,8993976,7945106,8297823,8854337,8491901,8751448,9060972,10368248,10845414
 "09000","Connecticut",1,CAGDP2,34,"42","  Wholesale trade ","Thousands of dollars",9066968,8851370,9289878,9937622,11048823,12144549,12844522,13765664,13284635,14258095,14742509,15962573,15879514,15628958,15891756,15107198,14667332,14715331,14873154,14905796,16015881,18398343,19094331
 "09000","Connecticut",1,CAGDP2,35,"44-45","  Retail trade ","Thousands of dollars",10845252,11058568,11480360,11602147,11959399,11746536,11717601,11484172,11333205,11532332,11928857,12678763,13137331,13514236,14042275,14345762,14634190,15233105,15509830,15621627,17934324,18628718,20202912
 "09000","Connecticut",1,CAGDP2,36,"48-49","  Transportation and warehousing ","Thousands of dollars",2718106,2744704,2998795,3236269,3428657,3635376,4098878,4030847,3787347,3705632,3793188,3967344,3987046,4549883,5719538,5580286,5580563,5622376,5596091,5653137,6650934,7468698,7989175
 "09000","Connecticut",1,CAGDP2,45,"51","  Information ","Thousands of dollars",6605398,6901786,7244272,7894532,8598211,9000199,10246955,10866230,10638623,10658631,10502797,10135803,11504724,11686512,13305763,14250801,14113856,14660929,16301116,15670644,16779956,17658898,18776708
 "09000","Connecticut",1,CAGDP2,50,"52,53","  Finance, insurance, real estate, rental, and leasing ","Thousands of dollars",48862504,46424707,46437976,52586003,54850309,58281505,62348643,60466499,68011515,68436587,65930841,65894944,62034579,65425319,71663158,75782198,81940181,81389687,79660582,80307375,80814736,86624709,93808325
 "09000","Connecticut",1,CAGDP2,51,"52","   Finance and insurance ","Thousands of dollars",26091651,23545538,24010213,28641195,29982188,33905103,35430194,28258635,33740170,33626206,31642415,33030472,29664045,32637994,38436051,41155026,46917082,43332046,40719694,39425456,39318073,42074088,44762095
 "09000","Connecticut",1,CAGDP2,56,"53","   Real estate and rental and leasing ","Thousands of dollars",22770853,22879168,22427763,23944807,24868122,24376402,26918450,32207864,34271345,34810382,34288426,32864472,32370534,32787325,33227107,34627172,35023099,38057641,38940888,40881919,41496663,44550621,49046231
 "09000","Connecticut",1,CAGDP2,59,"54,55,56","  Professional and business services ","Thousands of dollars",20671941,20274370,21158140,22012757,22866127,24119663,26472254,27809019,25821655,26186491,26828407,28748599,29067315,30680891,31660580,32148624,32497864,33318195,34139287,32216114,35522719,40102219,42245545
 "09000","Connecticut",1,CAGDP2,60,"54","   Professional, scientific, and technical services ","Thousands of dollars",12353281,12365388,12614890,12968453,13287130,13745724,14686419,16198869,15048593,15065795,15473914,15922846,16018054,17046002,17673890,18095100,18522075,19076865,19688987,18609524,20959509,23267953,24641337
 "09000","Connecticut",1,CAGDP2,64,"55","   Management of companies and enterprises ","Thousands of dollars",4197296,3773490,4194051,4403780,4481702,4949687,5663438,5326430,5242784,5299200,5454087,6436066,6646567,6877348,7024089,7058519,6581987,6701687,6853949,6330531,6305540,7337352,7482834
 "09000","Connecticut",1,CAGDP2,65,"56","   Administrative and support and waste management and remediation services ","Thousands of dollars",4121364,4135492,4349199,4640524,5097296,5424252,6122397,6283720,5530278,5821496,5900406,6389687,6402693,6757541,6962601,6995005,7393802,7539643,7596350,7276060,8257670,9496914,10121373
 "09000","Connecticut",1,CAGDP2,68,"61,62","  Educational services, health care, and social assistance ","Thousands of dollars",13968240,14895479,15774010,16734789,17318612,18342034,19322626,21239794,22604994,23313667,23833353,24856297,25241579,25903795,26253668,27088409,27656061,28671571,30075215,29585612,31664179,33998086,36808980
 "09000","Connecticut",1,CAGDP2,69,"61","   Educational services ","Thousands of dollars",2541086,2672083,2959350,3226726,3258643,3503480,3759326,4218414,4786446,5035799,5165502,5395898,5502077,5734141,5796453,6006592,6067764,6308467,6716475,6499994,6884147,7520725,8163270
 "09000","Connecticut",1,CAGDP2,70,"62","   Health care and social assistance ","Thousands of dollars",11427154,12223396,12814661,13508063,14059969,14838554,15563300,17021381,17818547,18277868,18667851,19460399,19739502,20169653,20457216,21081817,21588298,22363104,23358741,23085618,24780032,26477360,28645710
 "09000","Connecticut",1,CAGDP2,75,"71,72","  Arts, entertainment, recreation, accommodation, and food services ","Thousands of dollars",4983506,5312453,5535966,5760091,5907070,6097789,6068528,6345740,6665235,6901450,7205137,7907722,7824036,7591718,8206825,8766094,9128379,9313139,9995098,7384104,10246330,11613963,13146577
 "09000","Connecticut",1,CAGDP2,76,"71","   Arts, entertainment, and recreation ","Thousands of dollars",1606874,1690622,1863681,1984943,2050559,2093178,2020584,2075814,2216363,2186118,2275422,2580013,2449770,2473870,2333256,2427108,2396882,2509150,2492641,2166588,3199864,3673507,4130745
 "09000","Connecticut",1,CAGDP2,79,"72","   Accommodation and food services ","Thousands of dollars",3376632,3621831,3672286,3775148,3856511,4004612,4047944,4269927,4448872,4715331,4929714,5327709,5374266,5117847,5873569,6338986,6731497,6803988,7502458,5217516,7046465,7940456,9015832
 "09000","Connecticut",1,CAGDP2,82,"81","  Other services (except government and government enterprises) ","Thousands of dollars",3725376,3989782,3945083,4125019,4402151,4582535,4622521,4405606,4351520,4306197,4315588,4497103,4599544,4865396,5031142,5112968,5245639,5551370,5706865,5052363,5504286,6153902,6554883
 "09000","Connecticut",1,CAGDP2,83,"92","Government and government enterprises ","Thousands of dollars",17006401,17954688,18496284,19562956,20955501,21736912,23025178,24097637,23987708,24053353,24288072,24265328,25085663,25732915,26807855,27053052,27594067,27629374,27374750,27641295,28243460,29485050,30845271
 "09000","Connecticut",1,CAGDP2,87,"11,21","Natural resources and mining ","Thousands of dollars",456336,425100,458383,500380,491840,513379,549655,514854,466255,536014,514696,570325,623663,571053,637972,625285,554401,518578,505109,502986,532669,662083,643403
 "09000","Connecticut",1,CAGDP2,88,"42,44-45","Trade ","Thousands of dollars",19912219,19909938,20770238,21539768,23008222,23891086,24562123,25249836,24617839,25790426,26671366,28641336,29016845,29143193,29934032,29452960,29301522,29948436,30382984,30527424,33950205,37027061,39297243
 "09000","Connecticut",1,CAGDP2,89,"22,48-49","Transportation and utilities ","Thousands of dollars",5448301,5274731,5758875,6358566,7074423,7674941,8428329,8748305,8754972,8348095,8151408,8800022,8870005,9813932,10485768,9922855,9921157,10122320,10260534,10590523,11619089,12762637,13616088
 "09000","Connecticut",1,CAGDP2,90,"31-33,51","Manufacturing and information ","Thousands of dollars",30261072,32840369,33538629,38750417,40175504,46578016,48884613,49695897,39330695,39605657,38852231,39077288,41578332,40660334,42815038,41345830,42488107,46354951,50259521,46791354,50513259,54232765,59203007
 "09000","Connecticut",1,CAGDP2,91,"...","Private goods-producing industries 2/","Thousands of dollars",29940518,31991737,32693976,38148371,39523987,46085530,47529659,46882068,36173905,36027267,35331767,36160348,37304906,36271004,37299734,35182420,36476343,39930375,42555449,39053986,42456389,46259907,50812286
 "09000","Connecticut",1,CAGDP2,92,"...","Private services-providing industries 3/","Thousands of dollars",124177487,122983246,126624562,137011524,144025125,151989751,162071980,165131030,171466353,173941544,173438897,179481826,178158625,185110756,196540937,202524908,209804659,212975648,216521681,211334159,226101499,245941474,264254349
 "09001","Fairfield, CT",1,CAGDP2,1,"...","All industry total ","Thousands of dollars",59428558,60434627,61125644,66397709,70432247,75570036,80353134,83421470,81396284,80688035,78194550,82845217,82305210,85003023,88053584,88414129,91838477,93080042,93054847,90536889,98170180,107596634,116030979
 "09001","Fairfield, CT",1,CAGDP2,2,"..."," Private industries ","Thousands of dollars",56243637,57024510,57596261,62634041,66499733,71472369,76025328,78948853,76929581,76167064,73835354,78364015,77676113,80057829,82851410,83149426,86466401,87556311,87488278,84937519,92498713,101722014,109957596
 "09001","Fairfield, CT",1,CAGDP2,3,"11","  Agriculture, forestry, fishing and hunting ","Thousands of dollars",43140,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),70660,65490,57398,23059,51772,35955,56450,10540,7795,50577,12996
 "09001","Fairfield, CT",1,CAGDP2,6,"21","  Mining, quarrying, and oil and gas extraction ","Thousands of dollars",4956,5267,7676,9946,7194,10046,9412,7212,5598,12587,13047,11137,12368,15967,17031,15590,15137,11218,10802,48377,36263,35273,37940
 "09001","Fairfield, CT",1,CAGDP2,10,"22","  Utilities ","Thousands of dollars",555660,526691,623617,798000,1037943,1325745,1447646,2380423,2048606,1595117,1006136,1637315,1423891,1846871,1313595,923590,551608,1068019,1189811,850923,1181639,1050043,1112112
 "09001","Fairfield, CT",1,CAGDP2,11,"23","  Construction ","Thousands of dollars",1858280,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),1877810,1832843,2003710,2106052,2127857,2171909,2241057,1955105,2298398,2823457,3052449
 "09001","Fairfield, CT",1,CAGDP2,12,"31-33","  Manufacturing ","Thousands of dollars",7419704,9136310,8878341,11168379,11040945,13163500,14317958,17743108,12928126,11930288,11560904,11087586,10250673,10073579,9216367,8031383,7261878,7374306,7018937,6750037,7941296,8665580,9522335
 "09001","Fairfield, CT",1,CAGDP2,13,"321,327-339","   Durable goods manufacturing ","Thousands of dollars",(D),3409495,3692255,3575120,3704923,3966277,4002675,4272711,4545482,4968917,4887995,5040794,4987756,4674030,4464556,3912325,3682345,4263193,4627472,4195541,4678286,5081516,5663514
 "09001","Fairfield, CT",1,CAGDP2,25,"311-316,322-326","   Nondurable goods manufacturing ","Thousands of dollars",(D),5726815,5186086,7593259,7336022,9197223,10315283,13470397,8382644,6961371,6672909,6046792,5262917,5399549,4751811,4119058,3579532,3111113,2391465,2554496,3263010,3584064,3858821
 "09001","Fairfield, CT",1,CAGDP2,34,"42","  Wholesale trade ","Thousands of dollars",4012076,3806590,3855618,4009805,4306582,4525615,4515731,4805780,4753213,5098148,5241228,5620443,6020288,6395492,7067765,7092953,7048306,7017356,7107958,7138371,7726917,9082732,9410579
 "09001","Fairfield, CT",1,CAGDP2,35,"44-45","  Retail trade ","Thousands of dollars",3792945,3746654,3838408,3601133,3734120,3510196,3609442,3549429,3525251,3554304,3962726,4296700,4495138,4644065,4778595,4820085,4731381,4937882,5005223,4939754,5614591,6061300,6568967
 "09001","Fairfield, CT",1,CAGDP2,36,"48-49","  Transportation and warehousing ","Thousands of dollars",824016,812095,878095,923204,1010586,1058157,1676773,1501448,1312267,1064187,991704,1291224,1127374,1554591,2591568,2360464,2175457,1770064,1375838,1688089,1602106,1701155,1843126
 "09001","Fairfield, CT",1,CAGDP2,45,"51","  Information ","Thousands of dollars",2544639,2624093,2621912,2728102,2963083,3073818,3839292,4192099,4250580,4341139,4287384,4075889,4747557,4706701,5513122,6052602,6324371,6950818,7855280,7652564,8107154,8465159,9291857
 "09001","Fairfield, CT",1,CAGDP2,50,"52,53","  Finance, insurance, real estate, rental, and leasing ","Thousands of dollars",18262823,17781755,17739905,19609376,21707723,22884019,23358017,20781807,25329849,25476263,23222001,24969281,24193095,25196725,25781470,26424687,30779088,29887449,28319954,29256329,30634444,32724606,35670320
 "09001","Fairfield, CT",1,CAGDP2,51,"52","   Finance and insurance ","Thousands of dollars",11204602,10670001,10674627,11541089,13162918,14791201,14359007,9989950,13468637,13967917,12003023,14343980,13638194,13994877,14722540,15668196,19726386,17586656,16244381,15932415,16727823,17776964,18801674
 "09001","Fairfield, CT",1,CAGDP2,56,"53","   Real estate and rental and leasing ","Thousands of dollars",7058220,7111754,7065278,8068287,8544805,8092817,8999010,10791858,11861213,11508346,11218979,10625301,10554901,11201848,11058929,10756492,11052703,12300793,12075573,13323914,13906621,14947642,16868646
 "09001","Fairfield, CT",1,CAGDP2,59,"54,55,56","  Professional and business services ","Thousands of dollars",10529129,9804847,10090070,10220137,10794935,11372922,12414348,12856870,11419208,11593047,11848388,13026987,13205355,13412826,13912257,14204627,13840191,14275405,14548545,13339457,14817127,17082293,17876570
 "09001","Fairfield, CT",1,CAGDP2,60,"54","   Professional, scientific, and technical services ","Thousands of dollars",5836803,5635187,5629373,5720738,5832127,6032119,6341896,7119038,6445649,6413181,6539575,6648243,6732492,6968752,7272479,7572215,7790073,8147367,8414411,7784117,8825282,9971207,10377912
 "09001","Fairfield, CT",1,CAGDP2,64,"55","   Management of companies and enterprises ","Thousands of dollars",2995123,2564076,2791114,2744972,2978697,3184707,3578028,3249788,3005986,3100560,3206609,3899695,3994234,3821091,3920947,3960143,3297752,3321949,3333940,2900036,3016007,3472517,3566306
 "09001","Fairfield, CT",1,CAGDP2,65,"56","   Administrative and support and waste management and remediation services ","Thousands of dollars",1697203,1605584,1669583,1754428,1984112,2156096,2494424,2488044,1967573,2079305,2102204,2479048,2478629,2622982,2718831,2672269,2752366,2806089,2800194,2655304,2975837,3638570,3932353
 "09001","Fairfield, CT",1,CAGDP2,68,"61,62","  Educational services, health care, and social assistance ","Thousands of dollars",3449165,3689570,3921281,4169230,4333613,4527618,4756785,5287880,5550178,5660925,5761957,5985675,6029221,6157181,6348321,6600143,6798292,7120097,7431613,7212876,7746104,8378434,9137172
 "09001","Fairfield, CT",1,CAGDP2,69,"61","   Educational services ","Thousands of dollars",409762,433560,487777,542156,556556,597289,660138,744885,840383,896530,922239,949563,935183,970959,997801,1077169,1094845,1126105,1174505,1121256,1163098,1287772,1409785
 "09001","Fairfield, CT",1,CAGDP2,70,"62","   Health care and social assistance ","Thousands of dollars",3039403,3256010,3433504,3627075,3777057,3930329,4096648,4542995,4709796,4764394,4839719,5036112,5094037,5186223,5350521,5522975,5703447,5993992,6257108,6091620,6583006,7090663,7727386
 "09001","Fairfield, CT",1,CAGDP2,75,"71,72","  Arts, entertainment, recreation, accommodation, and food services ","Thousands of dollars",1668581,1793916,1844051,1877695,1707867,1821615,1915565,2107778,2313302,2521605,2638184,2891551,2718722,2611073,2679151,2945034,3113598,3153541,3425859,2411993,3064160,3683239,4372877
 "09001","Fairfield, CT",1,CAGDP2,76,"71","   Arts, entertainment, and recreation ","Thousands of dollars",759673,806562,854296,782678,729252,790726,783767,865938,918600,917803,942351,1168905,1118707,1153341,1027751,1044867,1091217,1147442,1138821,820492,1111916,1344922,1726566
 "09001","Fairfield, CT",1,CAGDP2,79,"72","   Accommodation and food services ","Thousands of dollars",908909,987354,989755,1095017,978615,1030889,1131797,1241840,1394702,1603803,1695833,1722646,1600015,1457732,1651400,1900168,2022381,2006100,2287038,1591501,1952244,2338318,2646310
 "09001","Fairfield, CT",1,CAGDP2,82,"81","  Other services (except government and government enterprises) ","Thousands of dollars",1278525,1373362,1315303,1297718,1341347,1396453,1435022,1406428,1385573,1386359,1412720,1495561,1503961,1544425,1571059,1549156,1647465,1782292,1900950,1683105,1720717,1918164,2048297
 "09001","Fairfield, CT",1,CAGDP2,83,"92","Government and government enterprises ","Thousands of dollars",3184921,3410117,3529383,3763668,3932514,4097667,4327806,4472618,4466704,4520970,4359196,4481202,4629097,4945194,5202174,5264704,5372075,5523731,5566569,5599371,5671467,5874620,6073383
 "09001","Fairfield, CT",1,CAGDP2,87,"11,21","Natural resources and mining ","Thousands of dollars",48095,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),83028,81457,74429,38649,66909,47173,67253,58917,44059,85850,50936
 "09001","Fairfield, CT",1,CAGDP2,88,"42,44-45","Trade ","Thousands of dollars",7805021,7553244,7694026,7610938,8040702,8035811,8125173,8355209,8278464,8652452,9203953,9917143,10515426,11039557,11846360,11913038,11779687,11955239,12113181,12078125,13341508,15144032,15979546
 "09001","Fairfield, CT",1,CAGDP2,89,"22,48-49","Transportation and utilities ","Thousands of dollars",1379676,1338786,1501712,1721204,2048529,2383902,3124419,3881871,3360873,2659305,1997840,2928539,2551265,3401462,3905163,3284053,2727065,2838083,2565649,2539011,2783746,2751198,2955237
 "09001","Fairfield, CT",1,CAGDP2,90,"31-33,51","Manufacturing and information ","Thousands of dollars",9964343,11760402,11500253,13896481,14004028,16237318,18157250,21935207,17178706,16271427,15848288,15163475,14998230,14780280,14729490,14083985,13586249,14325124,14874217,14402601,16048450,17130739,18814192
 "09001","Fairfield, CT",1,CAGDP2,91,"...","Private goods-producing industries 2/","Thousands of dollars",9326080,11064938,10868001,13399640,13561935,15976212,17056706,20078911,15041554,13875970,13462926,13073389,12211511,11987879,11294507,10176084,9456644,9593388,9327247,8764059,10283753,11574888,12625720
 "09001","Fairfield, CT",1,CAGDP2,92,"...","Private services-providing industries 3/","Thousands of dollars",46917558,45959572,46728260,49234401,52937798,55496158,58968621,58869942,61888026,62291095,60372428,65290626,65464603,68069950,71556903,72973341,77009757,77962923,78161031,76173459,82214959,90147126,97331876
 "09003","Hartford, CT",1,CAGDP2,1,"...","All industry total ","Thousands of dollars",48426756,46818689,49105394,54580208,56839595,61696166,66911132,67226938,68532830,70384560,71048385,71803798,70676872,74156662,81136241,82942832,85794244,87497694,89550049,85285330,89369603,96306286,103387755
 "09003","Hartford, CT",1,CAGDP2,2,"..."," Private industries ","Thousands of dollars",43267061,41422440,43619816,48872920,50727870,55383672,60265834,60287631,61622107,63510711,64065067,64907722,63491152,66594809,73234556,75019603,77818930,79430287,81483399,76960164,80980659,87427459,94017269
 "09003","Hartford, CT",1,CAGDP2,3,"11","  Agriculture, forestry, fishing and hunting ","Thousands of dollars",57132,(D),(D),(D),(D),(D),(D),21292,18209,35325,45820,24587,9077,78999,3584,84239,33685,20795,42584,43386,14703,16521,31673
 "09003","Hartford, CT",1,CAGDP2,6,"21","  Mining, quarrying, and oil and gas extraction ","Thousands of dollars",14800,14291,23021,19711,17347,19829,19892,12884,11623,16517,15623,17307,16520,17329,18277,23127,14049,7079,6962,9647,8136,8576,11290
 "09003","Hartford, CT",1,CAGDP2,10,"22","  Utilities ","Thousands of dollars",449286,394856,391145,444797,477034,308251,325886,407609,391528,349968,313684,355063,343930,354448,262407,229290,206443,208731,212003,196102,224749,210091,211234
 "09003","Hartford, CT",1,CAGDP2,11,"23","  Construction ","Thousands of dollars",1339129,(D),(D),(D),(D),(D),(D),1811661,1712224,1622112,1684637,1457988,1462178,1493158,1735817,1697039,1765849,1837704,1975466,1840376,2037632,2191726,2347788
 "09003","Hartford, CT",1,CAGDP2,12,"31-33","  Manufacturing ","Thousands of dollars",6393540,6023106,6572231,6633925,7153656,8583932,8685326,8120982,7275611,8272798,8112107,8694372,8835987,8175077,8909170,7932817,8510260,9792700,11150509,10222484,11185850,12130428,13490011
 "09003","Hartford, CT",1,CAGDP2,13,"321,327-339","   Durable goods manufacturing ","Thousands of dollars",5383187,4941361,5375755,5283777,5642527,6148952,(D),(D),(D),(D),(D),(D),7664185,7023669,7510233,6667570,7031454,8069333,9280830,8250415,9295559,9947393,11259787
 "09003","Hartford, CT",1,CAGDP2,25,"311-316,322-326","   Nondurable goods manufacturing ","Thousands of dollars",1010353,1081744,1196477,1350148,1511129,2434981,(D),(D),(D),(D),(D),(D),1171802,1151407,1398937,1265247,1478806,1723367,1869680,1972068,1890291,2183035,2230224
 "09003","Hartford, CT",1,CAGDP2,34,"42","  Wholesale trade ","Thousands of dollars",2444682,2422408,2581136,2754453,3087751,3450823,3747142,4025845,3816528,4145197,4299449,4709599,4633589,4505980,4382351,3948154,3797731,3807480,3850434,3790940,3984414,4502349,4672418
 "09003","Hartford, CT",1,CAGDP2,35,"44-45","  Retail trade ","Thousands of dollars",2618675,2674300,2777724,2907581,3001501,3009454,2898815,2911155,2804259,2901359,2935095,3119358,3243026,3334332,3419741,3498463,3627223,3830486,3879624,3892914,4452803,4508665,4898174
 "09003","Hartford, CT",1,CAGDP2,36,"48-49","  Transportation and warehousing ","Thousands of dollars",939967,979506,1010709,1121562,1170719,1239524,1123771,1169754,1164191,1278836,1371402,1326051,1339334,1468047,1548419,1585803,1670003,1882426,2073382,1838796,2320321,2713235,2831125
 "09003","Hartford, CT",1,CAGDP2,45,"51","  Information ","Thousands of dollars",1648954,1702134,1873116,2175816,2493632,2751788,3144592,3488142,3487126,3552874,3629745,3751597,4294602,4562758,5199310,5591195,5336501,5244055,5539506,5037801,5255557,5598087,5777368
 "09003","Hartford, CT",1,CAGDP2,50,"52,53","  Finance, insurance, real estate, rental, and leasing ","Thousands of dollars",16582498,14871648,15250585,18503742,18148371,19857400,23169242,22369984,24828399,24996776,24977889,23880157,21258664,23268843,27998049,30322602,32076868,31192362,30182183,29062360,28379720,30279427,32458975
 "09003","Hartford, CT",1,CAGDP2,51,"52","   Finance and insurance ","Thousands of dollars",10670879,9094371,9659666,12851690,12342038,13962570,16698439,14550503,16716164,16653156,16767541,15736474,13142309,15291574,19687639,21277553,22863030,21488264,20250756,19278882,18202700,19796150,21061595
