GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
 "23000","Maine",1,CAGDP2,1,"...","All industry total ","Thousands of dollars",38925695,40664096,42493388,45233116,47028078,48889299,50291275,51001881,51451198,52802518,53104496,54018457,54924797,56537353,58755816,61092152,63000596,66215972,69708709,72077093,79193879,86493350,93270017
 "23000","Maine",1,CAGDP2,2,"..."," Private industries ","Thousands of dollars",33624346,35043477,36548305,38977307,40498093,42064239,43196878,43633966,43982856,45251799,45752621,46660276,47416924,48701457,50781786,52697380,54614966,57596728,60944826,62955509,69662938,76295165,82490790
 "23000","Maine",1,CAGDP2,3,"11","  Agriculture, forestry, fishing and hunting ","Thousands of dollars",851238,775731,804400,793097,770339,827393,785998,766273,726724,849170,866896,857990,852216,847267,952429,897387,909589,883012,907682,857682,986628,1183742,1013248
 "23000","Maine",1,CAGDP2,6,"21","  Mining, quarrying, and oil and gas extraction ","Thousands of dollars",8267,8257,7468,9163,8322,9853,12515,21403,15571,19631,21167,32013,33678,27553,33943,33631,44877,53184,38834,69984,63720,49265,58206
 "23000","Maine",1,CAGDP2,10,"22","  Utilities ","Thousands of dollars",772838,694921,662593,713985,744962,879076,937097,933166,951269,992526,963529,945164,977356,997211,964177,968759,992187,1000488,1019728,1088025,1188578,1398085,1317214
 "23000","Maine",1,CAGDP2,11,"23","  Construction ","Thousands of dollars",1994877,2042986,2226542,2427596,2493026,2513579,2463774,2247891,2230289,2167393,2060370,1984587,1889841,1975204,2031525,2099008,2208606,2322223,2467454,2542204,2746835,3006196,3378019
 "23000","Maine",1,CAGDP2,12,"31-33","  Manufacturing ","Thousands of dollars",4661294,4496357,4492143,4912258,5059798,5200470,5381002,5412711,5457680,5585905,5398614,5434127,5351524,5450222,5333342,5571777,5933666,6176615,6539624,6999691,7588664,8069349,8466452
 "23000","Maine",1,CAGDP2,13,"321,327-339","   Durable goods manufacturing ","Thousands of dollars",2145351,2062923,2142876,2484398,2550351,2472783,2435420,2484014,2577865,2753411,2718260,2482008,2712061,2765482,2759989,2857668,2913169,3139915,3265391,3379287,3855343,4146571,4445429
 "23000","Maine",1,CAGDP2,25,"311-316,322-326","   Nondurable goods manufacturing ","Thousands of dollars",2515943,2433434,2349267,2427860,2509446,2727687,2945583,2928697,2879815,2832494,2680354,2952120,2639462,2684740,2573353,2714109,3020498,3036700,3274233,3620404,3733321,3922778,4021022
 "23000","Maine",1,CAGDP2,34,"42","  Wholesale trade ","Thousands of dollars",2013763,2063767,2215328,2397158,2460589,2616150,2680996,2675991,2584890,2720289,2772199,2952100,3056299,3188575,3328810,3375972,3420105,3560846,3724121,3801261,4186069,4556344,4648520
 "23000","Maine",1,CAGDP2,35,"44-45","  Retail trade ","Thousands of dollars",3700501,3877034,4107798,4262197,4348273,4428074,4303433,4281279,4244087,4316762,4291610,4353357,4539838,4690811,4996327,5146894,5347882,5561569,5851494,6280480,7265193,7756329,8503021
 "23000","Maine",1,CAGDP2,36,"48-49","  Transportation and warehousing ","Thousands of dollars",844668,861986,913361,980172,1050544,1190099,1180368,1215217,1193773,1221851,1194862,1185993,1225411,1297470,1372416,1402405,1458594,1476839,1514193,1486345,1736675,1934013,1924680
 "23000","Maine",1,CAGDP2,45,"51","  Information ","Thousands of dollars",1039478,1155239,1233399,1282180,1330429,1258029,1216912,1222740,1225325,1281512,1123078,1026908,1075162,1026977,1104944,1176672,1116952,1216878,1294163,1259610,1443928,1523625,1657632
 "23000","Maine",1,CAGDP2,50,"52,53","  Finance, insurance, real estate, rental, and leasing ","Thousands of dollars",7901171,8453244,8835312,9320160,10031811,10122855,10613970,10384910,10744144,11175878,11770038,12014577,12069290,12127077,12721211,13225361,13422712,14359524,15379731,17070359,17834766,19436895,21647181
 "23000","Maine",1,CAGDP2,51,"52","   Finance and insurance ","Thousands of dollars",2422195,2431712,2483287,2608133,2759954,2745082,2840820,2721593,2751141,2798776,2955631,3117154,3038647,3268164,3574669,3707269,4215566,4453996,4701089,5245448,5376686,5607224,5928296
 "23000","Maine",1,CAGDP2,56,"53","   Real estate and rental and leasing ","Thousands of dollars",5478976,6021532,6352025,6712028,7271857,7377773,7773150,7663317,7993003,8377102,8814407,8897423,9030644,8858913,9146541,9518092,9207147,9905527,10678643,11824911,12458080,13829671,15718884
 "23000","Maine",1,CAGDP2,59,"54,55,56","  Professional and business services ","Thousands of dollars",3133604,3350466,3428866,3668145,3713946,3990489,4359476,4854206,4681466,4794546,4935666,5078631,5210442,5542382,5789008,6095985,6427800,6979331,7397791,7652520,8899648,10089369,10947049
 "23000","Maine",1,CAGDP2,60,"54","   Professional, scientific, and technical services ","Thousands of dollars",1766953,1934018,1983710,2120922,2182259,2278923,2407436,2680083,2605321,2610251,2692039,2756162,2820884,2924273,3078200,3206209,3383752,3690115,3914436,4026319,4585511,5137411,5766736
 "23000","Maine",1,CAGDP2,64,"55","   Management of companies and enterprises ","Thousands of dollars",488225,517967,500459,586209,502465,603561,651818,751110,666553,707366,729791,804811,800556,940631,966934,1093207,1159177,1281781,1461143,1510445,2052518,2298635,2517874
 "23000","Maine",1,CAGDP2,65,"56","   Administrative and support and waste management and remediation services ","Thousands of dollars",878427,898481,944698,961015,1029222,1108005,1300222,1423013,1409592,1476929,1513836,1517658,1589002,1677478,1743874,1796569,1884871,2007435,2022212,2115757,2261619,2653324,2662439
