GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
 "10180","Abilene, TX (Metropolitan Statistical Area)", ,CAGDP2,1,"...","All industry total ","Thousands of dollars",3716716,3831060,4028398,4260591,4531865,5050386,5394366,5619365,5494157,5796673,5962397,6249717,6462183,6700756,6632435,6576472,6827152,7301986,7792209,7891821,8503702,9606966,10306623
 "10180","Abilene, TX (Metropolitan Statistical Area)", ,CAGDP2,2,"..."," Private industries ","Thousands of dollars",2854419,2888285,3042812,3237974,3485365,3959356,4251615,4455197,4288764,4529668,4693876,4960266,5169359,5388417,5306526,5176841,5378066,5813687,6283111,6292893,6853868,7915649,8560369
 "10180","Abilene, TX (Metropolitan Statistical Area)", ,CAGDP2,3,"11","  Agriculture, forestry, fishing and hunting ","Thousands of dollars",56671,26070,48058,58461,47808,17585,67657,(D),25543,(D),54943,18493,45742,18623,16323,24267,(D),20289,(D),(D),33897,104212,61944
 "10180","Abilene, TX (Metropolitan Statistical Area)", ,CAGDP2,6,"21","  Mining, quarrying, and oil and gas extraction ","Thousands of dollars",128746,114528,125013,153615,224805,355513,396271,483965,304821,337674,405004,449213,465011,442505,254990,159326,230757,277302,247340,166440,200783,309770,328934
 "10180","Abilene, TX (Metropolitan Statistical Area)", ,CAGDP2,10,"22","  Utilities ","Thousands of dollars",34148,34991,(D),(D),(D),(D),(D),(D),121620,(D),(D),(D),130636,172399,151242,161996,(D),174318,(D),(D),(D),336848,396058
 "10180","Abilene, TX (Metropolitan Statistical Area)", ,CAGDP2,11,"23","  Construction ","Thousands of dollars",161923,179038,185166,189291,216660,245538,289840,322162,314469,297585,288760,314713,342738,375061,368161,340936,325608,363284,391012,383104,374979,437404,489339
 "10180","Abilene, TX (Metropolitan Statistical Area)", ,CAGDP2,12,"31-33","  Manufacturing ","Thousands of dollars",257160,199731,192336,225580,235369,252806,270644,258757,243011,253401,273918,299923,312488,300436,310333,287650,298648,328769,316071,298793,320440,368156,389789
 "10180","Abilene, TX (Metropolitan Statistical Area)", ,CAGDP2,13,"321,327-339","   Durable goods manufacturing ","Thousands of dollars",(D),(D),(D),(D),(D),(D),(D),(D),(D),135229,155293,165874,170366,168168,162755,161520,165415,(D),168546,165013,173091,195462,197849
 "10180","Abilene, TX (Metropolitan Statistical Area)", ,CAGDP2,25,"311-316,322-326","   Nondurable goods manufacturing ","Thousands of dollars",(D),(D),(D),(D),(D),(D),(D),(D),(D),118172,118625,134050,142122,132268,147577,126130,133233,(D),147525,133780,147349,172694,191940
 "10180","Abilene, TX (Metropolitan Statistical Area)", ,CAGDP2,34,"42","  Wholesale trade ","Thousands of dollars",157740,162564,182282,215899,222114,273243,298478,324242,296048,326305,362913,417412,435982,431584,401185,378909,(D),(D),(D),(D),(D),678465,739200
 "10180","Abilene, TX (Metropolitan Statistical Area)", ,CAGDP2,35,"44-45","  Retail trade ","Thousands of dollars",329698,343412,365377,384634,419094,434005,423588,426729,429974,454583,456591,483656,516630,549072,567267,578872,606123,654795,692912,720154,829178,890052,965164
 "10180","Abilene, TX (Metropolitan Statistical Area)", ,CAGDP2,36,"48-49","  Transportation and warehousing ","Thousands of dollars",(D),(D),78404,87574,91416,96309,101665,(D),(D),(D),98350,111809,124504,159503,169270,162850,171635,190358,216602,201978,191439,201533,195938
 "10180","Abilene, TX (Metropolitan Statistical Area)", ,CAGDP2,45,"51","  Information ","Thousands of dollars",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),199506,196531,215691,199330,(D),(D),241257,259342,269571,280948,276112
 "10180","Abilene, TX (Metropolitan Statistical Area)", ,CAGDP2,50,"52,53","  Finance, insurance, real estate, rental, and leasing ","Thousands of dollars",592229,623013,644792,627158,691075,804676,826939,808786,876024,926482,938345,1003564,999325,1067092,1100721,1102060,1134889,1215609,1342685,1513142,1588674,1738973,1890722
 "10180","Abilene, TX (Metropolitan Statistical Area)", ,CAGDP2,51,"52","   Finance and insurance ","Thousands of dollars",171991,183699,196764,172528,193497,212647,242688,239225,266542,277153,274824,315103,303402,319535,326512,339985,317851,355003,381922,387809,409544,467400,513252
