GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
 "33000","New Hampshire",1,CAGDP2,1,"...","All industry total ","Thousands of dollars",47037284,49109643,51609698,54545652,56914639,60152707,61984781,62095285,63052244,65310796,66557337,68411998,70897422,73455113,77385782,79759713,81179571,83859403,87868178,88527655,99092629,106488014,114100826
 "33000","New Hampshire",1,CAGDP2,2,"..."," Private industries ","Thousands of dollars",41685698,43506649,45608277,48284530,50307671,53186419,54623308,54411077,55365022,57253987,58591183,60469220,62755869,65042235,68940283,71212522,72452690,74943889,78709379,79220815,89540754,96559682,103671969
 "33000","New Hampshire",1,CAGDP2,3,"11","  Agriculture, forestry, fishing and hunting ","Thousands of dollars",151350,146835,171514,192271,161553,171023,164960,181819,149974,166930,192113,228189,249075,244215,254506,232642,249366,217244,227288,227731,231013,344026,295606
 "33000","New Hampshire",1,CAGDP2,6,"21","  Mining, quarrying, and oil and gas extraction ","Thousands of dollars",34837,48418,49377,52711,61748,85012,107022,94230,68856,71611,51539,67942,54574,64177,64265,94807,87515,158998,150395,131320,124203,164284,229347
 "33000","New Hampshire",1,CAGDP2,10,"22","  Utilities ","Thousands of dollars",828551,786863,866341,1002656,979429,1002845,982627,1059640,1307598,1352007,1311493,1258876,1279815,1303583,1316192,1282593,1329799,1339407,1304800,1420812,1453702,1681729,1506276
 "33000","New Hampshire",1,CAGDP2,11,"23","  Construction ","Thousands of dollars",2292365,2313843,2415712,2715774,2810987,2821541,2580005,2221169,2089943,2024777,2054961,2087959,2069814,2109953,2239962,2379160,2561013,2678641,2903925,2733963,3066970,3463847,3865015
 "33000","New Hampshire",1,CAGDP2,12,"31-33","  Manufacturing ","Thousands of dollars",6509631,6541626,6908914,6900435,6486927,7071482,7204726,6830490,6699869,7125214,7435963,7158623,7801162,7204957,8180948,8489677,8187444,8334716,8820692,8636646,9210130,9872975,10014370
 "33000","New Hampshire",1,CAGDP2,13,"321,327-339","   Durable goods manufacturing ","Thousands of dollars",4656977,4895293,5283695,5369740,4935655,5451958,5553084,5216662,4966637,5441225,5836892,5504202,6045329,5383213,6237749,6367191,6104874,6180671,6564583,6342355,6769036,7173059,7117308
 "33000","New Hampshire",1,CAGDP2,25,"311-316,322-326","   Nondurable goods manufacturing ","Thousands of dollars",1852653,1646332,1625219,1530694,1551271,1619524,1651641,1613828,1733232,1683988,1599071,1654422,1755833,1821743,1943199,2122486,2082570,2154045,2256109,2294292,2441094,2699916,2897062
 "33000","New Hampshire",1,CAGDP2,34,"42","  Wholesale trade ","Thousands of dollars",2964927,2960363,3042781,3245022,3433418,3620165,3772724,3899614,3712738,3925288,4064923,4303915,4581532,4802100,5218715,5222834,5384400,5592265,5868822,6155362,7033792,8048072,8513675
 "33000","New Hampshire",1,CAGDP2,35,"44-45","  Retail trade ","Thousands of dollars",5158145,5320224,5457324,5284032,5490669,5747538,5468284,5644474,5706944,6031180,5778145,5644577,5658428,5458943,5434545,5700855,5921788,6122564,6426191,6839063,7747431,8178044,8986436
