GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
 "36000","New York",2,CAGDP2,1,"...","All industry total ","Thousands of dollars",876285223,885386163,908535168,958565330,1009851006,1072271784,1116265310,1107860207,1155492252,1217747974,1245769442,1324471339,1364632910,1434606285,1498474663,1556829961,1624800665,1710665609,1787470891,1773369808,1923413303,2052758842,2172009629
 "36000","New York",2,CAGDP2,2,"..."," Private industries ","Thousands of dollars",778701345,784457584,803204179,847073391,893808034,953085448,989737299,975817701,1018890733,1076196882,1103621544,1180677201,1212673400,1280487355,1341548084,1398591817,1461067182,1531101726,1602293428,1586330972,1727873492,1853898529,1962195844
 "36000","New York",2,CAGDP2,3,"11","  Agriculture, forestry, fishing and hunting ","Thousands of dollars",1806577,1526626,1705153,2140703,2103644,2078837,2508055,2717479,2019993,2629028,3095942,2877544,3348786,3361801,2656789,2459262,2819216,2544806,2897372,2677744,3709304,5144565,4061306
 "36000","New York",2,CAGDP2,6,"21","  Mining, quarrying, and oil and gas extraction ","Thousands of dollars",429324,420083,472156,577538,657219,867698,971479,1186106,1021608,1065928,1005882,948272,827274,841257,630667,666467,688361,747622,751109,779765,929866,956555,1046250
 "36000","New York",2,CAGDP2,10,"22","  Utilities ","Thousands of dollars",13640534,13243170,14177878,16119482,15755916,17053343,16747105,17022494,17669245,19881250,20199804,19746538,20355872,21492726,21037338,20824388,22186792,23632981,24616333,27530549,29556964,31178344,29161072
 "36000","New York",2,CAGDP2,11,"23","  Construction ","Thousands of dollars",26776905,27698376,29178902,30869797,32790594,34531674,38179139,39141912,37782844,34626548,33868610,35284138,37893161,40974932,45671873,50189617,53737510,55871671,58477407,54408389,56681268,60173307,64192545
 "36000","New York",2,CAGDP2,12,"31-33","  Manufacturing ","Thousands of dollars",61461915,63442614,61707825,63388015,65039717,69441963,68547594,66555511,69382238,68497160,63986344,62888989,63584017,65896939,69814372,68208188,69419592,68628269,72382315,68995267,76599021,82496942,85901837
 "36000","New York",2,CAGDP2,13,"321,327-339","   Durable goods manufacturing ","Thousands of dollars",30385354,30549135,28926771,29655958,31243901,31385943,32567406,32574522,29542464,30653746,31640269,32493023,34181877,33934605,34641817,33416512,34319219,34288025,33647582,29826141,29484934,31931043,32351428
 "36000","New York",2,CAGDP2,25,"311-316,322-326","   Nondurable goods manufacturing ","Thousands of dollars",31076562,32893479,32781055,33732058,33795816,38056020,35980188,33980989,39839775,37843414,32346075,30395966,29402140,31962334,35172555,34791676,35100372,34340243,38734733,39169125,47114087,50565899,53550409
 "36000","New York",2,CAGDP2,34,"42","  Wholesale trade ","Thousands of dollars",42485550,42519411,45043959,48911844,51335941,54758242,58133445,57688147,55404638,60433293,61887320,65709219,67280192,69027551,74165466,71369489,72209175,74294857,77172505,74645243,78484742,87573322,89776317
 "36000","New York",2,CAGDP2,35,"44-45","  Retail trade ","Thousands of dollars",43450028,45361993,48238643,51436435,53556106,54554069,55294053,55238963,55029846,58169156,60896377,62903909,67070663,69470452,72311635,74825771,77327356,79889083,83363701,81045340,91627077,95938605,104510410
 "36000","New York",2,CAGDP2,36,"48-49","  Transportation and warehousing ","Thousands of dollars",16658508,16608223,17645626,19149631,20179703,22036030,22503520,23145304,22821018,24259517,25871013,26760979,28109940,29464997,31969216,31466793,33383351,35358360,37034652,29626038,35167581,44057322,47973302
 "36000","New York",2,CAGDP2,45,"51","  Information ","Thousands of dollars",66766474,75781496,74022540,77914865,75083302,73073759,79987507,82904659,87951215,95573372,97710677,100869701,106173284,109309020,117153958,125377626,125222876,137826991,149929941,154095048,162147025,168743876,181733938
 "36000","New York",2,CAGDP2,50,"52,53","  Finance, insurance, real estate, rental, and leasing ","Thousands of dollars",282428097,265194134,268344650,277392861,301542330,332279170,335089686,297411443,342974849,369667275,380281650,431075825,434233024,471244962,484495770,513519797,540831389,560563078,576631088,615371751,667414058,701841939,729857255
 "36000","New York",2,CAGDP2,51,"52","   Finance and insurance ","Thousands of dollars",160260602,139729310,136595137,139952369,163039080,190163931,179714237,130691442,181206763,197153743,200466400,244164877,241194648,271942998,283014311,304018720,320457394,327294434,339279941,370132180,402282959,416351735,420896663
 "36000","New York",2,CAGDP2,56,"53","   Real estate and rental and leasing ","Thousands of dollars",122167495,125464824,131749512,137440492,138503249,142115239,155375450,166720001,161768086,172513532,179815250,186910949,193038376,199301965,201481459,209501077,220373995,233268645,237351147,245239571,265131099,285490204,308960592
 "36000","New York",2,CAGDP2,59,"54,55,56","  Professional and business services ","Thousands of dollars",107056573,110152035,113505581,120139629,131327507,138992962,151500466,160715135,146771828,154639087,161933301,168550269,173246249,181677607,193924024,198676463,209765864,219582770,233215570,225962663,245417194,266349027,284137200
 "36000","New York",2,CAGDP2,60,"54","   Professional, scientific, and technical services ","Thousands of dollars",68337792,70178508,71466853,74751818,82746779,88941656,97404483,107195990,96774980,98102089,105299198,110364163,113646463,120715819,129550300,135123669,140688856,145529190,152863036,152901691,168409724,179895759,192488399
 "36000","New York",2,CAGDP2,64,"55","   Management of companies and enterprises ","Thousands of dollars",17307815,18707471,18601002,19395171,20290816,22209755,24644842,24094916,22017709,26272992,26276636,26222354,26882634,27256769,28250426,26650382,28157366,28832990,29628137,28145435,31227082,33592982,34398937
 "36000","New York",2,CAGDP2,65,"56","   Administrative and support and waste management and remediation services ","Thousands of dollars",21410967,21266056,23437726,25992641,28289912,27841551,29451141,29424228,27979139,30264006,30357468,31963752,32717151,33705018,36123299,36902411,40919642,45220591,50724397,44915537,45780387,52860286,57249863
