GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
 "39000","Ohio",3,CAGDP2,1,"...","All industry total ","Thousands of dollars",395864219,411191147,425530654,447813285,470179484,482903985,497600086,500916385,484407129,500274164,525456407,543035366,566419938,597152326,615275480,627294732,652187459,672540140,702914773,692683719,763595849,832660719,884834198
 "39000","Ohio",3,CAGDP2,2,"..."," Private industries ","Thousands of dollars",350564686,364132042,376580886,396881120,417734903,428982216,441556265,442725610,425340961,438416557,463540588,479762338,502049724,531550520,548076665,558397743,581511253,599902867,628318006,616541468,684238954,749523750,797767879
 "39000","Ohio",3,CAGDP2,3,"11","  Agriculture, forestry, fishing and hunting ","Thousands of dollars",1943180,1795066,2048584,2912493,2313983,2441503,2800974,2758289,3000928,2970277,4432535,3792771,5125925,4431300,3173840,2864902,3645648,4155144,2975609,3858851,6074405,6805624,7794833
 "39000","Ohio",3,CAGDP2,6,"21","  Mining, quarrying, and oil and gas extraction ","Thousands of dollars",1412623,1545513,1666701,1934414,2347014,2692414,2986736,3516129,3154456,3050671,3492683,3107207,4200631,5517960,4794818,4079840,4325604,4698520,4782016,3966903,5755298,6675021,6462780
 "39000","Ohio",3,CAGDP2,10,"22","  Utilities ","Thousands of dollars",7325117,6811740,6580708,6685714,6495521,7360537,8441569,8788408,9536047,10053581,10190956,9940563,10188173,10589697,10657270,10707430,10643514,10688898,10603855,10914677,12339982,13510319,14821241
 "39000","Ohio",3,CAGDP2,11,"23","  Construction ","Thousands of dollars",16362911,16330350,17017081,18445814,19020889,18706650,18564935,17253301,15962724,14547094,15629978,17242210,18341777,19652908,21053818,22549149,25111079,25804879,27660680,28078212,29212430,31897735,34697645
 "39000","Ohio",3,CAGDP2,12,"31-33","  Manufacturing ","Thousands of dollars",82035651,83774157,84158237,89082040,91275743,92877881,92714565,86538585,75295277,81378339,91558870,91900477,93857195,103353746,101995167,100412115,102938680,106587862,106153173,97467502,113147696,129790933,134010516
 "39000","Ohio",3,CAGDP2,13,"321,327-339","   Durable goods manufacturing ","Thousands of dollars",53630820,54096094,54376510,58982403,61385896,61086991,60239550,56261956,38665254,44219813,50337374,52144303,53309109,56546173,58111441,57803336,59661022,57887355,59154913,53137779,57020096,64119022,68597811
 "39000","Ohio",3,CAGDP2,25,"311-316,322-326","   Nondurable goods manufacturing ","Thousands of dollars",28404831,29678063,29781726,30099637,29889847,31790890,32475015,30276630,36630023,37158526,41221495,39756174,40548086,46807573,43883726,42608779,43277658,48700507,46998260,44329723,56127600,65671911,65412704
 "39000","Ohio",3,CAGDP2,34,"42","  Wholesale trade ","Thousands of dollars",23089875,22963192,23762566,25410961,27220697,29384786,30730670,31829004,29544725,31188476,32251336,33987849,35764132,37731125,39314441,39395046,40823185,42002897,44240097,44615404,48309929,53684945,55066865
 "39000","Ohio",3,CAGDP2,35,"44-45","  Retail trade ","Thousands of dollars",29022968,29564426,31343696,31669383,32139365,30916034,30818558,30008745,29662610,30330194,31470124,32262092,34486269,35977586,38260225,39528235,41380386,41208940,42756630,45443102,51714673,53569984,58627494
 "39000","Ohio",3,CAGDP2,36,"48-49","  Transportation and warehousing ","Thousands of dollars",11217529,11266445,11808957,12865641,14187487,15320074,15412244,15822643,14345219,14611709,15594895,15743804,16221107,17473073,20450171,20410349,21206088,22843224,24250214,24432156,27614785,29941906,29785211
 "39000","Ohio",3,CAGDP2,45,"51","  Information ","Thousands of dollars",11704116,13370057,13750317,13850669,14142717,13631133,14370662,15120038,15904464,17449908,18082385,17374002,18243977,16598933,16549582,16479468,16839925,16658283,17950266,17333078,18703937,18974023,20189888
 "39000","Ohio",3,CAGDP2,50,"52,53","  Finance, insurance, real estate, rental, and leasing ","Thousands of dollars",73924330,79270461,82678475,86336479,96528361,98016111,101959323,101926780,100549434,99730165,101289097,106028819,111165757,120068342,126542382,131810072,138907411,144234019,158652477,159299274,171359391,187417217,200694846
 "39000","Ohio",3,CAGDP2,51,"52","   Finance and insurance ","Thousands of dollars",29304613,32483409,34869008,36786127,43147988,42780911,41350734,38816314,38677866,38129290,39081149,42263765,43591010,51700002,56948248,59561034,64314440,66592439,80084857,78983518,84674974,93290960,98142502
 "39000","Ohio",3,CAGDP2,56,"53","   Real estate and rental and leasing ","Thousands of dollars",44619717,46787052,47809467,49550352,53380374,55235200,60608589,63110466,61871568,61600875,62207947,63765054,67574747,68368341,69594134,72249038,74592971,77641580,78567620,80315755,86684417,94126257,102552345
 "39000","Ohio",3,CAGDP2,59,"54,55,56","  Professional and business services ","Thousands of dollars",38028347,39848695,41727917,44448544,47723392,50517372,53694253,57099218,54069825,56652697,60361145,65054077,67212639,70055858,70954853,71811831,74558110,76943465,80252541,79430780,87659428,96017481,102526635
 "39000","Ohio",3,CAGDP2,60,"54","   Professional, scientific, and technical services ","Thousands of dollars",19067966,19557799,19840993,20896199,21932213,23545727,25181580,27574464,26478080,27039003,29038570,28985263,29603670,30587634,31617208,32675278,33697450,35558291,37365623,36677551,40925722,45182542,49352288
 "39000","Ohio",3,CAGDP2,64,"55","   Management of companies and enterprises ","Thousands of dollars",8263288,9416485,10139928,11082683,12187754,13096853,13447603,14090248,13317815,14416735,15204484,18821648,19498731,20419067,19940299,20145442,20931003,21073455,22062103,22523026,23531056,24877024,26076581
 "39000","Ohio",3,CAGDP2,65,"56","   Administrative and support and waste management and remediation services ","Thousands of dollars",10697093,10874411,11746996,12469663,13603425,13874792,15065070,15434506,14273930,15196959,16118091,17247165,18110238,19049157,19397346,18991111,19929657,20311719,20824815,20230203,23202650,25957915,27097766
 "39000","Ohio",3,CAGDP2,68,"61,62","  Educational services, health care, and social assistance ","Thousands of dollars",31407718,33457108,35540707,38133468,39663660,42457475,43460104,46757547,49131173,50258230,51850521,53788621,55632234,56824498,59136995,61547177,63158290,65012735,67630288,66756524,70257200,74907631,81327149
 "39000","Ohio",3,CAGDP2,69,"61","   Educational services ","Thousands of dollars",3052497,3152616,3461021,3830744,3980325,4374743,4519623,4947824,5437377,5662084,5825665,5858712,5789646,5889682,5879283,6099105,5966021,6063057,6269087,5845939,6066987,6621351,7159141
 "39000","Ohio",3,CAGDP2,70,"62","   Health care and social assistance ","Thousands of dollars",28355221,30304493,32079686,34302724,35683335,38082732,38940481,41809723,43693796,44596146,46024856,47929909,49842588,50934816,53257713,55448071,57192269,58949678,61361201,60910585,64190212,68286280,74168008
 "39000","Ohio",3,CAGDP2,75,"71,72","  Arts, entertainment, recreation, accommodation, and food services ","Thousands of dollars",12850668,13296815,13884679,14210053,14054824,13892541,14730518,14663005,14805696,15749978,16506399,18140655,19924113,20809582,22108819,23375145,23916558,24348845,25106714,20300523,26417206,28863521,33160879
 "39000","Ohio",3,CAGDP2,76,"71","   Arts, entertainment, and recreation ","Thousands of dollars",3977533,4076387,4416565,4365779,4091803,3884565,4189013,4137695,4421421,4973448,5149204,5853897,6510712,6513951,6512097,7065977,7207761,7318765,6985910,5279992,6710942,7468884,8593189
 "39000","Ohio",3,CAGDP2,79,"72","   Accommodation and food services ","Thousands of dollars",8873134,9220429,9468115,9844274,9963021,10007975,10541505,10525310,10384274,10776530,11357195,12286758,13413401,14295631,15596722,16309168,16708797,17030080,18120804,15020531,19706264,21394638,24567689
 "39000","Ohio",3,CAGDP2,82,"81","  Other services (except government and government enterprises) ","Thousands of dollars",10239652,10838017,10612260,10895448,10621249,10767702,10871153,10643919,10378384,10445239,10829666,11399190,11685796,12465912,13084285,13426985,14056773,14715156,15303447,14644482,15672595,17467409,18601898
 "39000","Ohio",3,CAGDP2,83,"92","Government and government enterprises ","Thousands of dollars",45299534,47059105,48949768,50932165,52444582,53921769,56043821,58190774,59066168,61857607,61915820,63273029,64370215,65601806,67198815,68896989,70676206,72637273,74596768,76142251,79356895,83136968,87066319
 "39000","Ohio",3,CAGDP2,87,"11,21","Natural resources and mining ","Thousands of dollars",3355803,3340579,3715285,4846907,4660997,5133917,5787710,6274418,6155384,6020948,7925218,6899979,9326555,9949260,7968658,6944743,7971252,8853663,7757625,7825754,11829703,13480645,14257613
 "39000","Ohio",3,CAGDP2,88,"42,44-45","Trade ","Thousands of dollars",52112843,52527618,55106262,57080344,59360062,60300821,61549228,61837749,59207335,61518670,63721460,66249941,70250401,73708710,77574666,78923281,82203571,83211837,86996727,90058506,100024602,107254928,113694359
 "39000","Ohio",3,CAGDP2,89,"22,48-49","Transportation and utilities ","Thousands of dollars",18542645,18078185,18389666,19551355,20683008,22680612,23853813,24611051,23881266,24665290,25785850,25684368,26409280,28062770,31107441,31117778,31849602,33532123,34854069,35346833,39954767,43452225,44606452
 "39000","Ohio",3,CAGDP2,90,"31-33,51","Manufacturing and information ","Thousands of dollars",93739768,97144214,97908554,102932709,105418459,106509014,107085227,101658623,91199741,98828247,109641254,109274479,112101171,119952680,118544749,116891583,119778606,123246145,124103439,114800579,131851633,148764956,154200403
 "39000","Ohio",3,CAGDP2,91,"...","Private goods-producing industries 2/","Thousands of dollars",101754366,103445086,104890603,112374761,114957629,116718449,117067210,110066305,97413385,101946380,115114066,116042666,121525527,132955914,131017642,129906006,136021011,141246405,141571478,133371468,154189829,175169314,182965774
 "39000","Ohio",3,CAGDP2,92,"...","Private services-providing industries 3/","Thousands of dollars",248810319,260686956,271690283,284506359,302777274,312263767,324489055,332659305,327927575,336470177,348426521,363719672,380524197,398594606,417059023,428491737,445490242,458656462,486746528,483170000,530049125,574354436,614802105
 "39001","Adams, OH",3,CAGDP2,1,"...","All industry total ","Thousands of dollars",1096209,1062087,1082167,1128823,1074773,1159271,1314410,1246448,1534515,1467424,1584077,1446672,1530798,1467669,1543751,1695298,1500921,966690,767123,776407,865208,879516,967470
 "39001","Adams, OH",3,CAGDP2,2,"..."," Private industries ","Thousands of dollars",1025944,990048,1008684,1050071,991509,1071718,1226361,1150419,1436690,1365948,1486991,1351066,1431120,1367042,1442183,1590633,1391621,855325,660567,679975,763052,771318,853946
 "39001","Adams, OH",3,CAGDP2,3,"11","  Agriculture, forestry, fishing and hunting ","Thousands of dollars",27231,(D),29051,25391,16467,9688,6483,6129,(D),2539,(D),(D),13269,11486,8392,16037,16020,17866,13128,(D),29023,26609,33670
 "39001","Adams, OH",3,CAGDP2,6,"21","  Mining, quarrying, and oil and gas extraction ","Thousands of dollars",7498,7038,6008,5339,5396,6406,6474,6021,5284,7839,8271,6380,5270,7181,6985,5613,5318,4795,6574,6949,6254,7295,8834
 "39001","Adams, OH",3,CAGDP2,10,"22","  Utilities ","Thousands of dollars",712628,662439,656874,661709,590212,669112,799636,744890,1040838,963594,1036087,911384,958760,872092,890416,1004752,740976,229609,7046,(D),6968,7468,7251
 "39001","Adams, OH",3,CAGDP2,11,"23","  Construction ","Thousands of dollars",19731,(D),23689,26343,25995,33008,48622,40776,34108,32916,(D),(D),33406,32830,35606,38540,39735,40015,44264,50360,60062,60170,62520
 "39001","Adams, OH",3,CAGDP2,12,"31-33","  Manufacturing ","Thousands of dollars",52205,43518,47372,69795,79785,83937,97270,84287,(D),82165,102922,86503,101708,116234,137617,160343,201385,164446,160376,132633,131117,138915,154123
