GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
 "41000","Oregon",8,CAGDP2,1,"...","All industry total ","Thousands of dollars",117002381,120556129,126822102,136495854,143556346,153779634,159676199,164122876,159330418,163150456,169693794,173856781,178975449,187837558,200592648,211782357,225534544,238466928,248781798,251577719,275653078,298847967,318884142
 "41000","Oregon",8,CAGDP2,2,"..."," Private industries ","Thousands of dollars",100234713,103181742,109019855,118136042,124564289,133388614,138497404,141827113,136200663,139445922,145050345,149624788,154308097,162085677,173576838,183951818,196397481,207647955,216047801,218278712,240417738,261567721,279480427
 "41000","Oregon",8,CAGDP2,3,"11","  Agriculture, forestry, fishing and hunting ","Thousands of dollars",2671371,2778948,3201102,3537596,3439448,3839739,3595932,3503851,3106425,3073216,3443874,3673141,3977674,4014640,4121066,4185501,3885258,4272806,4034439,4200869,4771783,5689507,5508460
 "41000","Oregon",8,CAGDP2,6,"21","  Mining, quarrying, and oil and gas extraction ","Thousands of dollars",151940,171509,183965,230721,272878,317135,394305,308880,291748,250973,241644,200784,196774,196164,177855,232605,262344,274385,255284,310108,387942,427596,404045
 "41000","Oregon",8,CAGDP2,10,"22","  Utilities ","Thousands of dollars",1645388,1640016,1614759,1806726,1647745,1893294,1798294,2267528,2249472,2686950,3294598,3018095,2941430,2865599,2678651,2892498,2971990,2789501,3059403,3392418,4004137,4471391,4371529
 "41000","Oregon",8,CAGDP2,11,"23","  Construction ","Thousands of dollars",5526172,5349172,5433797,6112826,7099718,8212065,8769165,7973229,6438944,5414578,5369523,6089350,6580923,7251978,7803031,8926615,10077288,11216935,12129655,12668109,13331484,15039954,16221020
 "41000","Oregon",8,CAGDP2,12,"31-33","  Manufacturing ","Thousands of dollars",19320083,20610405,22339662,25682444,25458057,26811578,26339486,26705558,24682563,25356845,27385776,26347241,27048892,27223528,28678031,29039037,31143714,31993084,31424057,32266364,34035889,37375312,38308942
 "41000","Oregon",8,CAGDP2,13,"321,327-339","   Durable goods manufacturing ","Thousands of dollars",15245164,16191819,18392612,21285870,20826804,21800562,21430760,22187720,19194712,20382273,22500592,21666807,21803970,21763510,22614462,23028201,24770169,25187255,24849435,25318110,26718868,29874341,30454282
 "41000","Oregon",8,CAGDP2,25,"311-316,322-326","   Nondurable goods manufacturing ","Thousands of dollars",4074919,4418587,3947051,4396574,4631253,5011016,4908726,4517838,5487851,4974571,4885184,4680433,5244922,5460018,6063569,6010836,6373546,6805829,6574621,6948254,7317020,7500971,7854660
 "41000","Oregon",8,CAGDP2,34,"42","  Wholesale trade ","Thousands of dollars",7423283,7471865,7954647,8929433,9701472,10385278,11011314,11274733,10404822,10910943,11134431,11921357,10627233,10954245,11570670,11917930,12467920,13050620,13930501,14193557,15928448,17317110,17728834
 "41000","Oregon",8,CAGDP2,35,"44-45","  Retail trade ","Thousands of dollars",7388767,7590299,7890454,8125533,8554429,9091457,9154000,8780466,8511239,8790272,8772614,9229525,9843820,10264510,11142011,11894621,12849536,13571011,14279868,14977991,17031612,18111839,19714329
 "41000","Oregon",8,CAGDP2,36,"48-49","  Transportation and warehousing ","Thousands of dollars",3393583,3416977,3668313,4089784,4430919,4642943,4642763,4713606,4340519,4618374,4680875,5032950,5149917,5562693,6065951,6365028,6766657,7143663,7546337,6921914,8560828,9617060,9678878
 "41000","Oregon",8,CAGDP2,45,"51","  Information ","Thousands of dollars",4160447,4208660,4370136,4782108,4968642,5255520,5850913,6257391,6101031,6302186,6393400,6284369,6501453,6751504,7242769,7428666,8229416,8536767,9271696,9815777,11339179,12799034,14446292
 "41000","Oregon",8,CAGDP2,50,"52,53","  Finance, insurance, real estate, rental, and leasing ","Thousands of dollars",22166240,22452918,23334294,23712457,25880618,27094332,28836452,29886254,30573921,31216019,31674885,32412833,32747266,35168619,37498686,40905934,43732820,46726692,48424257,50077360,52380562,55940176,60152228
 "41000","Oregon",8,CAGDP2,51,"52","   Finance and insurance ","Thousands of dollars",5409717,5755310,6092038,6038452,6654383,7110437,7231390,6300688,7049742,6910566,7212247,7858889,7209945,8699519,9432868,10529346,10816622,11557952,11820427,12898577,13462552,13498580,14107317
 "41000","Oregon",8,CAGDP2,56,"53","   Real estate and rental and leasing ","Thousands of dollars",16756523,16697608,17242255,17674006,19226235,19983895,21605062,23585566,23524179,24305453,24462639,24553943,25537322,26469099,28065818,30376588,32916198,35168740,36603830,37178783,38918010,42441596,46044910
 "41000","Oregon",8,CAGDP2,59,"54,55,56","  Professional and business services ","Thousands of dollars",11152540,11217075,11664455,12376698,13291415,14359808,15543694,16582898,15683171,16209901,16914118,17936455,20500919,21928961,23984141,25241099,27098374,29092731,30813906,31117463,35451803,37750683,40702920
