GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
 "44000","Rhode Island",1,CAGDP2,1,"...","All industry total ","Thousands of dollars",35940090,37891190,39787141,42578222,44413252,47165265,47490131,47138901,47647212,49409074,50123663,51527533,52994212,54612489,56603962,57714618,58771553,60064877,62814689,62124888,67228339,72869183,77573947
 "44000","Rhode Island",1,CAGDP2,2,"..."," Private industries ","Thousands of dollars",30665234,32364110,33907947,36292231,37842441,40318719,40395268,39959528,40678390,42225964,42799725,44225971,45650686,47181142,49021831,50013652,50664080,51750830,54304693,53538942,58219380,63399992,67614732
 "44000","Rhode Island",1,CAGDP2,3,"11","  Agriculture, forestry, fishing and hunting ","Thousands of dollars",127672,125849,126949,120792,112990,124649,105851,117647,111216,119621,115789,106281,103187,100551,113787,109486,115985,110733,108405,116290,127974,156766,150462
 "44000","Rhode Island",1,CAGDP2,6,"21","  Mining, quarrying, and oil and gas extraction ","Thousands of dollars",15196,20163,20095,28416,27098,27740,31423,37437,37938,26355,19491,24496,19259,43400,54535,51140,56588,44918,42049,47198,68072,85633,108739
 "44000","Rhode Island",1,CAGDP2,10,"22","  Utilities ","Thousands of dollars",578576,455024,508251,547595,547326,658264,640632,703687,753094,805011,784188,749521,790731,830543,867561,863041,887115,928454,969620,1024734,1129345,1305512,1412402
 "44000","Rhode Island",1,CAGDP2,11,"23","  Construction ","Thousands of dollars",1734182,1771689,2022331,2200548,2424373,2557992,2557262,2263466,2070759,1952972,1879508,1955964,1896004,1895284,1943712,2051432,2117149,2313241,2508754,2443682,2553708,2758998,3034111
 "44000","Rhode Island",1,CAGDP2,12,"31-33","  Manufacturing ","Thousands of dollars",4391485,4646606,4194399,4631688,4217656,4831302,4250315,4270160,3895994,4049749,4026863,4002684,4376238,4230598,4747136,4765162,4696374,4950377,4734141,4784417,5010546,5259092,5506571
 "44000","Rhode Island",1,CAGDP2,13,"321,327-339","   Durable goods manufacturing ","Thousands of dollars",3121988,3280646,2851184,3349219,3050574,3181554,3053285,3059065,2670163,2747732,2730677,2640948,2792840,2606078,2944822,3129230,2913254,3070864,3173918,3011403,3186550,3372001,3638999
 "44000","Rhode Island",1,CAGDP2,25,"311-316,322-326","   Nondurable goods manufacturing ","Thousands of dollars",1269496,1365960,1343215,1282470,1167083,1649748,1197030,1211095,1225831,1302018,1296185,1361736,1583399,1624520,1802314,1635932,1783120,1879513,1560224,1773014,1823997,1887090,1867571
 "44000","Rhode Island",1,CAGDP2,34,"42","  Wholesale trade ","Thousands of dollars",1838601,1911414,2011420,2098420,2217930,2286754,2391814,2408554,2378169,2616664,2730095,2966084,3107738,3189619,3340859,3227852,3265698,3319501,3463362,3384489,3810037,4218244,4153213
 "44000","Rhode Island",1,CAGDP2,35,"44-45","  Retail trade ","Thousands of dollars",2463170,2667356,2848731,2892000,2930287,2905879,2892871,2787584,2706985,2857750,2871335,2931923,3054511,3089418,3240857,3297051,3397170,3607594,3836844,4087493,4515078,4773310,5217956
 "44000","Rhode Island",1,CAGDP2,36,"48-49","  Transportation and warehousing ","Thousands of dollars",575045,609750,656057,683322,723858,768689,736830,779130,761788,796043,836677,899247,891624,909215,968802,997743,1032748,1084034,1132009,989370,1170901,1405362,1406709
 "44000","Rhode Island",1,CAGDP2,45,"51","  Information ","Thousands of dollars",1325912,1544862,1672084,1944857,1927262,1963587,1755472,1932876,1929101,1997456,2042638,1857226,1818031,1791570,1791225,1750311,1404956,1367520,1502272,1478608,1611394,1688669,1752321
 "44000","Rhode Island",1,CAGDP2,50,"52,53","  Finance, insurance, real estate, rental, and leasing ","Thousands of dollars",7882818,8125061,8467487,9075248,9954854,10461058,11200473,10053163,11431236,11507664,11752161,12407901,12567070,13489593,13456393,13977469,14138590,13791732,15055831,15317339,15987892,17391692,18879204
 "44000","Rhode Island",1,CAGDP2,51,"52","   Finance and insurance ","Thousands of dollars",2957628,2996040,3034609,3262488,3455699,3847956,4203395,2989762,4102124,3798736,3883326,4519906,4395682,5301493,5442940,5905248,6070253,5905281,6745471,6377727,6455586,6711672,7075091
 "44000","Rhode Island",1,CAGDP2,56,"53","   Real estate and rental and leasing ","Thousands of dollars",4925190,5129021,5432877,5812760,6499155,6613102,6997078,7063401,7329112,7708928,7868835,7887995,8171388,8188100,8013453,8072221,8068338,7886451,8310360,8939612,9532306,10680021,11804113
