GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
 "53000","Washington",8,CAGDP2,1,"...","All industry total ","Thousands of dollars",237978177,245629810,254720198,267423939,293401990,314190840,341712300,352460709,349945415,363544220,377518830,398358522,416924127,439851230,467590624,489790215,527169356,570337763,608643403,620132884,687702319,742909492,807864547
 "53000","Washington",8,CAGDP2,2,"..."," Private industries ","Thousands of dollars",204081320,209431454,216613317,227545189,250869106,268415966,293811758,300885652,296205166,308161381,321682993,340582810,357966352,378822974,404779558,423831975,458357389,498093062,533652858,542952689,606950933,657636106,717188464
 "53000","Washington",8,CAGDP2,3,"11","  Agriculture, forestry, fishing and hunting ","Thousands of dollars",3542023,3753748,4611313,5087623,4818436,5270467,6178107,5794591,5443559,5840166,7007133,7315364,7266546,6921882,7741225,7106531,7136693,7616935,7732277,7545875,7926765,9447398,8377193
 "53000","Washington",8,CAGDP2,6,"21","  Mining, quarrying, and oil and gas extraction ","Thousands of dollars",257406,259779,319810,330727,574302,820117,755943,511520,516396,529622,492266,373054,390977,435585,393219,427351,509019,572445,454776,400328,497281,577150,523283
 "53000","Washington",8,CAGDP2,10,"22","  Utilities ","Thousands of dollars",2892407,2717852,2938912,3162256,3078154,3528025,3313482,3419224,3629144,3842658,4054789,4037726,4092261,4199629,4203314,4319415,4501003,4437230,4758625,5002294,5921555,6734635,6576808
 "53000","Washington",8,CAGDP2,11,"23","  Construction ","Thousands of dollars",10614770,10426591,11067041,12305122,14377264,16170233,18561849,17344382,13717826,12060758,11318749,12539479,14474060,16260618,18056144,20472231,22953215,25730614,27146397,27423680,29484769,32208037,34462659
 "53000","Washington",8,CAGDP2,12,"31-33","  Manufacturing ","Thousands of dollars",32137044,31850230,29973077,30345293,39111800,42251246,47547258,45173197,47454655,51149682,53492685,57461292,59553578,62016997,66600336,58781335,62382381,65742336,67819952,53811220,57613722,63068776,67234656
 "53000","Washington",8,CAGDP2,13,"321,327-339","   Durable goods manufacturing ","Thousands of dollars",24984955,22902114,21796801,22651579,27716424,31961095,36306506,35257806,36603986,39686182,42666250,47096722,48752530,51217541,53994981,46646411,49873125,51628878,53626415,39495541,40663538,42485133,46275827
 "53000","Washington",8,CAGDP2,25,"311-316,322-326","   Nondurable goods manufacturing ","Thousands of dollars",7152089,8948117,8176276,7693714,11395376,10290151,11240752,9915391,10850669,11463499,10826435,10364570,10801047,10799456,12605354,12134924,12509256,14113458,14193537,14315679,16950184,20583643,20958829
 "53000","Washington",8,CAGDP2,34,"42","  Wholesale trade ","Thousands of dollars",13893067,13629379,14264309,15661811,16852975,18150324,19209418,20083770,19045597,20333441,21454384,22744276,23680900,24694156,26019344,26306711,27657218,29294476,31525400,31569786,34655104,39158214,40771421
 "53000","Washington",8,CAGDP2,35,"44-45","  Retail trade ","Thousands of dollars",17285101,17742796,18704999,19593608,21117443,22401178,23074360,23024518,22253016,23673754,24904548,26756230,29514754,32195294,35943503,41342034,48173226,53301511,57804593,64725261,74936401,77858447,84788343
 "53000","Washington",8,CAGDP2,36,"48-49","  Transportation and warehousing ","Thousands of dollars",7010885,7017319,7365400,8126178,8620450,9338612,9473987,9686442,9546313,10496730,10693248,11200334,11559975,12305507,13591757,14496520,15413409,16437993,17557594,14760482,17899734,22353756,24692515
 "53000","Washington",8,CAGDP2,45,"51","  Information ","Thousands of dollars",21756647,23345511,24779605,24889388,26640968,27482218,32589500,34562540,34146121,33433918,36163264,39170817,41304138,45343685,48270565,54322855,61204334,68012511,81757947,99517074,109313135,109779427,126442048
 "53000","Washington",8,CAGDP2,50,"52,53","  Finance, insurance, real estate, rental, and leasing ","Thousands of dollars",42405801,43673948,44794275,46352584,49854467,52490042,56174245,59720757,60049820,61628602,63402958,65577118,68929849,73149235,76233875,81653913,85191422,93548486,97593890,103790539,113757811,124186789,132237146
 "53000","Washington",8,CAGDP2,51,"52","   Finance and insurance ","Thousands of dollars",10453377,11501504,12354596,12517240,13380315,14416067,14392676,13493291,14117892,13822959,14121717,15378695,15190193,16230054,17395338,19507041,19087941,21118807,21938261,24428528,26346252,26747426,26136315
 "53000","Washington",8,CAGDP2,56,"53","   Real estate and rental and leasing ","Thousands of dollars",31952423,32172444,32439679,33835344,36474153,38073976,41781570,46227466,45931927,47805643,49281241,50198423,53739656,56919181,58838537,62146872,66103482,72429679,75655628,79362010,87411559,97439364,106100830
 "53000","Washington",8,CAGDP2,59,"54,55,56","  Professional and business services ","Thousands of dollars",23766010,24782014,26417009,28240053,30265501,32234000,36238736,38361025,36473598,39512806,41272052,43224376,44636336,46526965,48826450,51251483,54861411,60434008,64006034,66034332,77126418,85864315,95308589
