GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
 "56000","Wyoming",7,CAGDP2,1,"...","All industry total ","Thousands of dollars",18741707,19160781,21199021,23418134,27530151,32692236,36912831,42694635,36282203,37567504,39615059,38679320,39365580,40573906,38624849,36105862,37620307,39614458,40029484,36709641,42319091,49782569,51990542
 "56000","Wyoming",7,CAGDP2,2,"..."," Private industries ","Thousands of dollars",15780162,15969457,17759862,19796836,23732014,28642169,32404555,37820100,31207414,32341402,34317015,33139308,33482811,34525765,32464736,29926759,31298478,33189516,33628091,30136376,35587671,42758114,44556870
 "56000","Wyoming",7,CAGDP2,3,"11","  Agriculture, forestry, fishing and hunting ","Thousands of dollars",416474,311233,428298,453278,430426,431576,363363,450457,445075,529445,796450,562889,713175,744836,700284,635178,627682,674333,652259,587284,690815,1016640,1072276
 "56000","Wyoming",7,CAGDP2,6,"21","  Mining, quarrying, and oil and gas extraction ","Thousands of dollars",3804520,3717259,4810790,6011838,8611311,11393443,12634548,16167216,11636977,12219753,12999347,10149801,10177223,10214235,7086168,5621286,6891107,7224870,6695194,4913461,6577562,9206120,8653084
 "56000","Wyoming",7,CAGDP2,10,"22","  Utilities ","Thousands of dollars",498391,508924,530285,566137,570707,650129,690346,737294,829278,918528,953885,964456,992943,995595,1015199,1059179,1044494,1011162,1026853,1046708,1076001,1180595,1270219
 "56000","Wyoming",7,CAGDP2,11,"23","  Construction ","Thousands of dollars",1168291,1221639,1238414,1238343,1406570,1709416,2037756,2256289,1988501,1925804,1820568,2037075,2117336,2332490,2259180,2073817,1936448,2036730,2430363,2344996,2387885,2536995,2869844
 "56000","Wyoming",7,CAGDP2,12,"31-33","  Manufacturing ","Thousands of dollars",1328370,955474,1145919,1306414,1509375,1891410,2871947,3413959,1555314,1697565,2053106,2511044,1872885,1675531,2213495,1620289,1986957,2565110,2856772,1991649,3182131,4473484,4406210
 "56000","Wyoming",7,CAGDP2,13,"321,327-339","   Durable goods manufacturing ","Thousands of dollars",261477,261479,259245,297503,315025,324073,365967,404897,385585,375731,411678,443124,424631,447655,482715,432742,495383,510937,586736,554518,616485,694649,736063
 "56000","Wyoming",7,CAGDP2,25,"311-316,322-326","   Nondurable goods manufacturing ","Thousands of dollars",1066893,693995,886674,1008911,1194349,1567338,2505980,3009062,1169729,1321835,1641428,2067920,1448254,1227877,1730781,1187547,1491575,2054173,2270036,1437131,2565646,3778835,3670147
 "56000","Wyoming",7,CAGDP2,34,"42","  Wholesale trade ","Thousands of dollars",742753,762419,790202,863462,945851,1110735,1225333,1356261,1237762,1306213,1367885,1556495,1647123,1798432,1710187,1517114,1456063,1485450,1557335,1433365,1462287,1660902,1733193
