GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
 "01000","Alabama",5,SASUMMARY,1,"..."," Real GDP (millions of chained 2017 dollars) 1/","Millions of chained 2017 dollars",160396.4,166531.8,168695.3,168448.3,172430.4,178040.0,189913.7,197246.5,199923.9,202025.5,200967.4,194192.1,199455.0,201372.8,203675.5,206962.9,206070.0,208950.3,212862.8,216615.5,220808.8,225272.8,222288.8,233726.6,238556.5,245354.7
 "01000","Alabama",5,SASUMMARY,2,"..."," Real personal income (millions of constant (2017) dollars) 2/","Millions of constant 2017 dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),199308.2,199810.9,199934.3,201384.9,201397.8,201172.1,205291.8,215147.9,214859.9,220235.9,231109.9,235847.2,252516.5,266191.4,256889.2,255620.7
 "01000","Alabama",5,SASUMMARY,3,"..."," Real PCE (millions of constant (2017) dollars) 3/","Millions of constant 2017 dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),164093.5,164430.3,163000.8,163835.5,163555.0,166493.3,169501.8,175050.6,177257.9,181495.6,190026.5,193730.0,191907.5,207240.1,211069.8,209835.3
 "01000","Alabama",5,SASUMMARY,4,"..."," Gross domestic product (GDP) ","Millions of current dollars",110838.8,116514.3,120522.6,123534.5,128380.9,135212.6,148379.1,158677.3,166048.2,172247.0,174665.6,170876.5,177510.7,182896.7,188280.7,193981.5,197064.4,203113.3,208824.3,216615.5,226263.8,234798.2,235325.3,260018.4,284949.1,304935.6
 "01000","Alabama",5,SASUMMARY,5,"..."," Personal income ","Millions of current dollars",99772.9,103204.1,108002.9,111894.1,115007.7,120241.0,128606.3,136087.5,144719.0,151942.6,157780.3,155666.9,162068.8,167882.2,172101.5,173720.7,179487.1,187474.7,190871.8,197963.8,205674.2,215151.8,230732.2,254960.4,262235.6,276925.6
 "01000","Alabama",5,SASUMMARY,6,"..."," Disposable personal income ","Millions of current dollars",88548.4,91473.6,95839.8,99375.0,103906.5,109568.8,117627.3,123206.1,130008.0,136204.2,141827.1,143231.0,148862.1,152835.4,157273.8,157600.0,162978.1,169520.5,172173.6,179134.7,187334.2,195198.8,210477.7,230848.0,232294.4,250036.2
 "01000","Alabama",5,SASUMMARY,7,"..."," Personal consumption expenditures ","Millions of current dollars",80320.5,84866.0,89748.7,93232.7,97220.1,102106.6,108428.7,115631.1,121487.4,126916.4,130009.5,128265.5,132314.4,136772.4,139950.6,143956.7,148385.6,152790.5,157806.1,163523.4,169460.2,177059.6,175833.9,198895.8,215682.5,227475.0
 "01000","Alabama",5,SASUMMARY,8,"..."," Real per capita personal income 4/","Constant 2017 dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),42242,41995,41757,41849,41617,41356,42010,43835,43577,44472,46441,47137,50183,52707,50630,50039
 "01000","Alabama",5,SASUMMARY,9,"..."," Real per capita PCE 5/","Constant 2017 dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),34779,34559,34044,34046,33798,34227,34686,35665,35951,36649,38186,38720,38138,41035,41599,41076
 "01000","Alabama",5,SASUMMARY,10,"..."," Per capita personal income 6/","Dollars",22651,23296,24258,25046,25671,26700,28385,29780,31264,32516,33441,32717,33849,34887,35564,35713,36729,38197,38712,39975,41330,43001,45854,50483,51683,54209
 "01000","Alabama",5,SASUMMARY,11,"..."," Per capita disposable personal income 7/","Dollars",20103,20648,21527,22243,23193,24330,25962,26961,28086,29148,30060,30104,31091,31760,32500,32399,33351,34538,34919,36173,37645,39013,41829,45709,45782,48945
 "01000","Alabama",5,SASUMMARY,12,"..."," Per capita personal consumption expenditures (PCE) 8/","Dollars",18235,19157,20158,20868,21700,22673,23932,25303,26245,27160,27555,26958,27635,28422,28920,29594,30365,31130,32005,33020,34053,35388,34944,39382,42508,44529
 "01000","Alabama",5,SASUMMARY,13,"..."," Regional price parities (RPPs) 9/","Index",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),88.852,87.725,89.682,89.955,90.515,90.273,90.137,89.706,90.580,90.098,87.388,88.297,87.561,88.072,88.007,89.970
 "01000","Alabama",5,SASUMMARY,14,"..."," Implicit regional price deflator 10/","Index",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),79.229,78.006,81.174,83.482,85.568,86.464,87.542,87.284,89.026,90.098,89.177,91.395,91.624,95.974,102.185,108.406
 "01000","Alabama",5,SASUMMARY,15,"..."," Total employment (number of jobs) ","Number of jobs",2361892,2378217,2392225,2376053,2364829,2371429,2425650,2486829,2545547,2604108,2582600,2479511,2460305,2497974,2503656,2523020,2552256,2587641,2619761,2649222,2692424,2712014,2670753,2769122,2854910,2939353
"Note: See the included footnote file."
"SASUMMARY: State annual summary statistics: personal income, GDP, consumer spending, price indexes, and employment "
"Last updated: December 12, 2024."
"U.S. Bureau of Economic Analysis"
