GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
 "05000","Arkansas",5,SASUMMARY,1,"..."," Real GDP (millions of chained 2017 dollars) 1/","Millions of chained 2017 dollars",89905.3,94756.9,95509.8,95528.7,98556.6,102948.0,108581.8,112451.1,114890.4,114026.7,113628.0,109833.1,113000.9,115241.8,116616.2,119842.8,121409.4,121532.5,123034.9,123882.6,126371.2,127220.0,128340.9,137463.6,139560.7,142860.6
 "05000","Arkansas",5,SASUMMARY,2,"..."," Real personal income (millions of constant (2017) dollars) 2/","Millions of constant 2017 dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),117807.7,118683.5,117680.3,121331.4,126850.0,125299.8,130572.4,134940.8,136781.6,140074.1,145306.2,144945.1,154321.0,165505.2,167211.7,169738.3
 "05000","Arkansas",5,SASUMMARY,3,"..."," Real PCE (millions of constant (2017) dollars) 3/","Millions of constant 2017 dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),95712.4,97029.3,96705.8,97691.8,98540.8,99397.4,102073.7,105531.4,108118.3,110659.9,115087.9,114966.5,114466.8,123114.5,127801.5,130245.1
 "05000","Arkansas",5,SASUMMARY,4,"..."," Gross domestic product (GDP) ","Millions of current dollars",62852.0,67279.0,69176.3,71099.6,74453.1,79009.7,85928.6,91133.4,96073.7,98325.0,100206.7,97783.9,101699.3,105697.6,108836.0,114021.1,117388.7,118573.6,120987.4,123882.6,129213.8,132625.8,136198.4,154052.5,168605.8,178606.4
 "05000","Arkansas",5,SASUMMARY,5,"..."," Personal income ","Millions of current dollars",55686.3,57922.1,60886.2,64168.6,65698.8,69656.4,74308.7,77990.4,82891.6,88410.7,92435.6,90992.3,94127.0,100449.5,107007.4,107209.3,113171.5,116632.4,119758.8,123825.4,128970.8,131394.8,141985.7,160036.7,168534.8,176809.1
 "05000","Arkansas",5,SASUMMARY,6,"..."," Disposable personal income ","Millions of current dollars",49470.1,51534.9,54020.7,57065.8,59393.7,63652.8,68042.8,70833.0,75056.5,79532.9,83120.6,83435.7,86387.0,91406.0,97557.8,96883.6,102362.7,105216.0,107887.7,111671.5,117322.8,119267.7,129524.3,144346.1,149696.0,160388.2
 "05000","Arkansas",5,SASUMMARY,7,"..."," Personal consumption expenditures ","Millions of current dollars",44283.3,47305.5,50566.1,52796.3,54843.4,57788.1,61297.4,65560.6,69198.3,72561.3,75160.6,74484.9,77458.3,80992.6,83237.7,85154.6,88584.1,91366.0,94866.1,98052.5,102359.8,104412.9,105606.7,119286.2,128944.2,135760.8
 "05000","Arkansas",5,SASUMMARY,8,"..."," Real per capita personal income 4/","Constant 2017 dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),40983,40970,40280,41286,43016,42407,44095,45429,45891,46835,48479,48247,51195,54650,54888,55330
 "05000","Arkansas",5,SASUMMARY,9,"..."," Real per capita PCE 5/","Constant 2017 dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),33296,33495,33101,33242,33416,33641,34470,35528,36274,37000,38398,38268,37974,40653,41952,42456
 "05000","Arkansas",5,SASUMMARY,10,"..."," Per capita personal income 6/","Dollars",21203,21842,22731,23841,24280,25564,27024,28043,29376,31036,32157,31411,32218,34180,36287,36285,38218,39266,40179,41402,43029,43736,47103,52845,55323,57635
 "05000","Arkansas",5,SASUMMARY,11,"..."," Per capita disposable personal income 7/","Dollars",18836,19433,20168,21202,21949,23360,24746,25469,26599,27920,28916,28802,29569,31103,33083,32790,34568,35422,36197,37338,39143,39700,42969,47663,49139,52282
 "05000","Arkansas",5,SASUMMARY,12,"..."," Per capita personal consumption expenditures (PCE) 8/","Dollars",16862,17839,18878,19615,20268,21208,22293,23574,24523,25472,26147,25712,26513,27559,28227,28820,29915,30759,31828,32785,34151,34755,35035,39389,42327,44254
 "05000","Arkansas",5,SASUMMARY,13,"..."," Regional price parities (RPPs) 9/","Index",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),88.065,86.330,88.492,89.335,89.354,89.445,89.357,88.980,89.275,88.607,87.156,87.742,88.168,88.913,86.895,86.508
 "05000","Arkansas",5,SASUMMARY,14,"..."," Implicit regional price deflator 10/","Index",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),78.528,76.765,80.097,82.906,84.470,85.671,86.784,86.577,87.743,88.607,88.941,90.820,92.260,96.890,100.894,104.235
 "05000","Arkansas",5,SASUMMARY,15,"..."," Total employment (number of jobs) ","Number of jobs",1445536,1460374,1482449,1482587,1478920,1482026,1505086,1537671,1567665,1582826,1579250,1542904,1541250,1561929,1565109,1569358,1587408,1610799,1629734,1639903,1658212,1663305,1638864,1684570,1745448,1788616
"Note: See the included footnote file."
"SASUMMARY: State annual summary statistics: personal income, GDP, consumer spending, price indexes, and employment "
"Last updated: December 12, 2024."
"U.S. Bureau of Economic Analysis"
