GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
 "08000","Colorado",7,SASUMMARY,1,"..."," Real GDP (millions of chained 2017 dollars) 1/","Millions of chained 2017 dollars",206449.1,221040.8,238739.3,242650.1,243701.9,246017.4,250069.3,261992.9,268190.8,278733.8,281803.3,275659.1,279385.6,283963.8,289339.5,301484.1,315399.0,330526.1,337685.2,350209.1,365204.5,383725.6,380188.8,406451.9,418818.8,437056.0
 "08000","Colorado",7,SASUMMARY,2,"..."," Real personal income (millions of constant (2017) dollars) 2/","Millions of constant 2017 dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),228236.2,220217.9,226621.4,233652.0,242375.6,251229.7,268506.2,279326.6,281611.3,295345.2,321261.3,331900.2,345630.9,372693.0,377585.6,385503.9
 "08000","Colorado",7,SASUMMARY,3,"..."," Real PCE (millions of constant (2017) dollars) 3/","Millions of constant 2017 dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),188107.8,187581.5,193290.8,192643.3,194602.5,201435.1,210537.6,221798.9,231600.3,240861.8,255814.8,260194.4,252603.2,281873.9,295600.9,306884.9
 "08000","Colorado",7,SASUMMARY,4,"..."," Gross domestic product (GDP) ","Millions of current dollars",149653.7,162411.7,179303.3,185848.9,189604.6,195137.6,203743.3,220803.8,232853.6,248571.6,257606.1,249817.1,256771.8,266114.1,274738.8,291265.3,309223.9,320895.9,330565.9,350209.1,373923.1,397843.6,396741.9,445835.7,494672.8,529626.5
 "08000","Colorado",7,SASUMMARY,5,"..."," Personal income ","Millions of current dollars",122577.9,131712.8,146560.8,154066.7,154492.3,157405.3,163568.5,174247.8,188197.0,200611.2,210065.8,200170.0,206053.4,223873.9,236033.0,247816.7,268453.1,279696.0,283678.7,303366.7,328112.7,351476.0,374262.2,416727.1,447854.4,470605.9
 "08000","Colorado",7,SASUMMARY,6,"..."," Disposable personal income ","Millions of current dollars",105138.1,112452.8,124352.3,132523.8,136160.2,140456.1,145983.9,153717.8,164602.5,174261.5,183754.7,180175.7,184323.2,197828.9,208823.5,217662.1,235238.8,243622.7,246133.3,264253.1,288001.5,307807.3,329650.0,361501.9,381394.1,412483.8
 "08000","Colorado",7,SASUMMARY,7,"..."," Personal consumption expenditures ","Millions of current dollars",96805.1,106130.8,117037.5,123305.4,126789.8,132387.1,140464.2,148825.1,158054.6,167441.9,173274.1,170721.1,175992.9,184841.9,189763.8,198951.0,210765.5,222464.3,233801.6,247983.2,261807.9,276054.3,274280.1,315811.8,350970.3,374880.1
 "08000","Colorado",7,SASUMMARY,8,"..."," Real per capita personal income 4/","Constant 2017 dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),46677,44290,44902,45642,46712,47730,50254,51326,50932,52739,56587,57863,59744,64129,64644,65589
 "08000","Colorado",7,SASUMMARY,9,"..."," Real per capita PCE 5/","Constant 2017 dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),38470,37726,38298,37632,37505,38270,39404,40755,41887,43010,45060,45362,43664,48502,50608,52213
 "08000","Colorado",7,SASUMMARY,10,"..."," Per capita personal income 6/","Dollars",29776,31167,33872,34812,34405,34757,35753,37619,39869,41760,42961,40258,40827,43732,45490,47082,50244,51394,51306,54171,57794,61276,64693,71706,76674,80068
 "08000","Colorado",7,SASUMMARY,11,"..."," Per capita disposable personal income 7/","Dollars",25540,26610,28739,29944,30322,31014,31909,33187,34870,36275,37580,36237,36521,38645,40246,41353,44028,44766,44515,47187,50729,53663,56981,62204,65296,70179
 "08000","Colorado",7,SASUMMARY,12,"..."," Per capita personal consumption expenditures (PCE) 8/","Dollars",23516,25114,27049,27861,28236,29233,30702,32131,33483,34856,35436,34335,34871,36108,36572,37798,39447,40878,42285,44281,46115,48127,47410,54342,60087,63781
 "08000","Colorado",7,SASUMMARY,13,"..."," Regional price parities (RPPs) 9/","Index",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),103.302,102.351,100.594,103.391,103.152,103.118,103.076,103.084,102.713,102.957,100.290,102.499,103.766,102.815,102.257,101.382
 "08000","Colorado",7,SASUMMARY,14,"..."," Implicit regional price deflator 10/","Index",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),92.114,91.012,91.051,95.950,97.514,98.767,100.108,100.300,100.950,102.957,102.343,106.095,108.581,112.040,118.731,122.157
 "08000","Colorado",7,SASUMMARY,15,"..."," Total employment (number of jobs) ","Number of jobs",2732491,2808435,2918002,2941583,2916933,2908611,2958370,3036659,3109365,3217965,3251120,3164474,3143662,3204104,3262912,3357156,3467715,3574253,3666709,3760708,3857981,3894321,3820820,3987571,4110187,4241790
"Note: See the included footnote file."
"SASUMMARY: State annual summary statistics: personal income, GDP, consumer spending, price indexes, and employment "
"Last updated: December 12, 2024."
"U.S. Bureau of Economic Analysis"
