GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
 "13000","Georgia",5,SASUMMARY,1,"..."," Real GDP (millions of chained 2017 dollars) 1/","Millions of chained 2017 dollars",377705.9,404465.2,417713.5,422731.6,427329.7,439074.6,461245.4,480838.3,487524.9,492238.7,481860.3,464016.8,471588.2,481215.4,489027.3,499900.2,517511.9,540108.5,561718.3,583543.3,600934.7,620744.9,604745.9,643013.8,665678.1,678201.2
 "13000","Georgia",5,SASUMMARY,2,"..."," Real personal income (millions of constant (2017) dollars) 2/","Millions of constant 2017 dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),399457.2,403761.1,395187.5,415469.5,410423.3,412610.1,432994.4,460266.7,473711.4,491844.9,508578.3,529611.3,560217.1,581133.0,563090.6,567218.6
 "13000","Georgia",5,SASUMMARY,3,"..."," Real PCE (millions of constant (2017) dollars) 3/","Millions of constant 2017 dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),335885.3,336939.5,331359.9,340874.6,339789.0,349190.1,361754.1,376570.4,387188.7,399122.2,413280.4,426037.5,417345.7,453294.4,468477.5,475973.8
 "13000","Georgia",5,SASUMMARY,4,"..."," Gross domestic product (GDP) ","Millions of current dollars",265146.4,289048.9,305323.7,316872.7,326017.9,339540.5,364530.1,388707.2,405664.2,419384.8,416303.5,409876.2,419013.1,433137.1,449375.6,467559.5,493370.3,525516.8,554903.2,583543.3,612803.4,646695.8,640223.6,705546.7,779684.0,831827.7
 "13000","Georgia",5,SASUMMARY,5,"..."," Personal income ","Millions of current dollars",205294.0,218718.6,236616.8,248742.5,255977.2,265622.8,280462.4,297084.9,316548.8,331363.7,335257.5,329158.9,337420.5,360456.2,369040.2,374124.6,398585.7,423242.0,441039.1,467592.5,491088.0,516504.2,552316.3,605211.5,625219.3,660447.5
 "13000","Georgia",5,SASUMMARY,6,"..."," Disposable personal income ","Millions of current dollars",177696.0,189089.3,204163.4,215668.7,227556.4,238596.7,252658.5,265059.9,280546.2,292649.9,297774.6,299789.2,306298.0,324492.2,332462.4,333490.4,355074.7,375453.3,392132.8,414875.6,438862.0,460297.2,494762.3,533913.9,537809.9,583228.4
 "13000","Georgia",5,SASUMMARY,7,"..."," Personal consumption expenditures ","Millions of current dollars",161380.3,174395.0,188709.6,197694.0,205273.8,216655.7,230229.2,247103.8,261997.1,277091.5,282133.9,275032.5,283317.5,296156.1,305937.0,317022.1,333433.2,346858.4,361258.0,380330.8,399888.2,416267.9,412590.8,473025.9,520697.9,554573.4
 "13000","Georgia",5,SASUMMARY,8,"..."," Real per capita personal income 4/","Constant 2017 dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),42027,41967,40688,42371,41428,41342,42966,45162,45910,47164,48286,49762,52199,53857,51597,51429
 "13000","Georgia",5,SASUMMARY,9,"..."," Real per capita PCE 5/","Constant 2017 dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),35338,35022,34117,34764,34298,34987,35896,36950,37525,38272,39238,40030,38887,42009,42928,43156
 "13000","Georgia",5,SASUMMARY,10,"..."," Per capita personal income 6/","Dollars",26107,27184,28760,29693,30086,30805,31982,33283,34574,35440,35272,34213,34741,36761,37251,37486,39551,41529,42744,44838,46626,48530,51463,56088,57290,59882
 "13000","Georgia",5,SASUMMARY,11,"..."," Per capita disposable personal income 7/","Dollars",22597,23501,24815,25745,26745,27670,28812,29696,30641,31299,31329,31160,31536,33093,33558,33414,35234,36840,38004,39783,41667,43249,46100,49481,49281,52880
 "13000","Georgia",5,SASUMMARY,12,"..."," Per capita personal consumption expenditures (PCE) 8/","Dollars",20523,21675,22937,23600,24126,25126,26254,27684,28615,29635,29683,28587,29170,30203,30881,31764,33086,34034,35012,36470,37967,39112,38444,43838,47713,50282
 "13000","Georgia",5,SASUMMARY,13,"..."," Regional price parities (RPPs) 9/","Index",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),94.199,91.797,94.463,93.618,95.243,94.787,94.903,94.667,94.932,95.292,94.819,94.395,94.476,95.761,95.725,96.699
 "13000","Georgia",5,SASUMMARY,14,"..."," Implicit regional price deflator 10/","Index",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),83.997,81.627,85.501,86.881,90.037,90.788,92.171,92.110,93.303,95.292,96.760,97.707,98.861,104.353,111.147,116.513
 "13000","Georgia",5,SASUMMARY,15,"..."," Total employment (number of jobs) ","Number of jobs",4607959,4728750,4860810,4871814,4858410,4895367,5021804,5195948,5358151,5490802,5451004,5247101,5211443,5325710,5384734,5497190,5671135,5832928,5973764,6128089,6287460,6398769,6326141,6638710,6931533,7136747
"Note: See the included footnote file."
"SASUMMARY: State annual summary statistics: personal income, GDP, consumer spending, price indexes, and employment "
"Last updated: December 12, 2024."
"U.S. Bureau of Economic Analysis"
