GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
 "22000","Louisiana",5,SASUMMARY,1,"..."," Real GDP (millions of chained 2017 dollars) 1/","Millions of chained 2017 dollars",209356.6,213475.3,206556.1,210534.7,214856.1,223576.0,234620.8,249560.9,247139.7,234216.4,237061.6,241868.8,253466.9,241235.9,242416.8,236482.3,243042.9,239584.1,235554.2,239830.7,245220.3,246674.4,228951.3,237839.2,236854.1,248615.5
 "22000","Louisiana",5,SASUMMARY,2,"..."," Real personal income (millions of constant (2017) dollars) 2/","Millions of constant 2017 dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),208684.8,206489.2,207753.8,207629.7,213483.3,213536.8,218320.6,220101.4,215097.6,220724.6,229692.2,232859.9,245197.0,255861.5,243667.3,253006.0
 "22000","Louisiana",5,SASUMMARY,3,"..."," Real PCE (millions of constant (2017) dollars) 3/","Millions of constant 2017 dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),157968.5,161045.2,161200.2,162546.2,164047.0,166723.9,169122.2,174337.0,175381.1,180159.0,185849.5,187333.0,182797.1,196764.9,200602.5,208069.2
 "22000","Louisiana",5,SASUMMARY,4,"..."," Gross domestic product (GDP) ","Millions of current dollars",120228.8,125667.3,132375.8,138204.3,140082.8,155198.7,170999.6,199314.2,207249.8,203771.3,213803.5,206111.5,226555.6,230518.7,235960.9,231652.7,240965.0,234324.2,227440.3,239830.7,256444.4,257499.0,236216.3,267263.6,298424.5,314988.6
 "22000","Louisiana",5,SASUMMARY,5,"..."," Personal income ","Millions of current dollars",98863.5,101157.7,106907.7,114767.4,118194.3,122009.9,127386.9,137162.4,144684.4,158433.0,170008.6,165305.6,173007.3,178350.9,187190.7,189741.3,197729.8,198425.9,197411.9,203454.9,212320.8,219305.0,233233.5,254296.9,255687.0,269140.2
 "22000","Louisiana",5,SASUMMARY,6,"..."," Disposable personal income ","Millions of current dollars",88160.2,90523.0,95660.1,102692.8,107611.8,112201.2,117608.4,126348.2,131528.7,142714.5,152758.5,152117.2,159616.1,163574.7,170767.5,171884.1,178989.0,180068.9,178775.0,185213.7,194327.8,199984.9,215877.4,232621.5,229001.7,245273.4
 "22000","Louisiana",5,SASUMMARY,7,"..."," Personal consumption expenditures ","Millions of current dollars",78749.6,82772.1,87152.6,90725.7,94157.2,99582.7,105278.5,110109.7,116283.0,123420.1,128797.3,129088.9,134426.9,139821.9,144035.6,148333.2,153367.7,157431.6,161306.7,166452.2,172147.2,176757.0,174356.2,195955.2,210712.8,221484.7
 "22000","Louisiana",5,SASUMMARY,8,"..."," Real per capita personal income 4/","Constant 2017 dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),47048,45972,45712,45363,46373,46138,46963,47125,45906,47177,49184,49921,52708,55297,53109,55317
 "22000","Louisiana",5,SASUMMARY,9,"..."," Real per capita PCE 5/","Constant 2017 dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),35614,35854,35469,35513,35635,36023,36380,37327,37430,38507,39796,40161,39294,42525,43723,45492
 "22000","Louisiana",5,SASUMMARY,10,"..."," Per capita personal income 6/","Dollars",22265,22677,23907,25630,26281,26987,27983,29970,33627,36208,38328,36803,38067,38966,40662,40997,42533,42484,42132,43486,45464,47015,50136,54959,55729,58845
 "22000","Louisiana",5,SASUMMARY,11,"..."," Per capita disposable personal income 7/","Dollars",19854,20293,21391,22933,23928,24818,25835,27607,30569,32616,34439,33867,35121,35738,37095,37138,38502,38554,38154,39587,41611,42873,46405,50274,49913,53626
 "22000","Louisiana",5,SASUMMARY,12,"..."," Per capita personal consumption expenditures (PCE) 8/","Dollars",17735,18555,19489,20261,20937,22027,23127,24059,27026,28207,29037,28740,29578,30548,31288,32050,32991,33707,34426,35577,36862,37894,37480,42350,45927,48425
 "22000","Louisiana",5,SASUMMARY,13,"..."," Regional price parities (RPPs) 9/","Index",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),91.436,90.144,92.131,92.690,92.878,92.889,93.373,92.810,93.580,92.392,90.769,91.156,91.152,91.389,90.465,88.345
 "22000","Louisiana",5,SASUMMARY,14,"..."," Implicit regional price deflator 10/","Index",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),81.534,80.157,83.391,86.020,87.801,88.969,90.685,90.303,91.975,92.392,92.627,94.354,95.382,99.588,105.040,106.448
 "22000","Louisiana",5,SASUMMARY,15,"..."," Total employment (number of jobs) ","Number of jobs",2336386,2352801,2388668,2397993,2399210,2418739,2434471,2397382,2413784,2501097,2550824,2529917,2536537,2564904,2601173,2642042,2684809,2696540,2691337,2692542,2725271,2717240,2592329,2693999,2766938,2833528
"Note: See the included footnote file."
"SASUMMARY: State annual summary statistics: personal income, GDP, consumer spending, price indexes, and employment "
"Last updated: December 12, 2024."
"U.S. Bureau of Economic Analysis"
