GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
 "25000","Massachusetts",1,SASUMMARY,1,"..."," Real GDP (millions of chained 2017 dollars) 1/","Millions of chained 2017 dollars",335504.4,353837.9,382599.6,388180.8,388451.6,397069.9,407886.0,417075.6,426926.1,440373.8,447526.8,441307.6,462330.8,472664.3,483286.3,486991.8,496250.9,514398.7,521662.8,530129.4,549262.1,566326.8,559765.0,595911.8,608052.9,615504.5
 "25000","Massachusetts",1,SASUMMARY,2,"..."," Real personal income (millions of constant (2017) dollars) 2/","Millions of constant 2017 dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),352308.8,353100.9,365865.6,374037.9,381927.0,383734.2,391031.1,414493.3,413376.8,429672.4,443038.1,458714.6,475960.8,504818.8,474183.4,486679.8
 "25000","Massachusetts",1,SASUMMARY,3,"..."," Real PCE (millions of constant (2017) dollars) 3/","Millions of constant 2017 dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),285126.5,285215.4,292237.0,295472.7,298850.8,306903.9,311238.2,320862.7,318760.4,330798.8,337776.1,344746.6,323459.2,358112.5,357141.7,370964.0
 "25000","Massachusetts",1,SASUMMARY,4,"..."," Gross domestic product (GDP) ","Millions of current dollars",247686.8,262868.8,287091.4,294876.4,299915.8,309736.1,324919.0,340637.8,358418.3,377985.6,387923.4,388963.9,409270.0,423684.9,441373.9,452580.4,469824.9,497767.0,514108.0,530129.4,559605.0,588069.5,592653.0,649511.4,695612.1,736296.3
 "25000","Massachusetts",1,SASUMMARY,5,"..."," Personal income ","Millions of current dollars",205509.2,219633.3,244147.4,254058.1,252959.5,257918.0,270865.5,282138.1,303265.4,319407.0,333450.5,330773.4,346269.9,363076.3,376591.2,379250.4,396488.7,422547.6,438598.5,459778.7,483954.4,507884.7,541870.8,585962.4,601909.6,634296.1
 "25000","Massachusetts",1,SASUMMARY,6,"..."," Disposable personal income ","Millions of current dollars",170236.3,181023.6,196854.4,209556.9,217296.3,223648.1,235076.1,242062.2,259041.4,268645.0,283455.9,291998.7,303598.9,312773.4,325798.7,321324.5,334155.5,354729.0,370077.6,388416.0,410699.8,429843.6,463351.8,490094.7,484879.2,532858.0
 "25000","Massachusetts",1,SASUMMARY,7,"..."," Personal consumption expenditures ","Millions of current dollars",162978.8,174085.6,188309.9,198306.4,205354.4,217052.4,229676.5,242025.6,253765.3,261860.4,270085.7,267519.7,276970.5,287218.4,295070.2,303703.1,315986.3,327645.5,338935.6,354806.5,369729.9,382411.5,369263.3,416511.2,453804.2,483803.1
 "25000","Massachusetts",1,SASUMMARY,8,"..."," Real per capita personal income 4/","Constant 2017 dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),54461,54176,55691,56417,57066,56794,57340,60375,59836,61749,63345,65375,68017,72200,67908,69512
 "25000","Massachusetts",1,SASUMMARY,9,"..."," Real per capita PCE 5/","Constant 2017 dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),44076,43761,44484,44567,44653,45423,45640,46737,46140,47540,48295,49133,46224,51218,51146,52984
 "25000","Massachusetts",1,SASUMMARY,10,"..."," Per capita personal income 6/","Dollars",32767,34767,38381,39711,39419,40158,42242,44061,47311,49662,51546,50751,52708,54764,56269,56130,58141,61548,63487,66076,69195,72383,77435,83805,86200,90596
 "25000","Massachusetts",1,SASUMMARY,11,"..."," Per capita disposable personal income 7/","Dollars",27143,28655,30947,32755,33862,34822,36660,37803,40412,41770,43818,44801,46213,47176,48680,47557,49000,51670,53568,55820,58721,61261,66215,70094,69440,76107
 "25000","Massachusetts",1,SASUMMARY,12,"..."," Per capita personal consumption expenditures (PCE) 8/","Dollars",25986,27557,29603,30997,32001,33795,35818,37797,39588,40715,41751,41046,42160,43322,44088,44949,46336,47725,49061,50990,52863,54501,52769,59570,64989,69101
 "25000","Massachusetts",1,SASUMMARY,13,"..."," Regional price parities (RPPs) 9/","Index",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),106.230,105.482,104.709,104.744,104.444,103.316,104.535,104.948,108.185,107.258,107.264,107.165,109.097,106.731,109.435,108.238
 "25000","Massachusetts",1,SASUMMARY,14,"..."," Implicit regional price deflator 10/","Index",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),94.725,93.796,94.776,97.206,98.735,98.957,101.526,102.114,106.329,107.258,109.460,110.925,114.161,116.307,127.066,130.418
 "25000","Massachusetts",1,SASUMMARY,15,"..."," Total employment (number of jobs) ","Number of jobs",3896096,3962492,4070320,4075959,4021523,3991923,4028571,4071259,4110359,4202911,4215626,4115975,4115496,4175255,4253382,4353531,4447709,4631415,4709800,4778364,4855037,4872942,4600324,4777277,4940149,5051772
"Note: See the included footnote file."
"SASUMMARY: State annual summary statistics: personal income, GDP, consumer spending, price indexes, and employment "
"Last updated: December 12, 2024."
"U.S. Bureau of Economic Analysis"
