GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
 "26000","Michigan",3,SASUMMARY,1,"..."," Real GDP (millions of chained 2017 dollars) 1/","Millions of chained 2017 dollars",431274.3,457637.6,467654.4,453301.5,465788.4,477085.4,485082.7,493796.3,483763.6,482935.1,455256.7,416297.1,441271.5,453989.1,463302.6,472779.9,479534.9,490618.7,500159.5,505101.5,516843.0,521085.1,501893.8,530380.9,543720.9,554256.2
 "26000","Michigan",3,SASUMMARY,2,"..."," Real personal income (millions of constant (2017) dollars) 2/","Millions of constant 2017 dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),417247.4,397562.6,404923.1,422694.3,431789.3,429051.8,439730.3,471528.9,480853.1,491845.4,492973.4,496935.1,539609.5,557378.0,536034.9,541161.2
 "26000","Michigan",3,SASUMMARY,3,"..."," Real PCE (millions of constant (2017) dollars) 3/","Millions of constant 2017 dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),352913.9,346799.9,353731.7,362636.1,368854.2,374474.9,383211.2,402530.9,414519.1,427670.8,428255.5,429776.8,419889.4,451882.3,459977.8,461782.5
 "26000","Michigan",3,SASUMMARY,4,"..."," Gross domestic product (GDP) ","Millions of current dollars",311088.2,337150.2,351879.5,349127.5,363372.1,376123.8,388764.6,402828.8,402537.3,410613.0,391633.6,371707.0,393179.6,408354.1,426141.1,441470.8,456123.5,479222.7,494752.5,505101.5,525240.8,540237.3,529675.6,575116.4,627009.1,673818.1
 "26000","Michigan",3,SASUMMARY,5,"..."," Personal income ","Millions of current dollars",268711.9,282128.9,301060.4,306670.4,306427.1,313961.0,322698.4,329235.3,336842.6,346731.9,356356.2,339100.0,352074.3,372954.2,387339.2,390857.9,407267.0,429284.9,441557.2,454894.8,474208.0,489569.6,531708.2,571333.9,582021.1,613719.2
 "26000","Michigan",3,SASUMMARY,6,"..."," Disposable personal income ","Millions of current dollars",230722.7,242457.1,260067.6,266757.7,272152.4,281694.2,290993.3,295223.5,301200.4,308420.9,317728.0,310788.5,321080.3,336072.2,348254.6,347736.1,362554.6,380285.6,389478.1,402996.6,422585.8,436457.0,479235.0,509371.0,507220.3,548158.0
 "26000","Michigan",3,SASUMMARY,7,"..."," Personal consumption expenditures ","Millions of current dollars",202855.9,216134.0,229632.2,237866.0,245733.8,254913.0,266257.0,276793.6,285254.8,293376.0,301658.4,296177.6,307993.0,320415.1,331325.9,341572.6,355375.1,367082.2,381461.5,396468.1,412800.9,424195.6,414878.4,464128.7,499948.8,524045.1
 "26000","Michigan",3,SASUMMARY,8,"..."," Real per capita personal income 4/","Constant 2017 dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),41948,40151,40984,42716,43524,43132,44085,47214,48004,48940,48952,49308,53583,55526,53426,53915
 "26000","Michigan",3,SASUMMARY,9,"..."," Real per capita PCE 5/","Constant 2017 dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),35480,35025,35803,36647,37180,37646,38419,40305,41382,42555,42525,42644,41694,45017,45845,46007
 "26000","Michigan",3,SASUMMARY,10,"..."," Per capita personal income 6/","Dollars",27286,28506,30250,30694,30595,31267,32092,32756,33563,34669,35826,34247,35635,37689,39043,39293,40830,42984,44081,45264,47088,48577,52798,56916,58009,61144
 "26000","Michigan",3,SASUMMARY,11,"..."," Per capita disposable personal income 7/","Dollars",23429,24498,26131,26699,27173,28054,28939,29372,30012,30838,31942,31388,32498,33962,35104,34958,36348,38078,38882,40100,41962,43307,47587,50744,50554,54612
 "26000","Michigan",3,SASUMMARY,12,"..."," Per capita personal consumption expenditures (PCE) 8/","Dollars",20599,21838,23073,23808,24535,25387,26479,27539,28423,29334,30327,29912,31173,32380,33397,34338,35628,36755,38081,39450,40991,42090,41197,46237,49829,52210
 "26000","Michigan",3,SASUMMARY,13,"..."," Regional price parities (RPPs) 9/","Index",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),95.858,96.044,96.195,95.209,95.019,95.232,95.485,93.725,93.631,92.704,94.458,95.356,94.424,94.254,93.609,94.184
 "26000","Michigan",3,SASUMMARY,14,"..."," Implicit regional price deflator 10/","Index",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),85.476,85.403,87.070,88.357,89.826,91.214,92.736,91.194,92.025,92.704,96.391,98.701,98.807,102.710,108.690,113.483
 "26000","Michigan",3,SASUMMARY,15,"..."," Total employment (number of jobs) ","Number of jobs",5383530,5485654,5621494,5526201,5466125,5441678,5467547,5491717,5457438,5457366,5337592,5046457,5038098,5165197,5234356,5323127,5412068,5501527,5575793,5631139,5715122,5713441,5388050,5602299,5807078,5950022
"Note: See the included footnote file."
"SASUMMARY: State annual summary statistics: personal income, GDP, consumer spending, price indexes, and employment "
"Last updated: December 12, 2024."
"U.S. Bureau of Economic Analysis"
