GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
 "29000","Missouri",4,SASUMMARY,1,"..."," Real GDP (millions of chained 2017 dollars) 1/","Millions of chained 2017 dollars",249234.0,256290.4,262665.4,260381.1,264997.7,271970.5,279128.2,285341.7,286558.3,288320.8,297881.8,289566.8,295986.4,292984.2,296514.3,302025.7,303617.8,308009.9,308423.3,311273.8,314182.4,321329.1,315332.6,331580.9,339652.4,348487.4
 "29000","Missouri",4,SASUMMARY,2,"..."," Real personal income (millions of constant (2017) dollars) 2/","Millions of constant 2017 dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),279010.9,269359.7,263458.0,269246.0,276067.8,273056.0,276898.7,289282.9,296927.9,299195.0,306040.8,311214.7,333704.8,349285.8,345170.4,351069.4
 "29000","Missouri",4,SASUMMARY,3,"..."," Real PCE (millions of constant (2017) dollars) 3/","Millions of constant 2017 dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),237207.7,229619.6,227352.1,231862.0,235134.2,235644.6,237680.6,246631.7,252377.7,256476.3,261329.0,261575.5,257278.5,277002.0,286641.9,291956.8
 "29000","Missouri",4,SASUMMARY,4,"..."," Gross domestic product (GDP) ","Millions of current dollars",170122.2,178215.9,187012.8,190388.7,197399.0,206005.2,216977.5,227594.6,235816.9,244085.3,256431.1,254306.2,262013.4,263330.0,272482.4,282659.7,289340.7,299597.7,304143.3,311273.8,320451.6,334750.2,335285.1,366441.5,400265.1,430114.4
 "29000","Missouri",4,SASUMMARY,5,"..."," Personal income ","Millions of current dollars",140839.7,146172.5,156202.1,161531.2,165389.8,171593.2,180453.8,186770.9,197834.1,207411.3,219922.0,216424.5,221760.2,230858.3,240967.8,242493.0,250783.7,259350.0,267048.6,273774.2,286084.3,297492.6,320924.5,349482.8,364499.1,387904.7
 "29000","Missouri",4,SASUMMARY,6,"..."," Disposable personal income ","Millions of current dollars",122845.4,127441.6,136189.9,140912.5,147590.2,154872.9,163608.4,167661.3,176593.9,184005.5,195270.5,197477.4,202187.6,208237.2,217574.0,216900.2,223920.8,230119.7,237097.9,244067.9,256236.6,266196.6,289412.2,311596.2,318412.3,346580.0
 "29000","Missouri",4,SASUMMARY,7,"..."," Personal consumption expenditures ","Millions of current dollars",116264.1,123565.6,132088.2,137969.6,143667.6,150360.3,157440.0,165567.5,171889.2,179924.6,187125.2,184728.4,191635.6,199085.0,205513.3,209534.9,215540.2,221482.5,227468.9,235234.9,244790.5,250508.0,248105.4,277715.9,303002.1,322803.9
 "29000","Missouri",4,SASUMMARY,8,"..."," Real per capita personal income 4/","Constant 2017 dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),47099,45186,43938,44788,45807,45178,45689,47602,48730,48939,49937,50658,54222,56607,55878,56659
 "29000","Missouri",4,SASUMMARY,9,"..."," Real per capita PCE 5/","Constant 2017 dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),40042,38520,37916,38569,39015,38988,39218,40584,41419,41951,42641,42578,41804,44892,46403,47119
 "29000","Missouri",4,SASUMMARY,10,"..."," Per capita personal income 6/","Dollars",25506,26281,27857,28634,29144,30054,31396,32256,33860,35228,37124,36306,36984,38402,39983,40121,41380,42677,43826,44781,46680,48425,52145,56639,59007,62604
 "29000","Missouri",4,SASUMMARY,11,"..."," Per capita disposable personal income 7/","Dollars",22247,22913,24288,24979,26008,27126,28465,28956,30225,31253,32963,33128,33719,34639,36102,35887,36948,37867,38911,39922,41810,43330,47025,50499,51547,55935
 "29000","Missouri",4,SASUMMARY,12,"..."," Per capita personal consumption expenditures (PCE) 8/","Dollars",21056,22216,23557,24458,25317,26336,27392,28594,29419,30560,31588,30989,31960,33117,34100,34668,35565,36446,37331,38477,39942,40777,40313,45008,49052,52097
 "29000","Missouri",4,SASUMMARY,13,"..."," Regional price parities (RPPs) 9/","Index",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),88.468,90.473,93.124,92.522,92.456,92.837,93.373,92.296,91.704,91.718,91.792,92.522,92.157,92.003,91.040,91.762
 "29000","Missouri",4,SASUMMARY,14,"..."," Implicit regional price deflator 10/","Index",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),78.887,80.450,84.290,85.864,87.403,88.920,90.685,89.803,90.130,91.718,93.671,95.769,96.435,100.258,105.708,110.566
 "29000","Missouri",4,SASUMMARY,15,"..."," Total employment (number of jobs) ","Number of jobs",3385244,3422953,3470846,3451902,3437481,3444525,3478540,3533298,3586439,3636196,3625622,3522642,3475274,3506549,3528185,3565833,3597160,3655817,3700543,3735873,3777370,3778389,3690891,3792568,3880656,3979329
"Note: See the included footnote file."
"SASUMMARY: State annual summary statistics: personal income, GDP, consumer spending, price indexes, and employment "
"Last updated: December 12, 2024."
"U.S. Bureau of Economic Analysis"
