GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
 "28000","Mississippi",5,SASUMMARY,1,"..."," Real GDP (millions of chained 2017 dollars) 1/","Millions of chained 2017 dollars",90960.1,93597.7,93957.0,93515.5,94561.5,98762.1,101369.5,103691.8,105879.9,107713.9,109434.0,105360.0,106711.8,106491.1,108646.5,109032.7,109299.6,109401.7,109911.0,110281.4,110174.8,111207.8,110322.8,115675.1,116557.1,119548.4
 "28000","Mississippi",5,SASUMMARY,2,"..."," Real personal income (millions of constant (2017) dollars) 2/","Millions of constant 2017 dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),115507.7,117636.2,116273.3,117393.6,119340.0,119397.5,119933.9,122245.9,122578.6,124576.5,127543.1,130006.9,140616.1,147417.7,136757.5,138867.1
 "28000","Mississippi",5,SASUMMARY,3,"..."," Real PCE (millions of constant (2017) dollars) 3/","Millions of constant 2017 dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),95789.0,97545.5,96665.3,97139.2,97814.4,98336.6,99504.5,102529.1,103634.1,105163.0,107466.8,107430.8,108395.0,115581.8,116419.8,117753.0
 "28000","Mississippi",5,SASUMMARY,4,"..."," Gross domestic product (GDP) ","Millions of current dollars",61332.3,64276.5,66051.5,67750.2,69704.9,74418.4,78680.1,82991.6,87596.7,91876.5,95179.3,92378.0,94788.3,96799.1,100905.4,103042.6,105219.5,106623.9,107795.4,110281.4,113166.4,116135.7,116709.4,129944.7,142762.3,151146.7
 "28000","Mississippi",5,SASUMMARY,5,"..."," Personal income ","Millions of current dollars",56581.1,58494.4,61604.9,65064.1,66326.2,69011.9,73054.9,77635.0,80835.7,86187.0,90602.5,89414.0,92714.4,96643.4,99732.8,101472.1,103442.7,104772.2,106355.5,109132.8,111917.8,116213.5,125579.1,138243.1,138523.5,145961.8
 "28000","Mississippi",5,SASUMMARY,6,"..."," Disposable personal income ","Millions of current dollars",51033.7,52728.7,55659.0,58842.1,60899.8,63740.2,68067.6,71859.7,74075.1,79077.6,82830.2,83298.1,85848.4,89538.2,92226.7,93290.6,95153.1,96008.0,97349.3,100383.5,103471.0,107192.8,116487.6,127567.4,125802.0,134651.1
 "28000","Mississippi",5,SASUMMARY,7,"..."," Personal consumption expenditures ","Millions of current dollars",44223.9,47202.9,50271.5,52641.0,55060.4,57833.1,61397.2,65017.7,69149.4,72680.2,75197.1,74237.4,77186.8,80082.1,81853.3,83679.2,85932.3,88020.8,90111.3,92341.8,94495.0,96211.5,97069.7,108606.6,118043.5,123851.1
 "28000","Mississippi",5,SASUMMARY,8,"..."," Real per capita personal income 4/","Constant 2017 dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),39184,39758,39144,39422,40016,39978,40144,40954,41074,41757,42877,43788,47531,49979,46533,47239
 "28000","Mississippi",5,SASUMMARY,9,"..."," Real per capita PCE 5/","Constant 2017 dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),32495,32968,32543,32620,32798,32926,33306,34349,34726,35249,36128,36184,36640,39186,39613,40056
 "28000","Mississippi",5,SASUMMARY,10,"..."," Per capita personal income 6/","Dollars",20173,20681,21628,22806,23202,24060,25287,26716,27827,29432,30736,30220,31213,32454,33441,33976,34624,35100,35638,36580,37624,39143,42448,46869,47134,49652
 "28000","Mississippi",5,SASUMMARY,11,"..."," Per capita disposable personal income 7/","Dollars",18195,18643,19541,20625,21303,22222,23561,24729,25499,27004,28099,28153,28902,30068,30924,31237,31849,32164,32620,33647,34785,36104,39375,43249,42805,45805
 "28000","Mississippi",5,SASUMMARY,12,"..."," Per capita personal consumption expenditures (PCE) 8/","Dollars",15767,16689,17649,18451,19261,20163,21252,22374,23804,24819,25510,25091,25986,26892,27446,28018,28763,29488,30195,30952,31767,32406,32811,36821,40165,42131
 "28000","Mississippi",5,SASUMMARY,13,"..."," Regional price parities (RPPs) 9/","Index",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),88.038,85.588,88.218,88.833,88.521,88.843,88.920,88.233,88.469,87.808,86.166,86.521,85.580,86.229,87.326,87.292
 "28000","Mississippi",5,SASUMMARY,14,"..."," Implicit regional price deflator 10/","Index",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),78.503,76.105,79.849,82.440,83.682,85.095,86.360,85.850,86.951,87.808,87.929,89.557,89.552,93.965,101.395,105.179
 "28000","Mississippi",5,SASUMMARY,15,"..."," Total employment (number of jobs) ","Number of jobs",1445429,1469707,1476295,1455992,1454782,1452910,1463650,1473724,1508313,1538835,1537448,1492328,1490777,1509966,1519741,1532509,1556854,1568216,1581199,1592198,1602929,1606893,1572607,1624491,1665251,1703755
"Note: See the included footnote file."
"SASUMMARY: State annual summary statistics: personal income, GDP, consumer spending, price indexes, and employment "
"Last updated: December 12, 2024."
"U.S. Bureau of Economic Analysis"
