GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
 "30000","Montana",7,SASUMMARY,1,"..."," Real GDP (millions of chained 2017 dollars) 1/","Millions of chained 2017 dollars",31456.1,31633.4,32513.7,32689.6,33663.8,35249.5,36949.9,38849.0,40055.0,42057.7,42049.3,40938.4,42469.8,43532.2,44329.1,45114.7,46166.7,47765.6,47189.6,48470.5,49455.0,50263.5,49981.4,53303.7,55193.9,57373.3
 "30000","Montana",7,SASUMMARY,2,"..."," Real personal income (millions of constant (2017) dollars) 2/","Millions of constant 2017 dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),41419.1,40981.4,42683.6,43600.1,45954.1,45904.9,46473.6,48308.3,49190.0,51054.6,53527.0,54841.4,60590.4,65647.7,66102.5,67750.3
 "30000","Montana",7,SASUMMARY,3,"..."," Real PCE (millions of constant (2017) dollars) 3/","Millions of constant 2017 dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),37809.2,37375.3,39218.6,39343.7,40246.6,41230.7,41616.4,42544.1,43482.3,44550.7,47042.0,46980.0,47663.1,53612.0,56382.5,57573.7
 "30000","Montana",7,SASUMMARY,4,"..."," Gross domestic product (GDP) ","Millions of current dollars",20414.4,20815.1,21935.4,22798.0,23886.0,25781.1,28138.8,30823.7,33088.0,36116.1,37028.0,35880.0,38080.3,40592.3,42150.2,43584.0,45203.8,46542.4,45859.4,48470.5,51152.1,52715.6,52958.8,60399.7,68702.0,73254.5
 "30000","Montana",7,SASUMMARY,5,"..."," Personal income ","Millions of current dollars",19125.7,19496.9,20770.5,21685.2,22350.3,24015.2,26072.2,28052.0,30362.7,32646.8,34730.5,33926.6,35670.9,38082.7,40436.9,40786.0,42901.4,44583.3,45283.3,48003.3,50352.0,53402.3,58153.0,65254.4,69132.4,73620.0
 "30000","Montana",7,SASUMMARY,6,"..."," Disposable personal income ","Millions of current dollars",16972.2,17238.1,18325.6,19144.0,20104.2,21811.7,23740.4,25281.7,27200.6,29025.1,31061.4,30970.9,32645.7,34492.0,36490.9,36524.1,38238.4,39654.4,40348.9,42890.2,45194.2,47638.8,51909.8,57180.3,59198.9,64682.7
 "30000","Montana",7,SASUMMARY,7,"..."," Personal consumption expenditures ","Millions of current dollars",17017.7,18108.6,19352.0,20345.0,21486.0,22804.2,24453.1,26254.8,28153.0,30156.1,31729.6,30980.6,32820.8,34413.4,35462.0,36679.6,38466.9,39329.3,40114.9,41986.4,44342.6,45832.4,45871.5,53398.1,59027.1,62603.2
 "30000","Montana",7,SASUMMARY,8,"..."," Real per capita personal income 4/","Constant 2017 dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),42420,41648,43077,43679,45708,45185,45340,46701,47043,48257,50187,50993,55730,59336,58869,59807
 "30000","Montana",7,SASUMMARY,9,"..."," Real per capita PCE 5/","Constant 2017 dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),38722,37984,39580,39415,40031,40584,40601,41129,41584,42109,44107,43684,43840,48458,50213,50824
 "30000","Montana",7,SASUMMARY,10,"..."," Per capita personal income 6/","Dollars",21431,21723,22982,23910,24516,26114,28034,29839,31870,33841,35569,34479,36000,38152,40220,40146,41855,43100,43306,45373,47211,49655,53488,58981,61567,64989
 "30000","Montana",7,SASUMMARY,11,"..."," Per capita disposable personal income 7/","Dollars",19018,19207,20277,21108,22052,23718,25527,26892,28551,30087,31812,31475,32947,34555,36295,35951,37306,38335,38587,40540,42374,44296,47746,51683,52721,57099
 "30000","Montana",7,SASUMMARY,12,"..."," Per capita personal consumption expenditures (PCE) 8/","Dollars",19069,20177,21413,22432,23568,24797,26293,27928,29551,31259,32496,31485,33123,34476,35272,36104,37529,38021,38364,39685,41576,42617,42192,48264,52568,55264
 "30000","Montana",7,SASUMMARY,13,"..."," Regional price parities (RPPs) 9/","Index",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),94.113,93.218,92.458,94.251,93.207,92.881,95.172,95.010,93.866,94.244,92.371,94.250,91.973,91.400,90.164,90.244
 "30000","Montana",7,SASUMMARY,14,"..."," Implicit regional price deflator 10/","Index",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),83.920,82.891,83.687,87.469,88.112,88.962,92.432,92.444,92.256,94.244,94.262,97.557,96.241,99.601,104.690,108.736
 "30000","Montana",7,SASUMMARY,15,"..."," Total employment (number of jobs) ","Number of jobs",535785,543115,552690,559924,564636,571208,585505,600567,616917,635629,636195,619453,616391,623221,633197,642072,649048,660573,667793,674409,684043,685589,683384,714924,736656,757299
"Note: See the included footnote file."
"SASUMMARY: State annual summary statistics: personal income, GDP, consumer spending, price indexes, and employment "
"Last updated: December 12, 2024."
"U.S. Bureau of Economic Analysis"
