GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
 "37000","North Carolina",5,SASUMMARY,1,"..."," Real GDP (millions of chained 2017 dollars) 1/","Millions of chained 2017 dollars",351977.9,372030.3,384115.3,387433.9,393685.9,404582.5,420579.4,442305.6,470663.9,477920.8,492688.8,473610.5,482030.4,484200.3,488126.5,497456.6,509782.4,525229.1,536308.5,546810.1,556573.7,567975.0,564504.4,600217.3,619537.2,638067.3
 "37000","North Carolina",5,SASUMMARY,2,"..."," Real personal income (millions of constant (2017) dollars) 2/","Millions of constant 2017 dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),427092.2,419035.5,408988.1,409607.3,428209.4,416375.5,432979.7,456418.1,466543.3,484514.6,499977.6,528474.0,567620.0,590790.3,578335.9,591116.5
 "37000","North Carolina",5,SASUMMARY,3,"..."," Real PCE (millions of constant (2017) dollars) 3/","Millions of constant 2017 dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),330830.3,331678.6,334334.7,337256.0,343565.0,349572.0,359507.8,373938.9,382962.4,397708.6,409322.6,426460.1,427241.2,459148.1,474449.3,487960.5
 "37000","North Carolina",5,SASUMMARY,4,"..."," Gross domestic product (GDP) ","Millions of current dollars",246721.8,264924.3,277556.1,287317.1,297653.0,310200.3,329017.7,354798.5,388012.1,402188.3,420707.2,413096.8,422282.2,430040.1,444063.2,460946.4,482295.7,508672.4,528284.3,546810.1,568037.3,592449.6,600683.3,662147.1,728498.7,788103.2
 "37000","North Carolina",5,SASUMMARY,5,"..."," Personal income ","Millions of current dollars",198232.0,207943.0,221516.2,228090.9,231930.9,241805.1,261603.4,280391.8,304872.7,327886.5,351637.5,339441.5,343104.3,355001.6,377867.2,373140.6,393886.1,414760.4,429054.9,449817.7,473093.3,501618.1,541067.5,602410.1,630558.8,670051.1
 "37000","North Carolina",5,SASUMMARY,6,"..."," Disposable personal income ","Millions of current dollars",171963.1,180585.5,191808.8,197956.1,205562.0,216638.7,235502.7,250047.8,270682.5,289740.6,313853.2,309829.8,312109.5,318906.9,341049.4,332773.0,351332.9,366949.2,378998.7,398999.2,421434.9,445838.5,484071.3,533747.5,547506.4,595900.4
 "37000","North Carolina",5,SASUMMARY,7,"..."," Personal consumption expenditures ","Millions of current dollars",155992.9,168402.8,181525.7,188401.9,193989.9,203546.0,217242.9,233498.5,248355.5,263993.0,272605.7,269018.7,280867.9,292708.3,303579.9,313671.6,327466.8,340378.4,352946.4,370093.0,388109.5,405542.5,408374.9,469120.8,517819.5,553487.4
 "37000","North Carolina",5,SASUMMARY,8,"..."," Real per capita personal income 4/","Constant 2017 dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),45877,44344,42730,42479,44045,42472,43823,45797,46302,47617,48656,50959,54298,55908,54070,54554
 "37000","North Carolina",5,SASUMMARY,9,"..."," Real per capita PCE 5/","Constant 2017 dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),35537,35100,34931,34976,35339,35658,36387,37521,38007,39086,39834,41122,40869,43451,44358,45034
 "37000","North Carolina",5,SASUMMARY,10,"..."," Per capita personal income 6/","Dollars",25385,26158,27410,27782,27856,28709,30586,32209,34189,35960,37772,35921,35847,36816,38867,38062,39866,41617,42582,44207,46040,48369,51758,57008,58953,61839
 "37000","North Carolina",5,SASUMMARY,11,"..."," Per capita disposable personal income 7/","Dollars",22021,22717,23734,24111,24689,25721,27534,28723,30355,31777,33713,32788,32609,33073,35080,33945,35559,36820,37614,39213,41012,42991,46306,50510,51188,54995
 "37000","North Carolina",5,SASUMMARY,12,"..."," Per capita personal consumption expenditures (PCE) 8/","Dollars",19976,21184,22462,22948,23299,24167,25399,26822,27851,28953,29283,28469,29345,30356,31226,31996,33144,34154,35028,36372,37769,39105,39065,44394,48413,51081
 "37000","North Carolina",5,SASUMMARY,13,"..."," Regional price parities (RPPs) 9/","Index",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),92.409,91.214,92.813,93.521,93.471,93.683,93.788,93.552,93.771,93.056,92.916,91.871,91.345,93.760,93.998,94.139
 "37000","North Carolina",5,SASUMMARY,14,"..."," Implicit regional price deflator 10/","Index",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),82.400,81.108,84.008,86.791,88.362,89.730,91.088,91.025,92.162,93.056,94.818,95.095,95.584,102.172,109.141,113.429
 "37000","North Carolina",5,SASUMMARY,15,"..."," Total employment (number of jobs) ","Number of jobs",4708195,4802414,4891957,4855476,4842001,4851941,4961645,5093058,5251529,5430916,5413522,5215727,5178397,5292804,5356134,5436745,5568600,5694917,5825267,5919022,6055657,6148775,6054094,6317582,6568490,6772766
"Note: See the included footnote file."
"SASUMMARY: State annual summary statistics: personal income, GDP, consumer spending, price indexes, and employment "
"Last updated: December 12, 2024."
"U.S. Bureau of Economic Analysis"
