GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
 "31000","Nebraska",4,SASUMMARY,1,"..."," Real GDP (millions of chained 2017 dollars) 1/","Millions of chained 2017 dollars",75750.0,77421.1,80268.2,82268.1,83433.2,88310.7,90607.6,94556.0,97322.8,99780.7,99860.1,99986.4,103940.8,109734.2,109686.3,111382.2,115651.9,119640.8,121303.1,123219.9,125543.4,127568.9,126734.9,134939.9,139440.9,145019.6
 "31000","Nebraska",4,SASUMMARY,2,"..."," Real personal income (millions of constant (2017) dollars) 2/","Millions of constant 2017 dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),90654.1,88747.4,90296.9,99235.9,98938.0,97877.0,102249.2,106813.0,104983.0,106918.7,106946.6,109418.5,115035.6,124791.9,126611.5,129707.2
 "31000","Nebraska",4,SASUMMARY,3,"..."," Real PCE (millions of constant (2017) dollars) 3/","Millions of constant 2017 dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),71428.2,69713.9,70768.9,73351.7,73720.8,74761.4,76648.4,79116.3,81459.9,83695.8,82982.8,83543.6,81693.2,89632.6,94013.9,94794.2
 "31000","Nebraska",4,SASUMMARY,4,"..."," Gross domestic product (GDP) ","Millions of current dollars",51849.9,53714.2,56582.7,59634.3,61569.5,66471.7,70445.4,74886.7,79287.5,84291.9,86146.6,87325.5,91940.7,100526.5,102949.7,107247.0,112763.3,117402.3,119389.8,123219.9,127954.4,132848.2,135149.4,150836.1,167480.2,181285.0
 "31000","Nebraska",4,SASUMMARY,5,"..."," Personal income ","Millions of current dollars",44747.0,46824.4,49570.3,51911.8,52804.3,56102.2,58597.2,60598.1,63317.2,68098.6,72377.3,71459.7,75194.1,84096.1,86235.9,86022.2,91084.5,94681.7,93559.7,95823.7,100067.8,104615.9,111413.2,124781.0,131988.8,141151.0
 "31000","Nebraska",4,SASUMMARY,6,"..."," Disposable personal income ","Millions of current dollars",39377.3,41193.4,43504.3,45845.6,47546.1,51111.1,53402.9,54755.6,56706.2,60707.9,64841.2,65480.0,68668.6,76509.2,77995.0,77154.9,81556.5,84839.7,83667.2,85936.9,90267.0,94045.0,100437.5,111513.3,116130.7,127033.7
 "31000","Nebraska",4,SASUMMARY,7,"..."," Personal consumption expenditures ","Millions of current dollars",33885.1,36147.8,38737.2,40332.1,41528.8,43884.8,46911.4,49719.4,52401.4,54871.6,57074.3,56205.1,59014.4,62248.7,64342.3,65789.7,68366.5,70248.1,72752.0,75186.4,77805.0,80025.6,79338.2,89805.1,98106.8,103226.1
 "31000","Nebraska",4,SASUMMARY,8,"..."," Real per capita personal income 4/","Constant 2017 dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),50465,48959,49338,53822,53224,52247,54103,56086,54640,55273,54975,55971,58594,63531,64333,65562
 "31000","Nebraska",4,SASUMMARY,9,"..."," Real per capita PCE 5/","Constant 2017 dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),39762,38459,38668,39783,39659,39907,40557,41543,42397,43268,42657,42735,41611,45632,47770,47915
 "31000","Nebraska",4,SASUMMARY,10,"..."," Per capita personal income 6/","Dollars",26387,27467,28924,30184,30553,32268,33496,34401,35718,38184,40291,39422,41086,45611,46391,45918,48195,49716,48695,49538,51439,53514,56749,63526,67065,71347
 "31000","Nebraska",4,SASUMMARY,11,"..."," Per capita disposable personal income 7/","Dollars",23220,24164,25384,26657,27510,29397,30527,31085,31989,34040,36096,36123,37521,41496,41958,41185,43154,44548,43546,44427,46401,48107,51158,56771,59008,64211
 "31000","Nebraska",4,SASUMMARY,12,"..."," Per capita personal consumption expenditures (PCE) 8/","Dollars",19982,21204,22603,23451,24029,25241,26816,28226,29560,30767,31772,31007,32246,33762,34613,35118,36174,36886,37865,38869,39995,40935,40411,45720,49850,52177
 "31000","Nebraska",4,SASUMMARY,13,"..."," Regional price parities (RPPs) 9/","Index",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),89.609,90.668,92.130,91.444,92.325,91.876,91.839,91.256,90.869,89.833,91.880,92.542,92.810,91.943,89.874,90.376
 "31000","Nebraska",4,SASUMMARY,14,"..."," Implicit regional price deflator 10/","Index",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),79.904,80.623,83.390,84.863,87.278,88.000,89.195,88.791,89.310,89.833,93.760,95.789,97.117,100.192,104.354,108.895
 "31000","Nebraska",4,SASUMMARY,15,"..."," Total employment (number of jobs) ","Number of jobs",1138369,1156816,1173756,1175112,1165998,1169210,1180188,1192187,1208036,1230968,1237394,1223251,1219855,1232536,1251331,1266360,1282738,1302877,1310927,1317730,1330415,1328396,1305658,1334512,1358642,1398244
"Note: See the included footnote file."
"SASUMMARY: State annual summary statistics: personal income, GDP, consumer spending, price indexes, and employment "
"Last updated: December 12, 2024."
"U.S. Bureau of Economic Analysis"
