GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
 "32000","Nevada",8,SASUMMARY,1,"..."," Real GDP (millions of chained 2017 dollars) 1/","Millions of chained 2017 dollars",102779.4,110091.0,114810.2,116267.3,120180.1,125905.4,139373.0,150680.9,156297.9,157734.3,152745.6,140304.3,142614.2,144341.2,142986.1,144549.3,145303.6,151055.9,156007.4,163199.1,168638.5,176029.7,166077.0,182474.1,190463.3,195405.6
 "32000","Nevada",8,SASUMMARY,2,"..."," Real personal income (millions of constant (2017) dollars) 2/","Millions of constant 2017 dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),113703.5,105980.5,110621.2,110422.8,113327.3,114066.7,120100.1,130620.6,136283.6,139414.1,151489.9,156075.9,167975.3,184388.8,177649.3,181182.9
 "32000","Nevada",8,SASUMMARY,3,"..."," Real PCE (millions of constant (2017) dollars) 3/","Millions of constant 2017 dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),97340.7,91217.2,93690.8,93671.2,95280.7,99276.6,103197.2,108066.9,113583.1,115495.0,124585.9,125363.8,124840.9,140619.8,145707.2,147757.5
 "32000","Nevada",8,SASUMMARY,4,"..."," Gross domestic product (GDP) ","Millions of current dollars",65332.2,71825.3,77181.5,80968.6,85541.0,91365.0,104132.0,117165.1,126613.4,132045.4,130570.9,122471.2,125149.0,128638.4,130238.2,133592.5,136918.4,145786.8,153318.0,163199.1,172547.9,184611.1,176296.3,201705.7,227320.6,245978.8
 "32000","Nevada",8,SASUMMARY,5,"..."," Personal income ","Millions of current dollars",54217.2,58623.6,64312.6,68026.7,69952.7,74518.4,82524.7,92194.1,99485.1,103706.0,102535.9,96982.8,100750.4,104596.4,108696.1,108914.4,115514.1,125088.6,129879.1,138847.0,148408.1,159393.0,170360.8,191329.7,198485.1,211575.4
 "32000","Nevada",8,SASUMMARY,6,"..."," Disposable personal income ","Millions of current dollars",47358.4,51179.2,56006.1,59680.2,62512.0,67133.9,73873.0,81572.3,88142.6,91979.9,92037.7,88841.7,92389.4,95350.0,98769.9,97539.1,103922.8,112064.5,115291.7,124210.4,132913.4,143464.5,153075.5,168523.3,170497.3,187067.4
 "32000","Nevada",8,SASUMMARY,7,"..."," Personal consumption expenditures ","Millions of current dollars",41874.4,46395.2,50853.1,54020.4,57342.3,61582.4,68079.6,74876.1,81040.6,86098.3,87852.2,83578.8,85449.7,88854.0,91509.3,94912.7,99383.8,103663.4,108477.9,115294.6,122302.4,128266.7,126961.8,146206.7,162962.8,172657.6
 "32000","Nevada",8,SASUMMARY,8,"..."," Real per capita personal income 4/","Constant 2017 dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),42848,39476,40941,40739,41361,41179,42744,45719,46904,47169,50302,50857,53910,58599,55910,56723
 "32000","Nevada",8,SASUMMARY,9,"..."," Real per capita PCE 5/","Constant 2017 dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),36682,33977,34675,34558,34775,35839,36728,37825,39091,39076,41368,40849,40067,44689,45857,46258
 "32000","Nevada",8,SASUMMARY,10,"..."," Per capita personal income 6/","Dollars",29256,30301,31858,32418,32180,33136,35173,37907,39437,39870,38640,36125,37288,38589,39671,39319,41112,43783,44700,46977,49278,51937,54676,60805,62467,66238
 "32000","Nevada",8,SASUMMARY,11,"..."," Per capita disposable personal income 7/","Dollars",25555,26453,27743,28441,28757,29853,31486,33539,34940,35362,34684,33092,34193,35178,36048,35212,36986,39224,39679,42025,44133,46747,49128,53557,53659,58565
 "32000","Nevada",8,SASUMMARY,12,"..."," Per capita personal consumption expenditures (PCE) 8/","Dollars",22596,23980,25190,25744,26379,27384,29017,30786,32125,33101,33106,31132,31625,32781,33398,34264,35371,36284,37334,39008,40610,41795,40747,46464,51288,54054
 "32000","Nevada",8,SASUMMARY,13,"..."," Regional price parities (RPPs) 9/","Index",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),101.214,103.042,100.763,102.213,101.595,99.816,99.160,98.588,97.172,99.827,96.198,98.847,97.188,95.413,96.324,96.980
 "32000","Nevada",8,SASUMMARY,14,"..."," Implicit regional price deflator 10/","Index",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),90.252,91.626,91.204,94.857,96.042,95.604,96.305,95.925,95.505,99.827,98.167,102.316,101.699,103.973,111.843,116.852
 "32000","Nevada",8,SASUMMARY,15,"..."," Total employment (number of jobs) ","Number of jobs",1131237,1189071,1254358,1285310,1299544,1353124,1441158,1533726,1604488,1643873,1619016,1512925,1478082,1501861,1519210,1561287,1608537,1664654,1724751,1780614,1848890,1884199,1770765,1912664,2042787,2122456
"Note: See the included footnote file."
"SASUMMARY: State annual summary statistics: personal income, GDP, consumer spending, price indexes, and employment "
"Last updated: December 12, 2024."
"U.S. Bureau of Economic Analysis"
