GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
 "36000","New York",2,SASUMMARY,1,"..."," Real GDP (millions of chained 2017 dollars) 1/","Millions of chained 2017 dollars",1112323.6,1172149.8,1217036.4,1240755.2,1228580.8,1236563.1,1269433.1,1301438.0,1339568.5,1353798.9,1328095.7,1379504.6,1431624.0,1440346.8,1496280.1,1501818.0,1535375.9,1565835.2,1590567.8,1624800.7,1665186.8,1704364.3,1656784.8,1736222.3,1765102.1,1791210.7
 "36000","New York",2,SASUMMARY,2,"..."," Real personal income (millions of constant (2017) dollars) 2/","Millions of constant 2017 dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),926923.5,917581.6,947703.2,967685.2,1003696.1,1001472.7,1031400.4,1067425.9,1089331.4,1144857.9,1163672.3,1188761.1,1231631.4,1266377.9,1221957.2,1243245.6
 "36000","New York",2,SASUMMARY,3,"..."," Real PCE (millions of constant (2017) dollars) 3/","Millions of constant 2017 dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),693019.8,693323.5,715428.9,723455.9,739887.6,756221.2,788913.9,804830.7,819000.7,841269.1,866638.2,888382.0,835578.1,892573.5,932435.7,962482.2
 "36000","New York",2,SASUMMARY,4,"..."," Gross domestic product (GDP) ","Millions of current dollars",744958.9,794009.5,839853.0,876285.2,885386.2,908535.2,958565.3,1009851.0,1072271.8,1116265.3,1107860.2,1155492.3,1217748.0,1245769.4,1324471.3,1364632.9,1434606.3,1498474.7,1556830.0,1624800.7,1710665.6,1787470.9,1773369.8,1923413.3,2052758.8,2172009.6
 "36000","New York",2,SASUMMARY,5,"..."," Personal income ","Millions of current dollars",600087.2,635242.7,683214.3,709417.6,707561.1,717555.3,749469.3,777653.2,836022.6,899609.9,920456.5,906188.3,943392.7,995231.4,1039791.6,1051798.1,1090000.8,1137082.3,1176654.7,1255776.7,1298669.0,1343851.2,1415297.4,1509255.2,1524707.0,1611169.3
 "36000","New York",2,SASUMMARY,6,"..."," Disposable personal income ","Millions of current dollars",504091.1,530616.2,568728.6,583896.3,606733.9,621295.4,645364.0,659555.4,699026.8,742709.5,762279.4,785048.3,812982.9,845519.6,887922.1,878323.9,905575.3,938250.0,982658.7,1048815.7,1084639.6,1124785.1,1202102.6,1253736.8,1220340.3,1339351.1
 "36000","New York",2,SASUMMARY,7,"..."," Personal consumption expenditures ","Millions of current dollars",404980.9,433573.4,466230.0,485087.9,502975.5,530354.9,562684.8,599438.4,633093.2,665303.1,688749.3,685583.9,713167.9,745100.2,767522.1,795231.1,834805.0,858787.2,886553.6,924936.8,969165.4,1006154.7,962822.3,1065899.5,1164641.8,1248145.3
 "36000","New York",2,SASUMMARY,8,"..."," Real per capita personal income 4/","Constant 2017 dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),48246,47526,48800,49369,50801,50345,51565,53135,54059,56703,57543,58785,61261,63783,62113,63524
 "36000","New York",2,SASUMMARY,9,"..."," Real per capita PCE 5/","Constant 2017 dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),36071,35910,36840,36909,37448,38016,39442,40064,40644,41667,42855,43931,41561,44956,47396,49178
 "36000","New York",2,SASUMMARY,10,"..."," Per capita personal income 6/","Dollars",31995,33641,35955,37176,36972,37420,39093,40645,43760,47020,47909,46936,48579,50775,52628,52875,54495,56603,58392,62196,64218,66454,70396,76016,77502,82323
 "36000","New York",2,SASUMMARY,11,"..."," Per capita disposable personal income 7/","Dollars",26876,28101,29930,30598,31703,32400,33663,34473,36589,38820,39676,40661,41863,43137,44941,44154,45274,46705,48765,51946,53635,55621,59792,63146,62031,68435
 "36000","New York",2,SASUMMARY,12,"..."," Per capita personal consumption expenditures (PCE) 8/","Dollars",21592,22961,24536,25420,26282,27657,29350,31331,33138,34774,35849,35509,36723,38014,38847,39977,41736,42749,43996,45811,47925,49755,47890,53685,59199,63775
 "36000","New York",2,SASUMMARY,13,"..."," Regional price parities (RPPs) 9/","Index",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),111.455,111.204,110.132,110.978,109.733,109.791,108.954,109.666,110.138,109.945,109.587,109.418,110.118,109.587,107.573,107.626
 "36000","New York",2,SASUMMARY,14,"..."," Implicit regional price deflator 10/","Index",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),99.384,98.884,99.684,102.992,103.735,105.159,105.817,106.704,108.248,109.945,111.830,113.257,115.228,119.419,124.903,129.680
 "36000","New York",2,SASUMMARY,15,"..."," Total employment (number of jobs) ","Number of jobs",9901394,10164527,10424526,10438676,10348481,10377941,10513473,10654659,10810338,11083019,11197859,10984512,11005904,11294271,11433058,11619011,11865761,12099197,12259166,12391361,12655123,12745397,11871078,12226672,12780826,13172935
"Note: See the included footnote file."
"SASUMMARY: State annual summary statistics: personal income, GDP, consumer spending, price indexes, and employment "
"Last updated: December 12, 2024."
"U.S. Bureau of Economic Analysis"
