GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
 "39000","Ohio",3,SASUMMARY,1,"..."," Real GDP (millions of chained 2017 dollars) 1/","Millions of chained 2017 dollars",518604.0,530745.6,541005.9,534612.4,546688.2,557024.5,572308.5,584867.7,582637.6,585403.0,580389.0,550982.4,563816.3,580251.4,586540.9,603057.4,624973.4,633274.8,638157.5,652187.5,656212.0,674063.9,655243.3,690478.9,695257.9,709816.6
 "39000","Ohio",3,SASUMMARY,2,"..."," Real personal income (millions of constant (2017) dollars) 2/","Millions of constant 2017 dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),511871.9,494090.1,501427.8,526365.4,530730.5,530301.7,545561.0,570520.6,575566.1,590137.4,594381.6,604184.8,649860.6,672734.7,646886.2,655601.6
 "39000","Ohio",3,SASUMMARY,3,"..."," Real PCE (millions of constant (2017) dollars) 3/","Millions of constant 2017 dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),422989.9,413074.6,421357.5,431556.4,434064.8,441416.4,450280.2,466802.4,474588.3,487233.7,488447.8,493392.3,487687.8,519894.9,532518.8,538903.7
 "39000","Ohio",3,SASUMMARY,4,"..."," Gross domestic product (GDP) ","Millions of current dollars",361479.3,375797.2,391032.3,395864.2,411191.1,425530.7,447813.3,470179.5,482904.0,497600.1,500916.4,484407.1,500274.2,525456.4,543035.4,566419.9,597152.3,615275.5,627294.7,652187.5,672540.1,702914.8,692683.7,763595.8,832660.7,884834.2
 "39000","Ohio",3,SASUMMARY,5,"..."," Personal income ","Millions of current dollars",298491.4,307407.0,323812.5,333209.3,338462.5,348428.7,361753.0,371633.8,390090.0,406786.5,422085.7,410350.4,422204.4,449923.8,466162.1,473218.8,492475.6,511339.8,521622.5,541289.4,562523.0,582299.9,623443.8,674620.8,686658.4,724778.8
 "39000","Ohio",3,SASUMMARY,6,"..."," Disposable personal income ","Millions of current dollars",257448.3,265366.2,278933.3,287987.7,297867.6,310060.4,322505.1,329124.8,344213.7,357827.2,373451.4,372169.5,381366.5,402255.0,417110.6,420652.7,438364.6,453852.0,463262.7,482233.5,504008.7,520795.7,561861.1,603567.0,600653.0,647225.0
 "39000","Ohio",3,SASUMMARY,7,"..."," Personal consumption expenditures ","Millions of current dollars",230506.0,244074.9,260381.2,270966.5,280073.8,292806.3,305549.4,319761.2,330574.5,343184.5,349080.4,343501.1,355279.6,369404.2,381767.1,394401.6,406986.6,419081.2,431032.4,447950.5,463218.0,476406.6,469149.3,522401.4,565836.4,596162.7
 "39000","Ohio",3,SASUMMARY,8,"..."," Real per capita personal income 4/","Constant 2017 dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),44451,42857,43444,45541,45859,45670,46836,48871,49186,50277,50530,51252,55081,57180,55009,55626
 "39000","Ohio",3,SASUMMARY,9,"..."," Real per capita PCE 5/","Constant 2017 dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),36733,35829,36507,37338,37507,38015,38656,39986,40557,41510,41525,41854,41335,44189,45283,45724
 "39000","Ohio",3,SASUMMARY,10,"..."," Per capita personal income 6/","Dollars",26388,27119,28496,29261,29669,30471,31588,32419,33976,35371,36654,35593,36580,38928,40280,40754,42278,43801,44576,46116,47822,49395,52842,57340,58391,61495
 "39000","Ohio",3,SASUMMARY,11,"..."," Per capita disposable personal income 7/","Dollars",22760,23410,24546,25290,26111,27116,28161,28711,29981,31114,32431,32281,33042,34803,36042,36227,37633,38877,39589,41084,42848,44178,47622,51301,51077,54915
 "39000","Ohio",3,SASUMMARY,12,"..."," Per capita personal consumption expenditures (PCE) 8/","Dollars",20378,21532,22914,23795,24551,25607,26680,27894,28793,29841,30314,29795,30782,31961,32988,33966,34939,35898,36834,38164,39380,40413,39764,44402,48117,50583
 "39000","Ohio",3,SASUMMARY,13,"..."," Regional price parities (RPPs) 9/","Index",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),92.550,93.518,93.155,92.236,93.037,93.285,93.064,92.269,92.408,91.938,92.932,93.284,91.932,92.209,91.513,91.812
 "39000","Ohio",3,SASUMMARY,14,"..."," Implicit regional price deflator 10/","Index",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),82.527,83.157,84.318,85.598,87.952,89.349,90.385,89.777,90.822,91.938,94.835,96.557,96.199,100.482,106.257,110.625
 "39000","Ohio",3,SASUMMARY,15,"..."," Total employment (number of jobs) ","Number of jobs",6599132,6681355,6789300,6725753,6640234,6620832,6666590,6709205,6747288,6794947,6725207,6454988,6418141,6521630,6605925,6681685,6771706,6862150,6931328,6987847,7067380,7071408,6852799,7048045,7219914,7396029
"Note: See the included footnote file."
"SASUMMARY: State annual summary statistics: personal income, GDP, consumer spending, price indexes, and employment "
"Last updated: December 12, 2024."
"U.S. Bureau of Economic Analysis"
