GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
 "40000","Oklahoma",6,SASUMMARY,1,"..."," Real GDP (millions of chained 2017 dollars) 1/","Millions of chained 2017 dollars",114928.1,116968.4,121170.2,125695.7,127930.2,130147.8,134606.6,140360.1,149367.1,152879.6,158987.8,156856.8,158086.4,163859.3,172016.0,176086.8,186574.4,193792.6,190093.5,192538.6,196030.5,200072.2,191560.9,194132.8,193940.5,207923.3
 "40000","Oklahoma",6,SASUMMARY,2,"..."," Real personal income (millions of constant (2017) dollars) 2/","Millions of constant 2017 dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),180162.8,169675.1,170857.7,178480.4,185729.8,191780.8,199539.5,194705.2,183585.8,189624.2,198041.5,205867.1,212054.7,222512.3,226514.9,230879.7
 "40000","Oklahoma",6,SASUMMARY,3,"..."," Real PCE (millions of constant (2017) dollars) 3/","Millions of constant 2017 dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),127891.6,127721.1,128287.8,131021.3,132340.8,134241.0,137162.3,139549.4,140567.1,143268.7,148652.3,149960.0,147180.9,159052.4,165110.9,169192.3
 "40000","Oklahoma",6,SASUMMARY,4,"..."," Gross domestic product (GDP) ","Millions of current dollars",81778.6,84785.6,91645.7,97505.3,99916.9,106175.1,114237.5,125961.4,138352.3,146582.4,161609.0,147332.4,155267.5,167207.9,175361.2,184104.6,197074.1,187364.7,182238.8,192538.6,204193.9,205992.7,192516.2,217786.5,245976.2,256689.4
 "40000","Oklahoma",6,SASUMMARY,5,"..."," Personal income ","Millions of current dollars",74943.6,76956.5,83332.1,88609.5,90711.6,95275.7,102917.3,112487.6,124536.5,128994.3,143654.9,133218.3,139695.1,150302.0,159875.4,167796.9,177635.7,172726.3,164709.0,171995.4,180824.0,189996.8,198348.6,217544.9,233290.2,245439.2
 "40000","Oklahoma",6,SASUMMARY,6,"..."," Disposable personal income ","Millions of current dollars",65999.2,67680.0,73314.1,78012.9,81642.4,86612.6,93856.1,101725.7,111958.3,115348.4,129035.7,122613.0,128617.5,136557.4,145407.0,152150.6,161105.4,156076.6,149062.1,155923.7,164969.7,173402.1,182672.8,198967.7,210699.4,224847.0
 "40000","Oklahoma",6,SASUMMARY,7,"..."," Personal consumption expenditures ","Millions of current dollars",59559.4,63186.5,67413.9,70504.1,72558.4,76432.6,80535.4,86541.3,92246.7,97558.5,102059.5,100406.0,105035.7,110491.4,114070.9,117602.1,122262.2,124004.0,126384.5,130253.9,136007.7,138657.4,138046.4,155814.5,170223.2,179981.1
 "40000","Oklahoma",6,SASUMMARY,8,"..."," Real per capita personal income 4/","Constant 2017 dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),49104,45641,45446,47134,48680,49838,51540,49911,46871,48368,50412,52200,53478,55745,56357,56954
 "40000","Oklahoma",6,SASUMMARY,9,"..."," Real per capita PCE 5/","Constant 2017 dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),34858,34356,34123,34601,34686,34885,35428,35772,35888,36544,37840,38024,37118,39846,41080,41736
 "40000","Oklahoma",6,SASUMMARY,10,"..."," Per capita personal income 6/","Dollars",22009,22390,24124,25557,25999,27184,29194,31699,34650,35493,39154,35835,37157,39693,41903,43605,45882,44277,42052,43871,46029,48176,50022,54500,58043,60545
 "40000","Oklahoma",6,SASUMMARY,11,"..."," Per capita disposable personal income 7/","Dollars",19382,19691,21224,22501,23399,24712,26624,28666,31151,31738,35169,32982,34211,36063,38111,39539,41612,40009,38057,39772,41993,43968,46069,49846,52422,55465
 "40000","Oklahoma",6,SASUMMARY,12,"..."," Per capita personal consumption expenditures (PCE) 8/","Dollars",17491,18383,19516,20335,20796,21807,22845,24387,25666,26843,27817,27008,27938,29179,29898,30561,31579,31787,32267,33224,34621,35158,34814,39035,42352,44398
 "40000","Oklahoma",6,SASUMMARY,13,"..."," Regional price parities (RPPs) 9/","Index",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),89.494,88.408,90.456,90.870,91.179,91.465,91.779,91.327,91.480,90.916,89.659,89.329,89.634,89.899,88.791,88.286
 "40000","Oklahoma",6,SASUMMARY,14,"..."," Implicit regional price deflator 10/","Index",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),79.802,78.613,81.875,84.331,86.195,87.605,89.137,88.860,89.910,90.916,91.494,92.463,93.794,97.964,103.096,106.377
 "40000","Oklahoma",6,SASUMMARY,15,"..."," Total employment (number of jobs) ","Number of jobs",1938705,1953349,1994373,2009183,1987636,1971410,1998176,2043188,2096099,2150026,2186721,2136754,2130312,2159073,2211969,2249096,2273648,2287838,2287131,2291944,2312261,2309379,2265288,2311442,2382391,2455127
"Note: See the included footnote file."
"SASUMMARY: State annual summary statistics: personal income, GDP, consumer spending, price indexes, and employment "
"Last updated: December 12, 2024."
"U.S. Bureau of Economic Analysis"
