GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
 "41000","Oregon",8,SASUMMARY,1,"..."," Real GDP (millions of chained 2017 dollars) 1/","Millions of chained 2017 dollars",130425.1,133761.7,145094.2,144486.5,147432.8,154445.3,163046.1,168734.4,177222.4,180724.3,184842.6,176951.6,180738.2,185959.4,187352.4,189609.7,195808.2,205581.8,214769.3,225534.5,234308.3,239794.8,237424.2,250325.8,256062.7,261951.5
 "41000","Oregon",8,SASUMMARY,2,"..."," Real personal income (millions of constant (2017) dollars) 2/","Millions of constant 2017 dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),159186.3,150977.7,153692.1,157192.8,159863.3,161641.9,170717.9,180643.1,190532.8,194828.9,196985.6,205137.8,222917.2,236590.9,219807.2,227750.0
 "41000","Oregon",8,SASUMMARY,3,"..."," Real PCE (millions of constant (2017) dollars) 3/","Millions of constant 2017 dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),137654.3,132290.1,135445.9,136572.3,135654.7,139296.9,145052.4,150481.7,158301.9,162206.1,162923.9,168066.8,165909.6,180657.1,179879.4,185908.5
 "41000","Oregon",8,SASUMMARY,4,"..."," Gross domestic product (GDP) ","Millions of current dollars",105016.4,107513.2,117057.2,117002.4,120556.1,126822.1,136495.9,143556.3,153779.6,159676.2,164122.9,159330.4,163150.5,169693.8,173856.8,178975.4,187837.6,200592.6,211782.4,225534.5,238466.9,248781.8,251577.7,275653.1,298848.0,318884.1
 "41000","Oregon",8,SASUMMARY,5,"..."," Personal income ","Millions of current dollars",86877.8,89931.4,96913.7,99785.7,101042.1,104729.6,110580.7,116073.4,126600.1,132605.6,138899.9,134391.8,137926.3,145345.1,152601.5,154851.2,165171.9,177478.1,186105.0,197262.3,210044.9,220029.4,240173.7,265378.9,271773.2,287182.5
 "41000","Oregon",8,SASUMMARY,6,"..."," Disposable personal income ","Millions of current dollars",74781.4,76905.8,82521.9,86108.6,88982.4,92952.6,98182.0,101500.0,110396.1,116305.4,121676.0,121052.1,123769.5,128751.5,135425.0,135385.1,144305.1,153843.6,160837.6,171112.2,183113.0,191186.0,211244.1,230832.7,229333.5,248212.9
 "41000","Oregon",8,SASUMMARY,7,"..."," Personal consumption expenditures ","Millions of current dollars",70845.4,75719.2,80982.4,83983.4,87318.4,91577.9,98004.1,104708.7,111706.8,117601.9,120210.4,117906.7,121721.3,126457.0,129665.9,133614.5,140520.0,148092.8,154955.2,164616.9,174082.3,180603.2,179244.4,203046.8,222632.9,234577.7
 "41000","Oregon",8,SASUMMARY,8,"..."," Real per capita personal income 4/","Constant 2017 dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),42239,39641,40049,40590,40990,41192,43052,44953,46549,46979,47087,48657,52512,55584,51849,53799
 "41000","Oregon",8,SASUMMARY,9,"..."," Real per capita PCE 5/","Constant 2017 dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),36525,34735,35294,35266,34783,35498,36580,37448,38675,39112,38945,39864,39083,42443,42431,43915
 "41000","Oregon",8,SASUMMARY,10,"..."," Per capita personal income 6/","Dollars",25915,26498,28257,28774,28759,29523,30980,32125,34488,35624,36856,35286,35941,37531,39128,39462,41653,44166,45467,47565,50209,52189,56577,62347,64107,67838
 "41000","Oregon",8,SASUMMARY,11,"..."," Per capita disposable personal income 7/","Dollars",22307,22660,24061,24830,25326,26203,27506,28091,30073,31245,32286,31784,32252,33246,34724,34501,36391,38284,39294,41260,43771,45348,49763,54231,54096,58633
 "41000","Oregon",8,SASUMMARY,12,"..."," Per capita personal consumption expenditures (PCE) 8/","Dollars",21132,22310,23612,24217,24853,25816,27456,28979,30430,31593,31897,30958,31718,32654,33247,34050,35437,36853,37857,39694,41613,42838,42224,47703,52515,55412
 "41000","Oregon",8,SASUMMARY,13,"..."," Regional price parities (RPPs) 9/","Index",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),97.934,100.232,99.286,99.774,101.112,100.146,99.747,101.144,99.595,101.486,104.706,103.816,103.246,103.140,106.595,104.721
 "41000","Oregon",8,SASUMMARY,14,"..."," Implicit regional price deflator 10/","Index",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),87.328,89.127,89.867,92.593,95.585,95.921,96.875,98.412,97.886,101.486,106.849,107.459,108.037,112.394,123.768,126.179
 "41000","Oregon",8,SASUMMARY,15,"..."," Total employment (number of jobs) ","Number of jobs",2021755,2051144,2092153,2079058,2062116,2076549,2132996,2196901,2256440,2307311,2288774,2189199,2174333,2201553,2219981,2260337,2323439,2391179,2450390,2515986,2570069,2579015,2492991,2558977,2620141,2692813
"Note: See the included footnote file."
"SASUMMARY: State annual summary statistics: personal income, GDP, consumer spending, price indexes, and employment "
"Last updated: December 12, 2024."
"U.S. Bureau of Economic Analysis"
