GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
 "44000","Rhode Island",1,SASUMMARY,1,"..."," Real GDP (millions of chained 2017 dollars) 1/","Millions of chained 2017 dollars",45381.3,46831.2,49113.6,49705.2,51284.3,52933.1,55160.5,55885.9,57415.8,56230.5,54977.1,54481.5,56050.6,56026.6,56487.4,57037.2,57602.7,58387.9,58630.0,58771.6,58740.1,60157.6,58231.7,60803.0,62279.4,63277.0
 "44000","Rhode Island",1,SASUMMARY,2,"..."," Real personal income (millions of constant (2017) dollars) 2/","Millions of constant 2017 dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),47301.5,46171.9,48728.4,49727.9,51074.4,49609.5,51370.6,52166.5,52637.7,53507.5,54755.1,57027.8,61177.9,62126.4,58179.7,60638.1
 "44000","Rhode Island",1,SASUMMARY,3,"..."," Real PCE (millions of constant (2017) dollars) 3/","Millions of constant 2017 dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),39227.8,38762.6,39596.5,40052.5,40287.8,40409.0,41890.9,42303.1,43110.2,43452.9,44646.7,45151.6,44511.9,48213.3,47500.0,50197.9
 "44000","Rhode Island",1,SASUMMARY,4,"..."," Gross domestic product (GDP) ","Millions of current dollars",30835.3,32340.0,34608.5,35940.1,37891.2,39787.1,42578.2,44413.3,47165.3,47490.1,47138.9,47647.2,49409.1,50123.7,51527.5,52994.2,54612.5,56604.0,57714.6,58771.6,60064.9,62814.7,62124.9,67228.3,72869.2,77573.9
 "44000","Rhode Island",1,SASUMMARY,5,"..."," Personal income ","Millions of current dollars",28349.7,29581.1,31875.3,33611.8,34965.7,36700.2,38541.5,39241.3,41162.0,42935.2,43768.6,42764.9,44973.9,46685.4,48186.5,48187.0,50045.1,51775.2,52514.5,54704.3,56918.9,60337.0,64969.7,69014.4,70450.4,74045.8
 "44000","Rhode Island",1,SASUMMARY,6,"..."," Disposable personal income ","Millions of current dollars",24664.8,25716.9,27508.9,29068.5,30977.1,32823.5,34517.0,34893.2,36437.3,37835.1,38729.9,38833.9,40774.9,41727.4,43278.1,42748.9,44303.0,45712.1,46269.3,48355.1,50625.9,53541.5,58040.6,60880.9,60728.8,65560.3
 "44000","Rhode Island",1,SASUMMARY,7,"..."," Personal consumption expenditures ","Millions of current dollars",21942.1,23381.7,25334.1,26628.0,28057.2,29977.2,31565.7,33218.0,34571.9,35785.7,36327.7,35947.9,36596.5,37655.0,38060.7,39300.2,40862.3,42056.1,43101.6,44528.9,46506.6,47860.6,47400.7,53666.5,57576.9,61337.8
 "44000","Rhode Island",1,SASUMMARY,8,"..."," Real per capita personal income 4/","Constant 2017 dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),44835,43821,46190,46973,48020,46444,47874,48421,48637,49320,50153,52103,55797,56628,53188,55329
 "44000","Rhode Island",1,SASUMMARY,9,"..."," Real per capita PCE 5/","Constant 2017 dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),37183,36789,37534,37834,37879,37830,39039,39266,39834,40052,40895,41252,40597,43946,43425,45803
 "44000","Rhode Island",1,SASUMMARY,10,"..."," Per capita personal income 6/","Dollars",27493,28432,30350,31795,32801,34256,35867,36746,38719,40608,41487,40588,42631,44099,45305,45112,46639,48058,48523,50423,52135,55126,59255,62907,64406,67562
 "44000","Rhode Island",1,SASUMMARY,11,"..."," Per capita disposable personal income 7/","Dollars",23920,24718,26192,27497,29059,30638,32121,32674,34275,35784,36711,36857,38651,39416,40690,40021,41287,42430,42753,44570,46371,48918,52935,55493,55519,59820
 "44000","Rhode Island",1,SASUMMARY,12,"..."," Per capita personal consumption expenditures (PCE) 8/","Dollars",21279,22474,24122,25189,26320,27981,29375,31105,32520,33846,34434,34118,34690,35569,35785,36792,38081,39037,39826,41044,42598,43727,43231,48917,52637,55967
 "44000","Rhode Island",1,SASUMMARY,13,"..."," Regional price parities (RPPs) 9/","Index",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),103.855,104.293,102.110,101.304,99.934,101.540,100.436,102.176,101.725,102.476,102.076,102.407,101.767,102.146,104.396,101.412
 "44000","Rhode Island",1,SASUMMARY,14,"..."," Implicit regional price deflator 10/","Index",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),92.607,92.739,92.424,94.014,94.472,97.256,97.545,99.416,99.980,102.476,104.166,106.000,106.490,111.311,121.215,122.192
 "44000","Rhode Island",1,SASUMMARY,15,"..."," Total employment (number of jobs) ","Number of jobs",554761,566528,582589,585235,588125,594099,602389,605726,611113,617961,608884,588270,586329,591668,592954,602374,613103,626983,633419,638851,648727,650999,615667,640210,665432,681452
"Note: See the included footnote file."
"SASUMMARY: State annual summary statistics: personal income, GDP, consumer spending, price indexes, and employment "
"Last updated: December 12, 2024."
"U.S. Bureau of Economic Analysis"
