GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
 "47000","Tennessee",5,SASUMMARY,1,"..."," Real GDP (millions of chained 2017 dollars) 1/","Millions of chained 2017 dollars",240963.4,248457.5,251030.2,250311.4,258542.4,267589.4,281564.2,289064.3,295668.2,294819.8,298526.9,287308.8,292687.0,301508.9,311754.2,318347.9,323879.6,335461.1,343544.9,355417.5,362363.7,370197.4,367863.6,400243.6,414470.8,422087.7
 "47000","Tennessee",5,SASUMMARY,2,"..."," Real personal income (millions of constant (2017) dollars) 2/","Millions of constant 2017 dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),267391.7,270265.1,272917.9,280614.2,286578.0,286206.9,293297.5,307763.2,311535.3,322332.7,346277.2,355957.2,381063.3,406460.9,391980.6,398094.7
 "47000","Tennessee",5,SASUMMARY,3,"..."," Real PCE (millions of constant (2017) dollars) 3/","Millions of constant 2017 dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),222138.7,222434.0,223274.8,226222.5,227280.7,229991.0,236514.2,243409.8,248302.0,257850.1,273540.4,276409.3,276499.3,302566.8,309219.7,315346.2
 "47000","Tennessee",5,SASUMMARY,4,"..."," Gross domestic product (GDP) ","Millions of current dollars",167783.0,176467.2,182209.7,185917.2,195386.1,204665.9,219862.4,231339.0,243104.4,248261.6,255546.7,252940.7,258657.6,270055.0,285897.5,296756.3,307448.5,326382.5,339350.2,355417.5,369713.2,385833.0,391563.2,441952.5,488670.1,523031.6
 "47000","Tennessee",5,SASUMMARY,5,"..."," Personal income ","Millions of current dollars",139760.3,145231.9,153990.1,158125.3,162879.4,169929.5,179892.9,188177.6,200188.9,209746.8,218372.5,217094.7,227613.0,241431.7,252592.3,254464.6,263856.0,277356.1,286532.3,299307.7,316176.5,335601.7,359872.9,400467.6,417369.3,443472.0
 "47000","Tennessee",5,SASUMMARY,6,"..."," Disposable personal income ","Millions of current dollars",125503.4,130429.3,138596.1,142199.1,149226.9,156883.6,166576.5,173077.8,182645.9,190829.2,200053.4,203315.5,212656.9,223730.9,234138.8,234048.4,241982.8,253158.6,260756.7,273678.9,290812.0,308684.9,331793.2,365048.7,374092.3,405764.7
 "47000","Tennessee",5,SASUMMARY,7,"..."," Personal consumption expenditures ","Millions of current dollars",110838.2,118130.0,126062.1,129837.3,134468.3,140450.8,149040.8,158759.9,168002.1,177300.9,181564.3,178900.4,186470.4,194909.6,200595.3,204743.2,213045.3,219728.3,228864.4,239992.1,250276.2,261088.3,261841.4,298705.2,329584.0,351524.5
 "47000","Tennessee",5,SASUMMARY,8,"..."," Real per capita personal income 4/","Constant 2017 dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),42800,42858,42936,43816,44341,43980,44719,46540,46690,47828,50874,51871,55019,58368,55608,55861
 "47000","Tennessee",5,SASUMMARY,9,"..."," Real per capita PCE 5/","Constant 2017 dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),35557,35273,35126,35323,35166,35342,36061,36808,37214,38260,40188,40279,39921,43449,43867,44250
 "47000","Tennessee",5,SASUMMARY,10,"..."," Per capita personal income 6/","Dollars",25091,25756,26998,27496,28102,29059,30435,31410,32878,33963,34954,34427,35809,37698,39082,39102,40230,41942,42943,44411,46452,48905,51959,57508,59210,62229
 "47000","Tennessee",5,SASUMMARY,11,"..."," Per capita disposable personal income 7/","Dollars",22532,23131,24299,24727,25747,26828,28182,28889,29997,30900,32022,32241,33456,34934,36227,35965,36895,38283,39080,40609,42725,44982,47905,52422,53070,56938
 "47000","Tennessee",5,SASUMMARY,12,"..."," Per capita personal consumption expenditures (PCE) 8/","Dollars",19899,20950,22102,22577,23201,24018,25215,26499,27592,28709,29062,28370,29336,30434,31037,31462,32483,33227,34300,35610,36770,38046,37805,42895,46756,49326
 "47000","Tennessee",5,SASUMMARY,13,"..."," Regional price parities (RPPs) 9/","Index",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),91.662,90.449,92.269,92.839,93.362,92.944,92.747,92.777,93.781,93.074,89.660,91.255,90.499,90.595,91.797,92.515
 "47000","Tennessee",5,SASUMMARY,14,"..."," Implicit regional price deflator 10/","Index",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),81.735,80.429,83.516,86.158,88.259,89.022,90.077,90.271,92.172,93.074,91.495,94.457,94.699,98.724,106.586,111.473
 "47000","Tennessee",5,SASUMMARY,15,"..."," Total employment (number of jobs) ","Number of jobs",3339584,3397301,3459310,3421028,3408736,3433444,3507915,3572054,3643561,3702458,3677116,3523871,3515815,3589026,3635172,3689682,3772755,3859498,3951859,4033011,4120203,4168023,4119507,4298499,4480005,4613274
"Note: See the included footnote file."
"SASUMMARY: State annual summary statistics: personal income, GDP, consumer spending, price indexes, and employment "
"Last updated: December 12, 2024."
"U.S. Bureau of Economic Analysis"
