GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
 "55000","Wisconsin",3,SASUMMARY,1,"..."," Real GDP (millions of chained 2017 dollars) 1/","Millions of chained 2017 dollars",232087.1,242026.0,248572.0,252941.8,257966.9,265745.8,275412.4,282065.7,287146.6,289855.2,286204.7,277279.4,287652.9,293664.0,299007.6,301550.5,309425.8,315687.8,319272.3,321886.8,328832.4,333256.8,322470.6,334514.0,339747.9,344570.8
 "55000","Wisconsin",3,SASUMMARY,2,"..."," Real personal income (millions of constant (2017) dollars) 2/","Millions of constant 2017 dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),263753.5,258383.6,259228.3,269994.4,274484.7,273572.1,280358.3,293608.2,296208.4,302158.3,309369.2,315503.8,338035.3,350422.2,340655.3,342612.8
 "55000","Wisconsin",3,SASUMMARY,3,"..."," Real PCE (millions of constant (2017) dollars) 3/","Millions of constant 2017 dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),216733.5,213008.4,215229.0,220156.5,218771.8,222283.7,227091.2,233762.9,238358.4,243678.9,247075.3,249579.6,246261.9,264260.0,274093.1,277136.9
 "55000","Wisconsin",3,SASUMMARY,4,"..."," Gross domestic product (GDP) ","Millions of current dollars",163021.5,172928.5,180883.1,188662.8,195541.5,203814.0,216370.4,226937.5,237571.9,245837.7,246493.0,246323.8,256159.5,265444.0,276253.4,283791.4,296169.9,308304.5,315420.0,321886.8,335144.3,346906.6,343272.2,368880.4,400621.4,428447.1
 "55000","Wisconsin",3,SASUMMARY,5,"..."," Personal income ","Millions of current dollars",143130.0,148737.0,158494.2,166593.2,171010.0,175794.3,183721.4,189779.2,201058.4,210529.9,219194.5,216211.9,222260.9,234631.6,244508.3,245762.3,255165.3,266132.0,270846.6,281979.5,295996.8,307947.5,326881.1,355535.5,365165.5,384068.2
 "55000","Wisconsin",3,SASUMMARY,6,"..."," Disposable personal income ","Millions of current dollars",122956.4,127885.1,136613.4,144424.5,151497.8,157031.4,164664.0,168712.5,177637.8,185752.5,193376.8,195506.2,200847.9,209758.0,218843.8,217673.1,226522.3,234745.6,238235.6,249551.8,263392.8,272661.1,292585.2,316117.2,317735.6,341826.6
 "55000","Wisconsin",3,SASUMMARY,7,"..."," Personal consumption expenditures ","Millions of current dollars",108943.1,116373.8,124865.7,130433.5,135786.6,143467.5,152103.7,160323.9,168429.6,174884.0,180266.0,178468.8,184793.5,191591.3,195140.7,199941.2,206949.5,212242.0,218417.9,227938.3,236881.7,244056.1,238790.5,268655.5,294114.1,310876.1
 "55000","Wisconsin",3,SASUMMARY,8,"..."," Real per capita personal income 4/","Constant 2017 dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),46757,45576,45543,47258,47869,47518,48519,50674,50962,51771,52805,53655,57326,59596,57831,57962
 "55000","Wisconsin",3,SASUMMARY,9,"..."," Real per capita PCE 5/","Constant 2017 dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),38421,37573,37813,38535,38153,38610,39300,40345,41009,41751,42172,42444,41763,44942,46531,46885
 "55000","Wisconsin",3,SASUMMARY,10,"..."," Per capita personal income 6/","Dollars",27018,27892,29493,30812,31406,32084,33319,34218,36047,37522,38857,38138,39048,41069,42641,42688,44159,45932,46598,48313,50522,52370,55435,60465,61992,64976
 "55000","Wisconsin",3,SASUMMARY,11,"..."," Per capita disposable personal income 7/","Dollars",23210,23981,25421,26711,27822,28660,29863,30420,31848,33106,34281,34485,35286,36715,38166,37809,39202,40515,40988,42757,44957,46369,49618,53762,53940,57829
 "55000","Wisconsin",3,SASUMMARY,12,"..."," Per capita personal consumption expenditures (PCE) 8/","Dollars",20564,21823,23235,24124,24937,26184,27585,28907,30197,31169,31956,31480,32465,33535,34032,34729,35815,36631,37578,39054,40432,41505,40496,45690,49930,52593
 "55000","Wisconsin",3,SASUMMARY,13,"..."," Regional price parities (RPPs) 9/","Index",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),93.276,94.224,94.858,93.773,94.356,93.911,93.832,93.314,93.234,93.540,93.951,94.472,92.665,93.293,92.416,93.097
 "55000","Wisconsin",3,SASUMMARY,14,"..."," Implicit regional price deflator 10/","Index",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),83.174,83.785,85.859,87.025,89.198,89.949,91.131,90.794,91.634,93.540,95.874,97.787,96.966,101.663,107.304,112.174
 "55000","Wisconsin",3,SASUMMARY,15,"..."," Total employment (number of jobs) ","Number of jobs",3287793,3350388,3413585,3403719,3395194,3413427,3467823,3511454,3547006,3585326,3572816,3444538,3426369,3474372,3499342,3539199,3585944,3624473,3657732,3678859,3721096,3717587,3580658,3682359,3775679,3855150
"Note: See the included footnote file."
"SASUMMARY: State annual summary statistics: personal income, GDP, consumer spending, price indexes, and employment "
"Last updated: December 12, 2024."
"U.S. Bureau of Economic Analysis"
