GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
 "54000","West Virginia",5,SASUMMARY,1,"..."," Real GDP (millions of chained 2017 dollars) 1/","Millions of chained 2017 dollars",61725.7,63691.7,63364.6,63599.8,64465.7,65106.8,66077.6,67888.8,68900.0,69374.1,70966.8,70886.5,71823.8,73175.2,73124.5,73949.0,74111.3,74261.4,73513.3,75172.4,77406.5,77162.2,74553.8,75765.1,77188.0,80798.2
 "54000","West Virginia",5,SASUMMARY,2,"..."," Real personal income (millions of constant (2017) dollars) 2/","Millions of constant 2017 dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),74258.9,76036.2,75391.4,77458.5,77707.7,75509.0,77071.2,77820.9,77291.9,79711.4,81513.8,83892.3,88204.7,88032.9,86003.1,86502.1
 "54000","West Virginia",5,SASUMMARY,3,"..."," Real PCE (millions of constant (2017) dollars) 3/","Millions of constant 2017 dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),64239.0,66281.0,66240.7,67273.2,67767.9,67492.6,68295.0,69421.0,71348.4,71914.2,72833.7,74054.3,73424.9,74581.3,77079.0,77874.9
 "54000","West Virginia",5,SASUMMARY,4,"..."," Gross domestic product (GDP) ","Millions of current dollars",40258.9,41942.2,42620.7,44105.1,45627.4,47230.4,49865.9,53814.3,57204.1,59480.4,62978.7,64040.1,66160.4,69367.6,70303.1,71758.6,73042.6,71713.4,71248.9,75172.4,79794.3,80242.4,77430.9,86550.5,98290.0,102151.8
 "54000","West Virginia",5,SASUMMARY,5,"..."," Personal income ","Millions of current dollars",37130.6,38078.6,40251.6,42750.3,44243.2,44952.8,46551.2,48854.3,52147.0,54184.7,57958.9,58487.5,60532.1,64059.0,65488.4,65152.6,67156.8,68437.8,68067.9,70797.6,74235.0,76725.0,80386.1,87124.3,88938.9,93504.9
 "54000","West Virginia",5,SASUMMARY,6,"..."," Disposable personal income ","Millions of current dollars",33181.9,34030.1,35964.2,38158.0,40177.2,41105.2,42725.8,44433.0,47327.9,48934.7,52090.3,53571.2,55430.1,57990.1,59669.6,58977.3,60689.3,61774.5,61658.9,64273.2,67802.2,69899.4,73867.5,79678.8,79829.9,85098.1
 "54000","West Virginia",5,SASUMMARY,7,"..."," Personal consumption expenditures ","Millions of current dollars",31510.3,33201.0,35057.4,36407.6,37913.6,39592.6,41954.5,44161.5,46132.8,48124.8,50179.6,51048.4,53259.1,55714.2,57188.1,58309.6,59585.7,61153.0,62968.6,64022.0,66466.4,67853.8,67100.4,73960.0,79791.5,84235.1
 "54000","West Virginia",5,SASUMMARY,8,"..."," Real per capita personal income 4/","Constant 2017 dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),40351,41150,40655,41704,41807,40670,41592,42149,42098,43731,45021,46596,49233,49311,48479,48869
 "54000","West Virginia",5,SASUMMARY,9,"..."," Real per capita PCE 5/","Constant 2017 dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),34907,35871,35721,36220,36459,36352,36856,37599,38861,39453,40227,41131,40984,41776,43448,43995
 "54000","West Virginia",5,SASUMMARY,10,"..."," Per capita personal income 6/","Dollars",20451,21017,22275,23731,24506,24804,25628,26836,28528,29544,31494,31653,32642,34490,35233,35092,36242,37067,37074,38840,41000,42615,44869,48802,50134,52826
 "54000","West Virginia",5,SASUMMARY,11,"..."," Per capita disposable personal income 7/","Dollars",18276,18782,19902,21181,22254,22681,23522,24407,25892,26681,28305,28992,29891,31222,32102,31766,32752,33458,33583,35261,37448,38824,41231,44632,44999,48076
 "54000","West Virginia",5,SASUMMARY,12,"..."," Per capita personal consumption expenditures (PCE) 8/","Dollars",17355,18325,19401,20210,21000,21847,23097,24258,25238,26240,27267,27627,28720,29997,30767,31406,32156,33121,34297,35123,36710,37688,37454,41428,44977,47589
 "54000","West Virginia",5,SASUMMARY,13,"..."," Regional price parities (RPPs) 9/","Index",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),87.601,86.614,88.829,89.240,89.267,90.200,89.834,90.535,89.796,89.026,89.427,88.521,87.333,91.002,89.156,89.772
 "54000","West Virginia",5,SASUMMARY,14,"..."," Implicit regional price deflator 10/","Index",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),78.114,77.018,80.402,82.818,84.388,86.394,87.248,88.090,88.255,89.026,91.258,91.627,91.386,99.167,103.519,108.167
 "54000","West Virginia",5,SASUMMARY,15,"..."," Total employment (number of jobs) ","Number of jobs",868370,868236,875561,872546,871215,868312,879273,890760,902913,915643,918376,899067,899510,909060,918958,914247,911678,904270,890209,888822,898085,881641,840976,864611,885312,903815
"Note: See the included footnote file."
"SASUMMARY: State annual summary statistics: personal income, GDP, consumer spending, price indexes, and employment "
"Last updated: December 12, 2024."
"U.S. Bureau of Economic Analysis"
