GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
 "56000","Wyoming",7,SASUMMARY,1,"..."," Real GDP (millions of chained 2017 dollars) 1/","Millions of chained 2017 dollars",24804.7,25866.8,26614.2,28338.1,28901.3,29806.6,30780.1,32463.1,36655.6,39504.8,41641.2,40599.6,39135.8,38929.8,38085.0,38408.7,39287.2,40063.9,37853.5,37620.3,37977.2,38577.1,36198.2,37131.8,37827.2,40210.8
 "56000","Wyoming",7,SASUMMARY,2,"..."," Real personal income (millions of constant (2017) dollars) 2/","Millions of constant 2017 dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),31798.3,29028.2,30338.0,31718.2,33932.4,32960.5,34582.4,34774.3,32431.4,33506.7,36180.7,36595.1,39239.9,41320.3,41771.6,43813.0
 "56000","Wyoming",7,SASUMMARY,3,"..."," Real PCE (millions of constant (2017) dollars) 3/","Millions of constant 2017 dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),21948.0,21817.0,22205.7,22424.3,23316.9,23502.5,24291.6,24528.5,24505.4,24589.8,26160.3,25934.5,26696.2,28643.9,29407.1,30381.5
 "56000","Wyoming",7,SASUMMARY,4,"..."," Gross domestic product (GDP) ","Millions of current dollars",14833.2,15685.7,17153.7,18741.7,19160.8,21199.0,23418.1,27530.2,32692.2,36912.8,42694.6,36282.2,37567.5,39615.1,38679.3,39365.6,40573.9,38624.8,36105.9,37620.3,39614.5,40029.5,36709.6,42319.1,49782.6,51990.5
 "56000","Wyoming",7,SASUMMARY,5,"..."," Personal income ","Millions of current dollars",12615.1,13476.8,14545.3,15440.8,15905.3,16937.2,18287.4,20004.4,22895.5,24408.3,27002.5,24912.8,26185.4,28699.9,30844.4,30694.1,32679.6,32755.6,31090.1,32487.4,34025.2,35585.6,37603.3,41132.1,44459.9,47927.8
 "56000","Wyoming",7,SASUMMARY,6,"..."," Disposable personal income ","Millions of current dollars",11024.3,11752.6,12587.2,13480.3,14289.0,15401.7,16670.1,17923.1,20126.5,21354.9,23836.3,22905.9,23848.2,26059.7,27480.5,27277.9,29090.1,29232.0,27991.0,29163.1,30817.8,32040.0,33625.7,36048.8,38215.6,42460.4
 "56000","Wyoming",7,SASUMMARY,7,"..."," Personal consumption expenditures ","Millions of current dollars",9906.0,10605.6,11358.3,11806.2,12308.2,13098.6,14131.0,15251.4,16490.2,17943.9,18653.2,18747.7,19193.0,20319.1,21223.3,21914.2,22984.5,23143.3,23542.4,23897.6,24652.3,25266.0,25653.1,28570.8,31331.6,33256.8
 "56000","Wyoming",7,SASUMMARY,8,"..."," Real per capita personal income 4/","Constant 2017 dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),58234,51850,53752,55954,58962,56738,59527,59581,55726,58146,62945,63606,67929,71298,71818,75015
 "56000","Wyoming",7,SASUMMARY,9,"..."," Real per capita PCE 5/","Constant 2017 dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),40195,38969,39344,39559,40516,40457,41814,42026,42107,42672,45512,45077,46214,49425,50560,52018
 "56000","Wyoming",7,SASUMMARY,10,"..."," Per capita personal income 6/","Dollars",25704,27404,29426,31215,31810,33642,35921,38907,43805,45634,49451,44499,46395,50630,53596,52836,56252,56122,53421,56377,59195,61851,65096,70973,76440,82060
 "56000","Wyoming",7,SASUMMARY,11,"..."," Per capita disposable personal income 7/","Dollars",22463,23898,25465,27252,28577,30592,32744,34859,38507,39925,43653,40914,42254,45972,47751,46956,50073,50085,48096,50609,53615,55689,58210,62202,65704,72699
 "56000","Wyoming",7,SASUMMARY,12,"..."," Per capita personal consumption expenditures (PCE) 8/","Dollars",20184,21566,22979,23867,24616,26018,27757,29663,31550,33548,34161,33487,34006,35845,36878,37723,39564,39653,40452,41471,42888,43915,44408,49298,53869,56941
 "56000","Wyoming",7,SASUMMARY,13,"..."," Regional price parities (RPPs) 9/","Index",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),95.310,96.638,95.492,97.638,96.284,97.350,97.424,96.972,97.747,97.185,92.345,94.120,91.831,91.533,91.761,90.848
 "56000","Wyoming",7,SASUMMARY,14,"..."," Implicit regional price deflator 10/","Index",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),84.988,85.932,86.433,90.612,91.021,93.242,94.619,94.353,96.070,97.185,94.236,97.423,96.093,99.745,106.544,109.464
 "56000","Wyoming",7,SASUMMARY,15,"..."," Total employment (number of jobs) ","Number of jobs",310043,315198,324653,330130,334129,336769,343760,354384,370331,388463,398989,387490,385075,390340,396724,400510,406401,406045,398144,398968,404591,407870,401353,419813,430153,443007
"Note: See the included footnote file."
"SASUMMARY: State annual summary statistics: personal income, GDP, consumer spending, price indexes, and employment "
"Last updated: December 12, 2024."
"U.S. Bureau of Economic Analysis"
