fiscal_year,county_fips,state,agency,naics_code,naics_description,is_small_business,is_woman_owned,is_veteran_owned,total_obligation
2022,55009,WI,Department of Defense,423450,"MEDICAL, DENTAL, AND HOSPITAL EQUIPMENT AND SUPPLIES MERCHANT WHOLESALERS",true,false,false,8251596.359999998
2022,37133,NC,Department of Defense,811212,COMPUTER AND OFFICE MACHINE REPAIR AND MAINTENANCE,true,true,false,1718715.3900000001
2022,26099,MI,Department of Defense,332996,FABRICATED PIPE AND PIPE FITTING MANUFACTURING,true,false,true,304609.89
2022,32023,NV,Department of Transportation,541330,ENGINEERING SERVICES,true,false,false,344991.11
2022,48439,TX,Department of Justice,561990,ALL OTHER SUPPORT SERVICES,true,true,false,942452.44
2022,36103,NY,Department of Defense,332510,HARDWARE MANUFACTURING,true,false,false,7675073.569999999
2022,09009,CT,Department of Defense,332912,FLUID POWER VALVE AND HOSE FITTING MANUFACTURING,true,false,false,25355.0
2022,06073,CA,Department of Defense,811219,OTHER ELECTRONIC AND PRECISION EQUIPMENT REPAIR AND MAINTENANCE,true,false,false,2427873.5999999996
2022,39099,OH,General Services Administration,238220,"PLUMBING, HEATING, AND AIR-CONDITIONING CONTRACTORS",true,true,false,303781.91000000003
2022,21111,KY,General Services Administration,561210,FACILITIES SUPPORT SERVICES,true,false,false,4292680.399999999
2022,06073,CA,Department of Defense,236220,COMMERCIAL AND INSTITUTIONAL BUILDING CONSTRUCTION,true,false,false,78437442.11999999
2022,54037,WV,Department of Defense,334412,BARE PRINTED CIRCUIT BOARD MANUFACTURING,true,false,false,54288.21
2022,20117,KS,Department of Defense,333316,PHOTOGRAPHIC AND PHOTOCOPYING EQUIPMENT MANUFACTURING,true,false,false,62076.29000000001
2022,28049,MS,General Services Administration,236220,COMMERCIAL AND INSTITUTIONAL BUILDING CONSTRUCTION,true,false,false,1918524.9100000001
2022,51650,VA,Department of Defense,339999,ALL OTHER MISCELLANEOUS MANUFACTURING,true,false,false,443040.59
2022,15001,HI,Department of the Interior,561730,LANDSCAPING SERVICES,true,false,false,232174.36
2022,51059,VA,Department of Commerce,541519,OTHER COMPUTER RELATED SERVICES,true,false,true,7924956.89
2022,06093,CA,Department of Agriculture,115310,SUPPORT ACTIVITIES FOR FORESTRY,true,false,false,33866273.55
2022,48139,TX,Department of Defense,332510,HARDWARE MANUFACTURING,true,true,false,79979.67999999998
2022,51810,VA,Department of Defense,339999,ALL OTHER MISCELLANEOUS MANUFACTURING,true,false,true,529880.85
2022,12011,FL,Department of Defense,332112,NONFERROUS FORGING,true,false,false,1057552.24
2022,31153,NE,Department of Defense,541330,ENGINEERING SERVICES,true,false,true,34372680.94
2022,36059,NY,Department of Defense,332722,"BOLT, NUT, SCREW, RIVET, AND WASHER MANUFACTURING",true,true,false,958206.76
2022,24005,MD,Department of Homeland Security,321920,WOOD CONTAINER AND PALLET MANUFACTURING,true,false,true,43779.12
2022,26125,MI,Department of Veterans Affairs,238990,ALL OTHER SPECIALTY TRADE CONTRACTORS,true,false,false,400801.0
2022,38101,ND,Department of Defense,424210,DRUGS AND DRUGGISTS' SUNDRIES MERCHANT WHOLESALERS,true,false,false,8202336.650000001
2022,12086,FL,Department of Defense,324110,PETROLEUM REFINERIES,true,false,false,46902975.550000004
2022,51059,VA,Department of Defense,541715,"RESEARCH AND DEVELOPMENT IN THE PHYSICAL, ENGINEERING, AND LIFE SCIENCES (EXCEPT NANOTECHNOLOGY AND BIOTECHNOLOGY)",true,false,true,27891587.889999997
2022,06073,CA,Department of Defense,541330,ENGINEERING SERVICES,true,false,false,267175609.02
2022,53033,WA,Department of Defense,333618,OTHER ENGINE EQUIPMENT MANUFACTURING,true,true,false,481680.12000000005
2022,51059,VA,Department of Defense,334111,ELECTRONIC COMPUTER MANUFACTURING,true,false,false,23138932.84
2022,38017,ND,Department of Defense,531110,LESSORS OF RESIDENTIAL BUILDINGS AND DWELLINGS,true,true,false,174291.5
2022,17031,IL,General Services Administration,337910,MATTRESS MANUFACTURING,true,false,false,539020.72
2022,48453,TX,Department of Defense,541611,ADMINISTRATIVE MANAGEMENT AND GENERAL MANAGEMENT CONSULTING SERVICES,true,false,false,2785400.84
2022,13245,GA,Department of Veterans Affairs,337214,OFFICE FURNITURE (EXCEPT WOOD) MANUFACTURING,true,false,false,22564.4
2022,25017,MA,Department of Homeland Security,561730,LANDSCAPING SERVICES,true,false,false,105595.0
2022,47037,TN,General Services Administration,236220,COMMERCIAL AND INSTITUTIONAL BUILDING CONSTRUCTION,true,false,false,1950057.83
2022,12095,FL,Department of Defense,334418,PRINTED CIRCUIT ASSEMBLY (ELECTRONIC ASSEMBLY) MANUFACTURING,true,false,false,461851.25
2022,26077,MI,Department of Veterans Affairs,339113,SURGICAL APPLIANCE AND SUPPLIES MANUFACTURING,true,false,true,449165.55000000005
2022,24031,MD,Department of Defense,336413,OTHER AIRCRAFT PARTS AND AUXILIARY EQUIPMENT MANUFACTURING,true,true,false,1135095.16
2022,42043,PA,Department of Defense,332996,FABRICATED PIPE AND PIPE FITTING MANUFACTURING,true,false,false,106562.63
2022,36007,NY,Department of Defense,332813,"ELECTROPLATING, PLATING, POLISHING, ANODIZING, AND COLORING",true,false,false,27159.22
2022,01089,AL,Department of Defense,541330,ENGINEERING SERVICES,true,false,true,104268537.24999999
2022,51059,VA,Department of the Treasury,541611,ADMINISTRATIVE MANAGEMENT AND GENERAL MANAGEMENT CONSULTING SERVICES,true,false,false,3387913.0099999993
2022,25021,MA,Department of Defense,423450,"MEDICAL, DENTAL, AND HOSPITAL EQUIPMENT AND SUPPLIES MERCHANT WHOLESALERS",true,false,false,5337343.06
